0.468 ± 0.015,47.610 ± 2.571
0.475 ± 0.020,47.763 ± 2.604
0.477 ± 0.024,48.618 ± 1.974
0.443 ± 0.019,44.539 ± 1.284
0.444 ± 0.017,44.890 ± 1.370
0.458 ± 0.034,45.724 ± 2.505
0.513 ± 0.017,52.259 ± 2.655
0.508 ± 0.022,52.215 ± 3.139
0.510 ± 0.018,51.579 ± 2.374
0.473 ± 0.018,47.500 ± 2.298
0.472 ± 0.025,47.303 ± 2.499
0.462 ± 0.016,46.601 ± 1.106
0.572 ± 0.015,57.566 ± 1.462
0.566 ± 0.016,58.092 ± 1.035
0.558 ± 0.019,56.469 ± 1.268
0.511 ± 0.015,52.390 ± 2.757
0.508 ± 0.014,51.776 ± 1.953
0.501 ± 0.019,50.833 ± 2.568
0.598 ± 0.011,60.921 ± 1.220
0.593 ± 0.010,60.439 ± 1.526
0.583 ± 0.011,59.693 ± 2.078
0.569 ± 0.016,58.311 ± 1.521
0.561 ± 0.016,57.522 ± 1.776
0.553 ± 0.015,55.899 ± 1.671
0.467 ± 0.014,46.754 ± 2.351
0.469 ± 0.012,48.004 ± 2.773
0.479 ± 0.020,48.618 ± 2.879
0.445 ± 0.015,44.627 ± 1.511
0.448 ± 0.016,44.737 ± 1.551
0.457 ± 0.011,45.592 ± 2.265
0.518 ± 0.021,52.719 ± 2.560
0.511 ± 0.012,51.952 ± 1.841
0.502 ± 0.021,51.228 ± 2.584
0.463 ± 0.014,46.601 ± 2.202
0.453 ± 0.017,45.811 ± 1.791
0.459 ± 0.011,46.206 ± 1.856
0.568 ± 0.019,56.974 ± 2.331
0.550 ± 0.018,56.294 ± 2.333
0.550 ± 0.014,55.943 ± 1.137
0.510 ± 0.017,52.105 ± 2.636
0.506 ± 0.018,51.031 ± 2.506
0.497 ± 0.024,50.000 ± 3.029
0.587 ± 0.014,59.539 ± 2.260
0.576 ± 0.010,58.640 ± 1.653
0.568 ± 0.012,57.917 ± 1.731
0.565 ± 0.012,57.566 ± 1.561
0.557 ± 0.016,56.272 ± 1.905
0.542 ± 0.011,55.504 ± 2.056
0.461 ± 0.013,46.425 ± 1.760
0.472 ± 0.013,47.478 ± 2.811
0.477 ± 0.021,48.465 ± 2.955
0.441 ± 0.018,44.452 ± 1.431
0.443 ± 0.019,44.408 ± 1.558
0.455 ± 0.016,45.504 ± 1.769
0.523 ± 0.022,52.895 ± 2.948
0.509 ± 0.013,51.732 ± 2.047
0.499 ± 0.016,51.228 ± 2.563
0.465 ± 0.016,46.974 ± 2.108
0.458 ± 0.013,46.140 ± 1.935
0.461 ± 0.015,46.294 ± 1.031
0.571 ± 0.012,58.224 ± 1.755
0.561 ± 0.016,57.215 ± 2.143
0.553 ± 0.012,56.338 ± 1.747
0.512 ± 0.016,52.083 ± 1.711
0.505 ± 0.015,51.316 ± 2.466
0.499 ± 0.013,50.702 ± 2.242
0.597 ± 0.014,60.307 ± 1.969
0.588 ± 0.011,59.846 ± 1.739
0.584 ± 0.014,59.013 ± 1.910
0.572 ± 0.012,58.092 ± 1.796
0.564 ± 0.016,57.303 ± 1.713
0.552 ± 0.017,56.645 ± 1.927
0.460 ± 0.016,45.987 ± 2.279
0.465 ± 0.017,47.039 ± 1.940
0.477 ± 0.021,49.013 ± 2.387
0.434 ± 0.022,43.289 ± 1.624
0.441 ± 0.020,43.706 ± 1.682
0.445 ± 0.016,44.298 ± 1.819
0.500 ± 0.020,50.965 ± 2.366
0.503 ± 0.018,51.754 ± 2.264
0.485 ± 0.018,50.219 ± 2.798
0.459 ± 0.017,45.965 ± 1.809
0.461 ± 0.015,46.382 ± 2.704
0.461 ± 0.018,46.667 ± 1.865
0.559 ± 0.017,56.842 ± 2.333
0.548 ± 0.016,56.272 ± 1.910
0.538 ± 0.016,55.110 ± 1.792
0.507 ± 0.013,52.083 ± 2.584
0.505 ± 0.019,51.952 ± 2.349
0.489 ± 0.017,50.110 ± 2.290
0.592 ± 0.013,60.154 ± 1.135
0.581 ± 0.012,59.649 ± 1.653
0.568 ± 0.015,59.057 ± 1.721
0.564 ± 0.016,57.632 ± 1.800
0.558 ± 0.016,57.105 ± 1.579
0.541 ± 0.017,55.680 ± 2.267
0.459 ± 0.019,46.294 ± 3.116
0.467 ± 0.017,46.776 ± 3.420
0.472 ± 0.024,47.763 ± 3.638
0.436 ± 0.022,43.070 ± 1.279
0.436 ± 0.018,43.333 ± 1.639
0.444 ± 0.016,44.013 ± 1.803
0.494 ± 0.022,50.132 ± 2.711
0.488 ± 0.023,49.254 ± 3.348
0.488 ± 0.017,49.912 ± 1.950
0.451 ± 0.011,45.197 ± 2.847
0.457 ± 0.017,45.241 ± 1.843
0.461 ± 0.016,46.513 ± 1.777
0.543 ± 0.016,56.009 ± 1.633
0.536 ± 0.013,55.329 ± 2.319
0.530 ± 0.016,54.320 ± 1.957
0.506 ± 0.023,51.382 ± 2.327
0.495 ± 0.014,50.373 ± 2.508
0.479 ± 0.018,48.969 ± 2.434
0.571 ± 0.015,58.531 ± 1.852
0.564 ± 0.012,57.675 ± 0.966
0.555 ± 0.014,57.412 ± 2.428
0.556 ± 0.013,56.491 ± 1.165
0.543 ± 0.017,56.009 ± 1.722
0.531 ± 0.020,55.066 ± 2.109
0.471 ± 0.012,47.083 ± 1.442
0.458 ± 0.014,46.623 ± 2.008
0.475 ± 0.019,48.092 ± 1.966
0.437 ± 0.020,43.618 ± 1.371
0.437 ± 0.017,43.662 ± 1.625
0.446 ± 0.016,44.474 ± 1.297
0.507 ± 0.013,51.469 ± 2.099
