0.746 ± 0.020,76.316 ± 1.193
0.731 ± 0.031,75.022 ± 2.907
0.731 ± 0.033,74.386 ± 3.191
0.751 ± 0.019,77.039 ± 1.380
0.751 ± 0.021,76.864 ± 1.226
0.741 ± 0.019,75.899 ± 1.378
0.753 ± 0.020,76.886 ± 1.398
0.743 ± 0.021,75.482 ± 1.881
0.731 ± 0.025,74.693 ± 1.356
0.753 ± 0.019,77.456 ± 1.939
0.749 ± 0.023,76.754 ± 1.641
0.739 ± 0.024,75.197 ± 2.125
0.764 ± 0.015,77.237 ± 1.487
0.757 ± 0.018,76.842 ± 0.900
0.745 ± 0.017,75.482 ± 1.596
0.763 ± 0.017,78.004 ± 1.193
0.759 ± 0.018,77.544 ± 1.165
0.749 ± 0.023,76.447 ± 1.472
0.774 ± 0.015,78.618 ± 1.485
0.771 ± 0.015,77.961 ± 1.111
0.764 ± 0.013,77.237 ± 1.599
0.772 ± 0.014,78.421 ± 1.123
0.770 ± 0.014,78.004 ± 1.097
0.762 ± 0.017,77.522 ± 1.462
0.763 ± 0.018,77.982 ± 0.630
0.759 ± 0.018,77.763 ± 1.128
0.745 ± 0.023,76.294 ± 1.583
0.760 ± 0.016,78.026 ± 1.009
0.761 ± 0.013,78.048 ± 1.231
0.754 ± 0.016,77.588 ± 1.285
0.759 ± 0.016,77.917 ± 1.193
0.760 ± 0.018,77.478 ± 1.237
0.747 ± 0.019,76.184 ± 1.905
0.762 ± 0.016,78.114 ± 0.950
0.761 ± 0.017,78.070 ± 1.301
0.751 ± 0.017,76.820 ± 1.373
0.762 ± 0.017,77.939 ± 0.492
0.763 ± 0.017,77.982 ± 0.947
0.747 ± 0.021,76.404 ± 1.006
0.761 ± 0.016,78.180 ± 0.822
0.760 ± 0.016,77.982 ± 1.432
0.756 ± 0.015,76.996 ± 1.395
0.762 ± 0.018,78.092 ± 0.710
0.763 ± 0.015,78.070 ± 0.809
0.758 ± 0.015,77.237 ± 0.935
0.761 ± 0.017,78.070 ± 0.665
0.760 ± 0.015,77.895 ± 1.096
0.759 ± 0.014,77.544 ± 0.937
0.741 ± 0.021,75.329 ± 1.736
0.731 ± 0.027,74.978 ± 2.185
0.719 ± 0.027,72.851 ± 2.682
0.754 ± 0.019,77.259 ± 1.260
0.750 ± 0.022,76.557 ± 1.717
0.736 ± 0.022,75.241 ± 1.967
0.752 ± 0.019,76.667 ± 1.338
0.739 ± 0.035,75.439 ± 2.707
0.726 ± 0.023,74.276 ± 2.294
0.754 ± 0.020,77.303 ± 1.697
0.747 ± 0.025,76.404 ± 2.118
0.738 ± 0.028,75.395 ± 2.206
0.757 ± 0.022,77.039 ± 2.022
0.751 ± 0.022,76.513 ± 1.440
0.741 ± 0.023,74.868 ± 2.759
0.760 ± 0.019,77.719 ± 1.455
0.758 ± 0.016,77.610 ± 1.141
0.749 ± 0.022,76.338 ± 1.577
0.766 ± 0.014,77.873 ± 1.031
0.765 ± 0.012,77.281 ± 1.384
0.750 ± 0.012,76.864 ± 1.624
0.769 ± 0.011,78.421 ± 1.253
0.763 ± 0.014,77.895 ± 0.960
0.757 ± 0.017,77.149 ± 1.322
0.710 ± 0.035,71.711 ± 2.758
0.683 ± 0.038,69.145 ± 2.628
0.678 ± 0.015,67.675 ± 1.861
0.745 ± 0.022,76.053 ± 1.358
0.736 ± 0.028,75.307 ± 2.354
0.721 ± 0.020,73.333 ± 1.825
0.725 ± 0.023,73.311 ± 2.820
0.711 ± 0.020,71.864 ± 2.613
0.700 ± 0.030,71.491 ± 3.435
0.747 ± 0.026,76.140 ± 2.155
0.737 ± 0.024,74.671 ± 2.086
0.719 ± 0.027,72.741 ± 2.239
0.736 ± 0.018,74.057 ± 1.840
0.727 ± 0.014,73.882 ± 2.154
0.717 ± 0.019,72.654 ± 1.656
0.749 ± 0.023,76.557 ± 1.734
0.741 ± 0.027,75.088 ± 2.099
0.721 ± 0.022,72.917 ± 2.127
0.753 ± 0.013,76.754 ± 1.661
0.747 ± 0.015,75.263 ± 1.496
0.740 ± 0.014,75.088 ± 1.747
0.756 ± 0.017,76.952 ± 1.642
0.749 ± 0.019,76.272 ± 1.355
0.741 ± 0.016,74.781 ± 1.538
0.690 ± 0.037,69.868 ± 3.277
0.660 ± 0.033,66.754 ± 3.581
0.655 ± 0.030,66.447 ± 2.793
0.742 ± 0.037,75.285 ± 3.656
0.725 ± 0.037,73.092 ± 3.470
0.707 ± 0.031,71.447 ± 2.851
0.702 ± 0.034,71.294 ± 3.449
0.688 ± 0.036,69.803 ± 3.487
0.694 ± 0.025,70.351 ± 3.110
0.741 ± 0.031,75.351 ± 3.499
0.723 ± 0.040,73.246 ± 3.419
0.706 ± 0.024,71.513 ± 2.998
0.724 ± 0.026,73.180 ± 2.750
0.706 ± 0.019,71.360 ± 2.554
