0.740 ± 0.023,75.899 ± 1.242
0.722 ± 0.027,73.421 ± 2.418
0.707 ± 0.029,72.259 ± 2.480
0.752 ± 0.019,77.303 ± 1.402
0.754 ± 0.020,76.908 ± 1.494
0.744 ± 0.021,75.482 ± 1.963
0.757 ± 0.017,76.842 ± 1.210
0.748 ± 0.019,75.789 ± 1.249
0.733 ± 0.012,74.211 ± 1.685
0.754 ± 0.019,77.675 ± 1.232
0.746 ± 0.024,76.667 ± 1.425
0.736 ± 0.022,75.219 ± 2.085
0.774 ± 0.014,78.750 ± 1.040
0.770 ± 0.013,78.684 ± 1.064
0.768 ± 0.011,78.355 ± 0.894
0.764 ± 0.017,78.202 ± 0.996
0.760 ± 0.018,77.697 ± 0.754
0.752 ± 0.016,76.842 ± 0.921
0.782 ± 0.014,79.846 ± 1.273
0.780 ± 0.013,79.561 ± 0.914
0.778 ± 0.015,79.364 ± 1.273
0.777 ± 0.016,78.925 ± 0.978
0.776 ± 0.015,79.013 ± 1.079
0.774 ± 0.013,78.925 ± 0.793
0.754 ± 0.026,77.500 ± 2.027
0.748 ± 0.037,77.193 ± 2.705
0.749 ± 0.020,76.667 ± 1.218
0.763 ± 0.015,78.180 ± 0.810
0.759 ± 0.014,78.180 ± 1.089
0.759 ± 0.013,77.829 ± 1.235
0.756 ± 0.017,77.412 ± 1.606
0.747 ± 0.020,75.833 ± 2.281
0.732 ± 0.027,74.890 ± 2.800
0.761 ± 0.015,77.982 ± 1.157
0.762 ± 0.016,78.136 ± 1.448
0.756 ± 0.013,77.346 ± 1.101
0.765 ± 0.019,77.654 ± 0.896
0.760 ± 0.013,77.303 ± 1.313
0.754 ± 0.014,76.469 ± 1.721
0.759 ± 0.013,78.004 ± 0.941
0.757 ± 0.016,78.136 ± 0.872
0.752 ± 0.022,76.864 ± 1.594
0.763 ± 0.012,77.895 ± 1.184
0.762 ± 0.015,77.719 ± 1.186
0.757 ± 0.015,76.908 ± 0.866
0.766 ± 0.016,78.246 ± 0.882
0.764 ± 0.014,77.917 ± 1.033
0.756 ± 0.016,77.654 ± 1.254
0.736 ± 0.029,75.351 ± 2.679
0.722 ± 0.026,74.254 ± 2.520
0.706 ± 0.029,72.215 ± 3.155
0.754 ± 0.020,77.412 ± 1.727
0.747 ± 0.025,76.404 ± 1.841
0.743 ± 0.020,76.009 ± 1.370
0.753 ± 0.016,76.667 ± 1.335
0.743 ± 0.015,75.417 ± 1.179
0.723 ± 0.017,73.750 ± 2.273
0.755 ± 0.019,77.171 ± 1.419
0.748 ± 0.024,76.557 ± 1.828
0.736 ± 0.024,75.373 ± 1.545
0.773 ± 0.012,78.268 ± 1.049
0.768 ± 0.013,78.465 ± 1.355
0.763 ± 0.013,77.610 ± 1.306
0.760 ± 0.017,77.829 ± 1.107
0.757 ± 0.019,77.193 ± 0.665
0.748 ± 0.018,76.294 ± 0.993
0.778 ± 0.014,79.298 ± 1.261
0.776 ± 0.013,78.838 ± 1.230
0.772 ± 0.011,78.728 ± 1.177
0.775 ± 0.012,78.772 ± 1.028
0.774 ± 0.014,78.772 ± 1.470
0.771 ± 0.014,78.399 ± 0.780
0.714 ± 0.027,72.325 ± 2.553
0.700 ± 0.022,70.614 ± 2.017
0.672 ± 0.023,68.904 ± 2.203
0.745 ± 0.026,76.360 ± 1.477
0.740 ± 0.020,75.285 ± 1.787
0.712 ± 0.021,72.610 ± 2.322
0.740 ± 0.013,74.890 ± 1.469
0.736 ± 0.014,74.518 ± 1.228
0.723 ± 0.011,72.632 ± 1.437
0.749 ± 0.020,76.206 ± 1.178
0.738 ± 0.023,75.307 ± 1.370
0.723 ± 0.019,73.202 ± 1.886
0.768 ± 0.013,77.741 ± 0.722
0.764 ± 0.015,77.346 ± 0.773
0.750 ± 0.012,76.294 ± 1.219
0.757 ± 0.017,77.456 ± 1.051
0.753 ± 0.014,76.557 ± 0.880
0.745 ± 0.013,74.890 ± 1.763
0.775 ± 0.014,78.904 ± 1.308
0.774 ± 0.014,78.553 ± 1.762
0.768 ± 0.013,78.092 ± 1.187
0.776 ± 0.014,78.706 ± 1.058
0.771 ± 0.013,78.158 ± 0.900
0.767 ± 0.014,78.004 ± 0.760
0.691 ± 0.038,69.649 ± 4.616
0.674 ± 0.023,68.136 ± 2.941
0.657 ± 0.023,66.053 ± 2.732
0.743 ± 0.038,75.833 ± 3.229
0.722 ± 0.031,73.048 ± 2.949
0.701 ± 0.038,71.009 ± 3.152
0.736 ± 0.016,74.320 ± 2.235
0.725 ± 0.012,73.158 ± 1.627
0.710 ± 0.016,71.732 ± 2.129
0.744 ± 0.028,75.811 ± 2.518
0.730 ± 0.032,73.969 ± 2.841
0.705 ± 0.033,70.899 ± 3.172
0.749 ± 0.016,75.987 ± 1.356
0.746 ± 0.013,75.548 ± 1.025
0.729 ± 0.012,73.596 ± 1.306
0.758 ± 0.016,77.346 ± 1.275
0.745 ± 0.016,75.329 ± 1.585
0.723 ± 0.021,73.092 ± 1.966
0.753 ± 0.013,76.404 ± 0.921
0.743 ± 0.010,75.417 ± 1.466
0.739 ± 0.015,74.430 ± 1.482
0.762 ± 0.012,77.412 ± 0.791
0.760 ± 0.014,76.974 ± 1.152
0.752 ± 0.011,76.513 ± 1.219
0.702 ± 0.023,71.294 ± 2.381
0.682 ± 0.025,69.561 ± 2.635
0.659 ± 0.020,67.127 ± 2.518
0.747 ± 0.023,75.987 ± 1.730
0.730 ± 0.036,74.013 ± 2.952
0.711 ± 0.030,72.083 ± 2.874
0.736 ± 0.011,74.145 ± 1.607
0.728 ± 0.009,73.487 ± 1.389
0.715 ± 0.016,72.237 ± 2.088
0.745 ± 0.031,76.162 ± 2.266
0.730 ± 0.032,74.364 ± 2.383
0.719 ± 0.023,72.675 ± 2.180
0.763 ± 0.016,78.004 ± 1.327
0.760 ± 0.014,77.018 ± 0.980
0.745 ± 0.012,75.789 ± 1.758
0.756 ± 0.017,77.018 ± 1.087
0.747 ± 0.015,75.592 ± 1.148
0.742 ± 0.011,74.715 ± 1.529
0.774 ± 0.014,78.487 ± 1.246
0.768 ± 0.016,78.092 ± 1.195
0.762 ± 0.013,77.500 ± 1.268
0.773 ± 0.013,78.531 ± 0.973
0.771 ± 0.016,78.070 ± 0.826
0.763 ± 0.015,77.610 ± 0.917
0.675 ± 0.029,68.596 ± 2.320
0.669 ± 0.022,67.632 ± 2.321
0.656 ± 0.018,66.206 ± 1.543
0.706 ± 0.036,71.031 ± 2.961
0.695 ± 0.026,70.197 ± 2.543
0.676 ± 0.024,68.311 ± 2.468
0.712 ± 0.015,72.039 ± 1.517
0.700 ± 0.014,70.811 ± 2.049
0.692 ± 0.010,70.066 ± 1.705
0.721 ± 0.017,73.355 ± 1.432
0.705 ± 0.026,71.382 ± 2.124
0.678 ± 0.020,69.035 ± 2.096
0.735 ± 0.012,74.846 ± 0.728
0.727 ± 0.012,73.772 ± 1.206
0.718 ± 0.012,72.325 ± 0.990
0.737 ± 0.017,75.044 ± 1.500
0.729 ± 0.015,73.816 ± 1.194
0.722 ± 0.010,72.061 ± 1.507
0.752 ± 0.013,76.469 ± 1.283
0.743 ± 0.014,75.307 ± 1.230
0.732 ± 0.010,74.123 ± 1.438
0.761 ± 0.015,77.105 ± 0.767
0.754 ± 0.012,76.601 ± 0.855
0.744 ± 0.012,74.452 ± 1.080
0.661 ± 0.032,67.061 ± 3.320
0.645 ± 0.021,66.075 ± 2.064
0.644 ± 0.021,65.504 ± 1.840
0.646 ± 0.059,65.724 ± 5.733
0.639 ± 0.037,65.154 ± 2.713
0.634 ± 0.037,64.539 ± 2.788
0.699 ± 0.017,70.110 ± 1.338
0.691 ± 0.013,69.803 ± 2.074
0.685 ± 0.014,69.364 ± 1.301
0.688 ± 0.030,69.561 ± 3.000
0.674 ± 0.023,68.289 ± 2.588
0.664 ± 0.026,67.127 ± 2.863
0.720 ± 0.010,72.697 ± 1.157
0.713 ± 0.013,72.237 ± 1.674
0.704 ± 0.015,71.184 ± 1.384
0.720 ± 0.014,72.982 ± 0.950
0.714 ± 0.015,72.237 ± 1.788
0.703 ± 0.016,70.702 ± 2.067
0.725 ± 0.012,73.026 ± 1.763
0.716 ± 0.010,72.346 ± 1.720
0.700 ± 0.010,70.899 ± 2.017
0.741 ± 0.013,75.000 ± 0.872
0.736 ± 0.013,74.693 ± 1.102
0.725 ± 0.015,73.421 ± 1.322
0.673 ± 0.029,68.377 ± 2.857
0.658 ± 0.021,66.316 ± 2.578
0.646 ± 0.016,65.241 ± 1.927
0.693 ± 0.045,70.548 ± 3.406
0.694 ± 0.035,70.154 ± 2.713
0.662 ± 0.019,66.974 ± 2.198
0.709 ± 0.014,71.579 ± 1.226
0.698 ± 0.012,70.417 ± 1.804
0.688 ± 0.013,69.781 ± 1.649
0.717 ± 0.026,72.346 ± 1.994
0.693 ± 0.027,69.518 ± 1.597
0.678 ± 0.020,68.114 ± 1.594
0.732 ± 0.010,74.386 ± 1.441
0.728 ± 0.007,73.596 ± 1.422
0.716 ± 0.013,72.281 ± 1.510
0.729 ± 0.013,73.794 ± 1.098
0.723 ± 0.018,73.004 ± 1.463
0.713 ± 0.016,71.513 ± 1.625
0.750 ± 0.016,75.877 ± 1.156
0.740 ± 0.010,74.561 ± 1.327
0.731 ± 0.016,73.794 ± 1.472
0.759 ± 0.016,76.996 ± 1.094
0.749 ± 0.014,76.140 ± 0.950
0.736 ± 0.012,74.145 ± 1.002
0.739 ± 0.022,75.702 ± 1.441
0.727 ± 0.026,74.101 ± 2.081
0.712 ± 0.022,72.237 ± 1.981
0.753 ± 0.019,77.500 ± 1.075
0.749 ± 0.022,76.820 ± 2.036
0.743 ± 0.023,75.987 ± 1.665
0.749 ± 0.017,76.272 ± 1.427
0.743 ± 0.017,75.636 ± 1.933
0.733 ± 0.015,74.189 ± 1.974
0.756 ± 0.017,77.610 ± 0.933
0.751 ± 0.022,77.018 ± 1.393
0.741 ± 0.024,75.877 ± 1.461
0.772 ± 0.013,78.816 ± 1.089
0.774 ± 0.012,78.728 ± 0.986
0.765 ± 0.012,78.114 ± 1.204
0.763 ± 0.017,78.202 ± 0.905
0.759 ± 0.021,77.807 ± 0.813
0.753 ± 0.016,76.557 ± 1.017
0.780 ± 0.014,79.539 ± 1.338
0.779 ± 0.017,79.737 ± 1.475
0.779 ± 0.013,79.123 ± 1.400
0.778 ± 0.016,79.189 ± 0.928
0.777 ± 0.015,78.794 ± 0.855
0.775 ± 0.011,78.684 ± 1.109
0.761 ± 0.017,77.917 ± 0.925
0.760 ± 0.016,77.829 ± 1.116
0.747 ± 0.021,76.228 ± 1.182
0.760 ± 0.016,78.070 ± 0.883
0.761 ± 0.016,77.917 ± 1.033
0.756 ± 0.018,77.522 ± 1.579
0.752 ± 0.015,76.776 ± 1.883
0.742 ± 0.018,76.140 ± 2.135
0.731 ± 0.024,75.022 ± 2.468
0.762 ± 0.017,78.048 ± 0.756
0.761 ± 0.017,78.246 ± 1.224
0.752 ± 0.015,76.930 ± 1.297
0.760 ± 0.015,77.895 ± 1.168
0.762 ± 0.017,77.522 ± 1.174
0.756 ± 0.019,76.404 ± 1.360
0.760 ± 0.016,78.202 ± 0.652
0.760 ± 0.018,77.785 ± 1.352
0.749 ± 0.020,77.018 ± 1.180
0.764 ± 0.013,77.632 ± 1.038
0.760 ± 0.016,77.588 ± 1.117
0.754 ± 0.015,76.996 ± 0.958
0.767 ± 0.015,78.004 ± 1.010
0.766 ± 0.013,78.026 ± 1.078
0.762 ± 0.016,77.390 ± 0.769
0.739 ± 0.020,75.285 ± 2.020
0.728 ± 0.030,74.386 ± 2.513
0.706 ± 0.030,72.127 ± 3.274
0.755 ± 0.016,77.303 ± 1.302
0.755 ± 0.017,77.368 ± 1.358
0.742 ± 0.021,75.658 ± 1.510
0.752 ± 0.021,76.316 ± 1.260
0.742 ± 0.016,75.351 ± 1.529
0.729 ± 0.017,73.969 ± 2.224
0.755 ± 0.022,77.259 ± 1.603
0.749 ± 0.021,76.930 ± 1.587
0.737 ± 0.023,75.482 ± 1.748
0.772 ± 0.012,78.509 ± 1.047
0.767 ± 0.013,78.509 ± 1.101
0.763 ± 0.013,77.522 ± 1.057
0.760 ± 0.016,77.895 ± 0.940
0.760 ± 0.015,77.763 ± 1.011
0.750 ± 0.016,76.623 ± 0.996
0.778 ± 0.015,79.189 ± 1.012
0.777 ± 0.013,79.123 ± 1.091
0.773 ± 0.012,78.904 ± 1.192
0.776 ± 0.015,78.684 ± 0.950
0.773 ± 0.015,78.728 ± 1.135
0.768 ± 0.014,78.553 ± 1.267
0.710 ± 0.022,71.820 ± 2.154
0.696 ± 0.023,70.395 ± 2.751
0.679 ± 0.023,68.421 ± 2.126
0.745 ± 0.027,76.513 ± 1.280
0.740 ± 0.023,75.724 ± 1.401
0.721 ± 0.021,72.895 ± 2.413
0.740 ± 0.011,74.561 ± 1.532
0.731 ± 0.014,74.320 ± 1.583
0.719 ± 0.015,73.158 ± 1.445
0.750 ± 0.020,76.579 ± 1.289
0.736 ± 0.025,75.439 ± 1.165
0.719 ± 0.024,73.268 ± 1.920
0.767 ± 0.014,78.026 ± 0.882
0.764 ± 0.012,77.368 ± 1.164
0.753 ± 0.012,76.075 ± 1.277
0.758 ± 0.016,77.149 ± 0.719
0.753 ± 0.016,76.425 ± 0.774
0.743 ± 0.013,75.263 ± 1.464
0.776 ± 0.013,78.487 ± 1.107
0.773 ± 0.014,78.355 ± 1.110
0.768 ± 0.014,77.807 ± 1.300
0.775 ± 0.015,78.706 ± 0.858
0.771 ± 0.014,78.333 ± 0.882
0.767 ± 0.015,77.982 ± 0.878
0.692 ± 0.041,69.539 ± 4.101
0.673 ± 0.025,67.917 ± 3.201
0.657 ± 0.014,66.491 ± 2.500
0.741 ± 0.034,75.329 ± 3.555
