0.660 ± 0.028,66.577 ± 2.848
0.666 ± 0.032,67.150 ± 3.037
0.669 ± 0.027,67.332 ± 3.506
0.693 ± 0.015,69.479 ± 2.412
0.693 ± 0.014,69.243 ± 2.673
0.694 ± 0.016,69.655 ± 2.401
0.618 ± 0.012,61.743 ± 2.771
0.613 ± 0.021,61.528 ± 2.655
0.618 ± 0.037,61.799 ± 2.777
0.648 ± 0.023,64.868 ± 3.684
0.629 ± 0.015,63.047 ± 4.861
0.634 ± 0.027,63.512 ± 3.210
0.634 ± 0.021,63.540 ± 2.787
0.639 ± 0.021,63.958 ± 2.767
0.642 ± 0.020,64.516 ± 2.826
0.584 ± 0.029,57.689 ± 3.496
0.594 ± 0.017,58.251 ± 3.081
0.588 ± 0.017,58.161 ± 3.431
0.664 ± 0.016,66.352 ± 2.423
0.667 ± 0.014,66.672 ± 2.365
0.665 ± 0.016,67.008 ± 2.559
0.620 ± 0.016,61.668 ± 3.397
0.618 ± 0.019,61.325 ± 2.729
0.619 ± 0.017,61.528 ± 2.819
0.695 ± 0.017,69.814 ± 2.414
0.692 ± 0.016,70.054 ± 2.345
0.692 ± 0.027,69.481 ± 1.655
0.694 ± 0.015,69.366 ± 2.337
0.697 ± 0.014,69.627 ± 2.461
0.699 ± 0.013,70.127 ± 2.635
0.692 ± 0.020,69.423 ± 2.123
0.693 ± 0.019,69.683 ± 2.170
0.685 ± 0.028,69.224 ± 1.807
0.692 ± 0.016,69.316 ± 2.329
0.690 ± 0.016,69.569 ± 2.512
0.690 ± 0.019,69.587 ± 2.349
0.638 ± 0.044,64.381 ± 4.220
0.647 ± 0.045,65.421 ± 4.264
0.642 ± 0.045,64.244 ± 4.613
0.679 ± 0.042,68.289 ± 3.522
0.676 ± 0.042,68.343 ± 3.486
0.677 ± 0.036,68.206 ± 3.123
0.655 ± 0.019,65.724 ± 2.450
0.660 ± 0.020,66.350 ± 2.594
0.659 ± 0.017,66.560 ± 2.610
0.614 ± 0.024,61.320 ± 2.424
0.605 ± 0.023,60.726 ± 2.686
0.617 ± 0.030,61.528 ± 4.090
0.662 ± 0.038,66.457 ± 2.757
0.665 ± 0.031,66.674 ± 3.303
0.662 ± 0.036,66.567 ± 3.447
0.689 ± 0.014,69.136 ± 2.564
0.693 ± 0.014,69.164 ± 2.272
0.694 ± 0.016,69.445 ± 2.320
0.623 ± 0.059,62.453 ± 5.527
0.616 ± 0.048,61.790 ± 2.629
0.617 ± 0.051,61.399 ± 4.047
0.658 ± 0.017,65.975 ± 3.626
0.640 ± 0.035,63.834 ± 2.904
0.638 ± 0.031,64.304 ± 3.328
0.624 ± 0.027,62.165 ± 2.177
0.629 ± 0.022,63.130 ± 2.727
0.635 ± 0.027,63.778 ± 2.303
0.604 ± 0.049,60.066 ± 7.227
0.618 ± 0.045,62.076 ± 5.207
0.575 ± 0.028,56.818 ± 2.230
0.659 ± 0.020,65.685 ± 2.376
0.660 ± 0.015,66.346 ± 2.783
0.660 ± 0.019,65.989 ± 2.251
0.610 ± 0.020,60.893 ± 2.871
0.614 ± 0.019,61.159 ± 2.486
0.618 ± 0.021,61.511 ± 2.614
0.693 ± 0.022,69.209 ± 2.122
0.697 ± 0.021,69.730 ± 3.049
0.696 ± 0.024,70.138 ± 3.028
0.699 ± 0.016,70.625 ± 2.259
0.702 ± 0.015,70.489 ± 2.498
0.704 ± 0.016,70.906 ± 2.330
0.669 ± 0.012,66.489 ± 2.779
0.673 ± 0.025,67.345 ± 1.936
0.670 ± 0.028,67.036 ± 2.352
0.674 ± 0.022,67.154 ± 2.890
0.666 ± 0.022,66.699 ± 2.840
0.660 ± 0.033,66.060 ± 3.024
0.635 ± 0.022,63.585 ± 2.850
0.644 ± 0.019,64.242 ± 2.923
0.658 ± 0.013,65.430 ± 1.728
0.637 ± 0.035,63.750 ± 4.477
0.627 ± 0.029,62.687 ± 2.703
0.630 ± 0.016,62.646 ± 2.954
0.662 ± 0.015,66.732 ± 2.841
0.667 ± 0.013,67.171 ± 2.772
0.665 ± 0.016,67.094 ± 2.717
0.620 ± 0.019,62.105 ± 2.842
0.624 ± 0.015,62.146 ± 2.860
0.624 ± 0.017,62.122 ± 2.506
0.702 ± 0.017,70.311 ± 1.812
0.705 ± 0.015,70.494 ± 2.061
0.707 ± 0.020,70.863 ± 1.698
0.700 ± 0.016,70.530 ± 2.138
0.701 ± 0.013,70.564 ± 2.317
0.703 ± 0.015,70.957 ± 2.086
0.700 ± 0.018,70.316 ± 2.050
0.703 ± 0.016,70.421 ± 1.813
0.705 ± 0.021,70.399 ± 1.974
0.696 ± 0.017,69.814 ± 1.837
0.698 ± 0.017,69.919 ± 2.062
0.700 ± 0.019,70.065 ± 2.146
0.694 ± 0.025,69.542 ± 1.930
0.701 ± 0.019,70.586 ± 2.245
0.702 ± 0.016,70.251 ± 2.183
0.696 ± 0.018,69.820 ± 1.946
0.697 ± 0.017,69.854 ± 2.022
0.696 ± 0.014,69.604 ± 2.251
0.660 ± 0.015,66.569 ± 2.272
0.661 ± 0.016,66.882 ± 2.523
0.670 ± 0.020,67.575 ± 3.487
0.612 ± 0.020,61.198 ± 2.554
0.620 ± 0.028,61.799 ± 4.963
0.615 ± 0.024,61.168 ± 2.520
0.694 ± 0.019,69.604 ± 2.499
0.695 ± 0.021,69.685 ± 2.451
0.693 ± 0.032,69.678 ± 2.873
0.698 ± 0.015,70.281 ± 2.211
0.700 ± 0.016,70.453 ± 2.424
0.702 ± 0.015,70.721 ± 2.009
0.684 ± 0.017,68.372 ± 2.044
0.673 ± 0.012,67.500 ± 2.344
0.674 ± 0.027,67.583 ± 1.842
0.686 ± 0.020,68.224 ± 2.393
0.680 ± 0.025,68.098 ± 2.770
0.667 ± 0.028,66.742 ± 2.988
0.629 ± 0.014,62.764 ± 2.439
0.636 ± 0.020,63.233 ± 1.709
0.660 ± 0.012,66.200 ± 2.067
0.671 ± 0.017,66.940 ± 2.264
0.663 ± 0.015,66.253 ± 2.458
0.638 ± 0.014,63.026 ± 2.840
0.659 ± 0.017,66.395 ± 2.978
0.663 ± 0.014,66.942 ± 2.701
0.662 ± 0.014,66.674 ± 2.418
0.617 ± 0.018,61.503 ± 2.777
0.620 ± 0.020,61.957 ± 2.902
0.616 ± 0.015,61.957 ± 2.653
0.709 ± 0.014,70.682 ± 2.146
0.712 ± 0.017,70.925 ± 2.188
0.715 ± 0.017,71.221 ± 2.202
0.701 ± 0.016,70.466 ± 2.102
0.707 ± 0.014,70.721 ± 2.322
0.710 ± 0.016,71.066 ± 2.238
