0.687 ± 0.018,69.095 ± 2.510
0.696 ± 0.012,69.678 ± 2.691
0.704 ± 0.013,70.563 ± 2.668
0.671 ± 0.014,67.505 ± 2.356
0.678 ± 0.013,68.169 ± 2.089
0.684 ± 0.011,69.034 ± 2.328
0.691 ± 0.020,69.819 ± 3.009
0.705 ± 0.019,71.107 ± 2.722
0.718 ± 0.018,72.093 ± 2.975
0.676 ± 0.015,68.189 ± 2.223
0.682 ± 0.014,68.732 ± 2.476
0.693 ± 0.014,69.899 ± 2.287
0.686 ± 0.018,69.155 ± 2.949
0.701 ± 0.017,70.503 ± 3.250
0.716 ± 0.023,72.535 ± 2.955
0.672 ± 0.014,67.746 ± 2.189
0.682 ± 0.019,68.833 ± 2.481
0.701 ± 0.016,70.282 ± 2.372
0.708 ± 0.020,71.227 ± 2.912
0.713 ± 0.021,71.871 ± 3.383
0.728 ± 0.017,72.716 ± 3.034
0.668 ± 0.015,67.525 ± 1.809
0.674 ± 0.014,68.048 ± 2.131
0.689 ± 0.012,69.316 ± 2.352
0.687 ± 0.012,69.074 ± 2.466
0.693 ± 0.012,69.698 ± 2.667
0.702 ± 0.013,70.322 ± 2.931
0.671 ± 0.015,67.364 ± 2.471
0.677 ± 0.012,68.089 ± 2.014
0.684 ± 0.012,69.215 ± 2.507
0.689 ± 0.019,69.437 ± 2.948
0.698 ± 0.021,70.181 ± 2.769
0.710 ± 0.014,71.187 ± 2.505
0.674 ± 0.015,67.666 ± 2.312
0.680 ± 0.010,68.491 ± 2.432
0.688 ± 0.012,69.416 ± 2.394
0.680 ± 0.016,68.068 ± 2.759
0.688 ± 0.019,69.416 ± 2.942
0.706 ± 0.021,71.771 ± 2.907
0.670 ± 0.017,67.364 ± 2.213
0.679 ± 0.016,68.773 ± 2.467
0.691 ± 0.017,69.759 ± 2.583
0.679 ± 0.029,67.726 ± 2.803
0.682 ± 0.025,67.787 ± 3.003
0.687 ± 0.013,68.853 ± 2.123
0.656 ± 0.019,65.815 ± 2.082
0.661 ± 0.021,66.378 ± 2.512
0.677 ± 0.013,67.726 ± 2.373
0.686 ± 0.015,68.410 ± 2.575
0.694 ± 0.012,69.215 ± 2.794
0.701 ± 0.012,70.644 ± 2.709
0.669 ± 0.016,67.545 ± 2.219
0.676 ± 0.014,68.350 ± 2.173
0.683 ± 0.011,69.155 ± 2.326
0.688 ± 0.021,69.738 ± 2.966
0.704 ± 0.020,71.006 ± 3.043
0.724 ± 0.019,72.374 ± 2.284
0.669 ± 0.018,67.928 ± 2.391
0.682 ± 0.016,68.089 ± 2.223
0.686 ± 0.017,69.618 ± 2.639
0.685 ± 0.023,68.672 ± 3.434
0.691 ± 0.023,69.779 ± 3.316
0.713 ± 0.022,72.555 ± 2.759
0.670 ± 0.017,67.545 ± 2.201
0.682 ± 0.019,68.793 ± 2.480
0.696 ± 0.017,70.342 ± 2.557
0.720 ± 0.020,71.630 ± 2.857
0.722 ± 0.022,72.616 ± 2.588
0.727 ± 0.022,73.018 ± 3.027
0.663 ± 0.017,66.660 ± 2.173
0.667 ± 0.016,66.922 ± 2.340
0.678 ± 0.011,68.692 ± 1.761
0.704 ± 0.013,70.221 ± 2.613
0.708 ± 0.011,70.744 ± 2.193
0.713 ± 0.012,71.147 ± 1.750
0.690 ± 0.014,69.095 ± 2.445
0.689 ± 0.013,69.356 ± 2.193
0.694 ± 0.011,70.382 ± 2.044
0.706 ± 0.012,70.986 ± 2.618
0.713 ± 0.011,71.891 ± 2.529
0.723 ± 0.010,72.414 ± 2.371
0.692 ± 0.012,69.155 ± 2.578
0.691 ± 0.013,69.779 ± 2.133
0.697 ± 0.010,70.584 ± 2.024
0.715 ± 0.011,71.469 ± 2.581
0.720 ± 0.012,72.394 ± 2.492
0.736 ± 0.013,73.300 ± 2.744
0.693 ± 0.012,69.376 ± 1.839
0.701 ± 0.013,70.563 ± 2.050
0.712 ± 0.014,71.569 ± 2.596
0.730 ± 0.011,73.461 ± 2.743
0.740 ± 0.010,74.024 ± 2.277
0.742 ± 0.007,74.507 ± 2.719
0.698 ± 0.008,70.463 ± 1.550
0.702 ± 0.013,70.523 ± 1.888
0.709 ± 0.009,71.167 ± 2.036
0.710 ± 0.013,70.563 ± 2.292
0.715 ± 0.012,71.388 ± 2.331
0.716 ± 0.010,71.046 ± 2.078
0.691 ± 0.015,69.598 ± 2.424
0.693 ± 0.012,69.577 ± 2.297
0.699 ± 0.012,69.980 ± 2.249
0.709 ± 0.013,70.946 ± 2.778
0.715 ± 0.009,71.469 ± 2.472
0.719 ± 0.012,71.569 ± 2.299
0.691 ± 0.013,69.356 ± 2.515
0.698 ± 0.008,69.618 ± 2.381
0.700 ± 0.011,69.980 ± 2.055
0.711 ± 0.009,70.905 ± 2.659
0.720 ± 0.013,71.650 ± 2.818
0.724 ± 0.011,71.891 ± 2.750
0.693 ± 0.010,69.557 ± 2.441
0.696 ± 0.010,70.141 ± 2.674
0.704 ± 0.011,70.563 ± 2.459
0.708 ± 0.010,71.026 ± 2.068
0.714 ± 0.012,71.308 ± 2.243
0.720 ± 0.011,71.791 ± 2.594
0.697 ± 0.013,69.517 ± 2.136
0.699 ± 0.011,70.020 ± 2.264
0.702 ± 0.012,70.765 ± 2.586
0.701 ± 0.011,70.282 ± 2.426
0.710 ± 0.013,70.563 ± 2.246
0.714 ± 0.011,71.288 ± 2.129
0.684 ± 0.011,68.813 ± 2.178
0.689 ± 0.011,69.537 ± 2.284
0.696 ± 0.012,70.201 ± 2.288
0.709 ± 0.015,71.268 ± 2.597
0.708 ± 0.012,71.268 ± 2.611
0.719 ± 0.012,72.012 ± 2.041
0.689 ± 0.012,69.296 ± 2.345
0.695 ± 0.013,69.376 ± 2.556
0.699 ± 0.012,70.040 ± 1.897
0.711 ± 0.012,71.771 ± 2.678
0.718 ± 0.016,71.932 ± 2.639
0.725 ± 0.014,73.099 ± 2.108
0.696 ± 0.015,69.618 ± 2.326
0.701 ± 0.013,70.483 ± 2.613
0.708 ± 0.014,71.167 ± 2.583
0.723 ± 0.019,72.998 ± 2.702
0.729 ± 0.022,73.642 ± 2.751
0.733 ± 0.011,73.903 ± 2.516
0.690 ± 0.011,69.336 ± 1.899
0.693 ± 0.010,69.960 ± 2.532
0.702 ± 0.007,70.402 ± 2.220
0.719 ± 0.010,71.911 ± 2.151
0.724 ± 0.012,72.294 ± 2.058
0.727 ± 0.012,72.093 ± 2.112
0.705 ± 0.011,70.785 ± 2.006
0.711 ± 0.012,71.107 ± 2.359
0.714 ± 0.009,71.449 ± 1.888
0.717 ± 0.014,72.052 ± 1.823
0.722 ± 0.014,71.972 ± 2.408
0.726 ± 0.013,72.153 ± 1.660
0.705 ± 0.009,70.785 ± 2.165
0.715 ± 0.012,70.865 ± 2.042
0.712 ± 0.011,71.590 ± 2.317
0.728 ± 0.009,72.233 ± 2.408
0.730 ± 0.015,72.475 ± 2.170
0.733 ± 0.015,73.360 ± 2.166
0.710 ± 0.011,71.569 ± 2.284
0.713 ± 0.012,71.408 ± 2.220
0.718 ± 0.010,71.952 ± 1.782
0.747 ± 0.010,74.085 ± 2.389
0.747 ± 0.013,74.487 ± 2.471
0.749 ± 0.011,74.869 ± 2.337
0.728 ± 0.013,72.495 ± 2.341
0.729 ± 0.016,72.656 ± 2.094
0.734 ± 0.012,73.099 ± 2.160
0.729 ± 0.009,72.656 ± 2.015
0.728 ± 0.010,72.716 ± 2.145
0.732 ± 0.012,73.179 ± 1.879
0.711 ± 0.010,71.087 ± 2.085
0.716 ± 0.010,71.710 ± 2.217
0.719 ± 0.009,71.871 ± 2.303
0.725 ± 0.009,72.696 ± 2.438
0.731 ± 0.014,72.475 ± 2.207
0.730 ± 0.010,72.958 ± 2.002
0.712 ± 0.011,71.368 ± 2.386
0.716 ± 0.009,71.268 ± 2.264
0.719 ± 0.009,71.831 ± 1.945
0.726 ± 0.009,72.314 ± 2.425
0.729 ± 0.009,72.616 ± 2.174
0.735 ± 0.011,72.897 ± 1.862
0.711 ± 0.011,71.268 ± 2.329
0.716 ± 0.011,71.791 ± 2.683
0.719 ± 0.011,71.771 ± 1.766
0.725 ± 0.008,72.596 ± 2.274
0.731 ± 0.011,72.555 ± 2.470
0.731 ± 0.010,73.300 ± 2.044
0.712 ± 0.009,71.549 ± 2.386
0.717 ± 0.011,71.368 ± 2.173
0.719 ± 0.010,71.549 ± 2.328
0.719 ± 0.012,71.650 ± 2.737
0.722 ± 0.009,71.952 ± 2.212
0.727 ± 0.012,72.334 ± 1.729
0.703 ± 0.012,71.167 ± 2.384
0.707 ± 0.012,71.147 ± 2.182
0.710 ± 0.012,71.469 ± 1.929
0.717 ± 0.011,71.891 ± 2.241
0.722 ± 0.013,72.173 ± 2.105
0.722 ± 0.011,72.535 ± 1.879
0.707 ± 0.012,70.905 ± 2.152
0.705 ± 0.012,70.845 ± 1.827
0.715 ± 0.013,71.207 ± 2.111
0.722 ± 0.013,72.495 ± 1.870
0.725 ± 0.015,72.596 ± 1.983
0.726 ± 0.013,72.696 ± 2.193
0.708 ± 0.013,71.107 ± 2.403
0.713 ± 0.013,71.087 ± 2.141
0.715 ± 0.011,71.489 ± 2.002
0.736 ± 0.016,73.421 ± 1.825
0.738 ± 0.011,73.843 ± 2.521
0.744 ± 0.014,73.944 ± 1.955
0.719 ± 0.014,71.871 ± 2.461
0.723 ± 0.015,72.012 ± 2.499
0.728 ± 0.015,72.314 ± 2.373
0.687 ± 0.016,68.773 ± 2.584
0.696 ± 0.013,69.879 ± 2.681
0.706 ± 0.014,70.443 ± 2.950
0.671 ± 0.012,67.626 ± 2.147
0.678 ± 0.012,68.290 ± 2.214
0.686 ± 0.012,68.934 ± 2.273
0.695 ± 0.021,70.080 ± 3.078
0.706 ± 0.019,70.845 ± 3.178
0.724 ± 0.015,72.575 ± 2.563
0.673 ± 0.016,67.867 ± 2.315
0.683 ± 0.014,68.994 ± 2.455
0.693 ± 0.013,69.577 ± 1.975
0.688 ± 0.019,69.256 ± 2.878
0.702 ± 0.018,70.684 ± 3.279
0.718 ± 0.018,72.716 ± 2.934
0.668 ± 0.019,67.686 ± 1.984
