0.822 ± 0.008,81.751 ± 2.126
0.833 ± 0.013,82.877 ± 1.908
0.844 ± 0.013,84.225 ± 1.003
0.792 ± 0.036,79.115 ± 4.022
0.804 ± 0.023,80.161 ± 3.601
0.824 ± 0.022,81.751 ± 1.853
0.849 ± 0.010,84.769 ± 0.731
0.852 ± 0.011,85.050 ± 1.201
0.853 ± 0.010,85.050 ± 1.106
0.828 ± 0.013,82.455 ± 1.767
0.833 ± 0.013,83.038 ± 1.928
0.837 ± 0.014,83.702 ± 1.376
0.854 ± 0.007,84.909 ± 1.109
0.855 ± 0.009,85.111 ± 0.764
0.858 ± 0.009,85.252 ± 0.918
0.847 ± 0.008,84.427 ± 0.896
0.847 ± 0.008,84.487 ± 0.992
0.849 ± 0.010,84.809 ± 0.914
0.854 ± 0.008,85.091 ± 1.020
0.856 ± 0.007,85.171 ± 0.944
0.858 ± 0.009,85.352 ± 0.903
0.850 ± 0.008,84.567 ± 1.014
0.853 ± 0.006,84.608 ± 0.821
0.852 ± 0.007,84.789 ± 0.883
0.832 ± 0.011,82.716 ± 2.138
0.831 ± 0.010,82.414 ± 1.784
0.836 ± 0.015,82.837 ± 1.930
0.777 ± 0.030,77.746 ± 4.412
0.793 ± 0.036,79.235 ± 4.151
0.808 ± 0.023,80.040 ± 3.140
0.851 ± 0.010,84.990 ± 0.840
0.850 ± 0.013,84.688 ± 0.954
0.854 ± 0.009,84.889 ± 0.841
0.821 ± 0.009,82.294 ± 1.844
0.823 ± 0.011,82.213 ± 1.743
0.824 ± 0.010,82.254 ± 1.887
0.852 ± 0.011,84.628 ± 1.027
0.851 ± 0.010,85.091 ± 0.860
0.856 ± 0.009,85.352 ± 0.977
0.844 ± 0.010,84.628 ± 0.845
0.844 ± 0.010,84.588 ± 0.806
0.849 ± 0.009,84.789 ± 0.887
0.846 ± 0.010,84.326 ± 0.988
0.849 ± 0.006,84.386 ± 0.864
0.851 ± 0.006,84.769 ± 0.900
0.848 ± 0.009,84.507 ± 0.948
0.847 ± 0.008,84.909 ± 0.998
0.850 ± 0.009,85.010 ± 0.983
0.822 ± 0.016,81.851 ± 2.362
0.829 ± 0.012,82.294 ± 1.924
0.835 ± 0.010,83.924 ± 1.308
0.779 ± 0.037,77.545 ± 4.173
0.797 ± 0.037,79.819 ± 4.232
0.819 ± 0.021,82.093 ± 1.759
0.847 ± 0.010,84.527 ± 0.822
0.850 ± 0.010,84.909 ± 1.149
0.851 ± 0.010,85.050 ± 0.957
0.818 ± 0.013,81.429 ± 1.984
0.822 ± 0.014,81.972 ± 1.909
0.830 ± 0.013,83.159 ± 1.131
0.854 ± 0.007,85.091 ± 0.946
0.855 ± 0.008,85.131 ± 1.107
0.853 ± 0.010,85.332 ± 0.937
0.845 ± 0.009,84.326 ± 1.089
0.845 ± 0.008,84.487 ± 1.164
0.846 ± 0.008,84.648 ± 1.153
0.853 ± 0.007,85.010 ± 0.892
0.855 ± 0.006,85.091 ± 0.837
0.857 ± 0.009,85.292 ± 0.879
0.849 ± 0.007,84.547 ± 0.890
0.852 ± 0.006,84.688 ± 1.032
0.850 ± 0.008,84.769 ± 0.882
0.838 ± 0.008,83.461 ± 1.973
0.832 ± 0.017,83.018 ± 2.208
0.848 ± 0.012,84.970 ± 1.632
0.802 ± 0.038,80.020 ± 3.547
0.813 ± 0.031,81.429 ± 3.858
0.833 ± 0.021,83.058 ± 2.055
0.856 ± 0.008,85.513 ± 1.204
0.855 ± 0.011,85.573 ± 1.400
0.855 ± 0.007,85.734 ± 1.028
0.833 ± 0.009,82.978 ± 1.984
0.834 ± 0.012,83.239 ± 2.032
0.844 ± 0.013,84.427 ± 1.613
0.859 ± 0.007,86.076 ± 1.072
0.861 ± 0.011,86.318 ± 1.571
0.861 ± 0.008,86.559 ± 1.502
0.850 ± 0.008,85.453 ± 1.688
0.853 ± 0.008,85.513 ± 1.406
0.854 ± 0.010,85.573 ± 1.707
0.861 ± 0.007,85.895 ± 1.415
0.863 ± 0.009,86.278 ± 1.190
0.864 ± 0.009,86.197 ± 1.368
0.858 ± 0.010,85.714 ± 1.350
0.857 ± 0.008,85.795 ± 0.999
0.859 ± 0.009,85.936 ± 1.302
0.825 ± 0.021,82.133 ± 2.412
0.830 ± 0.015,82.897 ± 1.717
0.832 ± 0.010,83.018 ± 1.892
0.773 ± 0.039,77.163 ± 4.667
0.778 ± 0.036,77.968 ± 4.078
0.789 ± 0.036,79.296 ± 4.616
0.848 ± 0.009,85.010 ± 0.966
0.851 ± 0.008,85.392 ± 1.177
0.852 ± 0.010,84.930 ± 1.280
0.826 ± 0.010,82.435 ± 1.525
0.826 ± 0.014,82.555 ± 1.731
0.831 ± 0.013,82.535 ± 2.022
0.854 ± 0.009,85.976 ± 1.451
0.856 ± 0.009,85.895 ± 1.232
0.860 ± 0.010,86.076 ± 1.428
0.848 ± 0.009,84.748 ± 1.045
0.849 ± 0.010,85.171 ± 1.113
0.851 ± 0.010,85.191 ± 1.225
0.850 ± 0.009,85.312 ± 1.487
0.851 ± 0.012,84.930 ± 1.140
0.855 ± 0.008,85.634 ± 1.338
0.849 ± 0.010,85.252 ± 1.572
0.851 ± 0.008,85.151 ± 1.442
0.853 ± 0.008,85.352 ± 1.361
0.827 ± 0.013,82.374 ± 2.321
0.825 ± 0.018,82.153 ± 2.384
0.842 ± 0.014,83.984 ± 1.899
0.777 ± 0.044,77.143 ± 4.699
0.798 ± 0.036,79.980 ± 4.309
0.825 ± 0.013,82.716 ± 1.901
0.852 ± 0.008,85.473 ± 1.052
0.849 ± 0.009,85.131 ± 1.140
0.853 ± 0.009,85.352 ± 1.319
0.824 ± 0.012,81.871 ± 1.730
0.821 ± 0.012,82.153 ± 2.636
0.835 ± 0.011,83.682 ± 1.565
0.858 ± 0.007,85.915 ± 1.426
0.859 ± 0.007,85.956 ± 1.411
0.860 ± 0.006,86.298 ± 1.441
0.847 ± 0.008,85.030 ± 1.286
0.846 ± 0.005,85.473 ± 0.985
0.848 ± 0.008,84.869 ± 1.361
0.860 ± 0.009,86.097 ± 1.407
0.859 ± 0.007,86.157 ± 1.494
0.864 ± 0.010,85.895 ± 1.477
0.853 ± 0.007,85.352 ± 1.532
0.856 ± 0.007,85.553 ± 1.524
0.855 ± 0.007,85.855 ± 1.584
0.832 ± 0.016,82.797 ± 2.401
0.840 ± 0.010,84.205 ± 2.239
0.852 ± 0.010,84.970 ± 1.691
0.788 ± 0.036,78.692 ± 3.889
0.827 ± 0.025,82.777 ± 3.448
0.843 ± 0.015,83.803 ± 2.046
0.856 ± 0.010,85.131 ± 1.699
0.859 ± 0.010,85.594 ± 1.590
0.861 ± 0.009,86.076 ± 1.651
0.835 ± 0.016,83.179 ± 2.203
0.841 ± 0.013,83.944 ± 1.685
0.851 ± 0.011,84.668 ± 1.817
0.865 ± 0.010,86.841 ± 1.406
0.867 ± 0.009,86.640 ± 1.432
0.864 ± 0.007,86.942 ± 1.401
0.856 ± 0.007,85.292 ± 1.665
0.856 ± 0.009,85.654 ± 1.341
0.859 ± 0.007,86.016 ± 1.736
0.866 ± 0.010,87.203 ± 0.999
0.866 ± 0.009,86.559 ± 1.278
0.868 ± 0.008,86.700 ± 1.472
0.861 ± 0.010,86.117 ± 1.350
0.862 ± 0.008,86.237 ± 1.320
0.862 ± 0.010,86.378 ± 1.244
0.813 ± 0.024,80.865 ± 3.619
0.821 ± 0.025,81.992 ± 3.451
0.838 ± 0.018,83.581 ± 2.781
0.770 ± 0.049,76.881 ± 5.604
0.775 ± 0.044,77.907 ± 5.449
0.802 ± 0.044,79.859 ± 5.395
0.847 ± 0.011,84.567 ± 2.139
0.843 ± 0.014,84.366 ± 1.740
0.854 ± 0.007,85.433 ± 1.681
0.816 ± 0.018,81.147 ± 3.208
0.825 ± 0.030,82.093 ± 3.860
0.832 ± 0.020,83.239 ± 2.698
0.857 ± 0.005,85.855 ± 1.698
0.854 ± 0.009,85.855 ± 1.329
0.858 ± 0.009,85.915 ± 1.359
0.845 ± 0.007,84.708 ± 1.411
0.845 ± 0.008,84.930 ± 1.199
0.849 ± 0.007,85.171 ± 1.473
0.857 ± 0.010,85.714 ± 1.276
0.857 ± 0.007,86.258 ± 0.905
0.857 ± 0.010,86.097 ± 1.129
0.852 ± 0.008,85.573 ± 1.237
0.852 ± 0.010,85.594 ± 1.365
0.856 ± 0.006,85.674 ± 1.137
0.826 ± 0.022,82.716 ± 3.262
0.831 ± 0.018,82.877 ± 2.470
0.844 ± 0.017,84.245 ± 2.698
0.778 ± 0.041,77.787 ± 5.202
0.789 ± 0.055,78.773 ± 6.153
0.835 ± 0.017,83.642 ± 2.805
0.853 ± 0.007,85.191 ± 2.012
0.851 ± 0.007,85.332 ± 1.526
0.858 ± 0.010,85.895 ± 1.655
0.832 ± 0.015,82.998 ± 2.721
