0.828 ± 0.010,82.334 ± 1.721
0.835 ± 0.007,82.918 ± 1.631
0.844 ± 0.010,84.205 ± 1.157
0.802 ± 0.032,79.859 ± 4.203
0.811 ± 0.024,80.805 ± 3.557
0.821 ± 0.021,82.294 ± 2.077
0.850 ± 0.010,84.809 ± 1.050
0.850 ± 0.010,84.829 ± 0.780
0.854 ± 0.011,85.191 ± 0.765
0.831 ± 0.011,82.958 ± 1.763
0.831 ± 0.013,83.179 ± 1.820
0.839 ± 0.013,83.742 ± 1.173
0.856 ± 0.008,84.889 ± 0.933
0.857 ± 0.008,85.010 ± 0.811
0.859 ± 0.008,85.272 ± 1.005
0.846 ± 0.008,84.346 ± 0.930
0.847 ± 0.009,84.406 ± 0.941
0.849 ± 0.009,84.708 ± 1.135
0.855 ± 0.008,85.292 ± 0.817
0.858 ± 0.010,85.272 ± 0.824
0.860 ± 0.010,85.433 ± 0.892
0.851 ± 0.006,84.527 ± 0.933
0.853 ± 0.006,84.588 ± 0.791
0.853 ± 0.007,84.829 ± 0.770
0.829 ± 0.013,82.757 ± 1.978
0.831 ± 0.010,82.978 ± 2.099
0.834 ± 0.013,82.777 ± 1.918
0.783 ± 0.031,78.048 ± 4.182
0.783 ± 0.030,78.169 ± 3.808
0.805 ± 0.029,79.618 ± 3.367
0.851 ± 0.011,84.889 ± 0.937
0.854 ± 0.008,84.970 ± 0.859
0.856 ± 0.009,85.513 ± 0.758
0.822 ± 0.013,81.811 ± 1.838
0.825 ± 0.009,82.334 ± 1.863
0.827 ± 0.007,82.314 ± 1.526
0.851 ± 0.010,84.648 ± 0.873
0.852 ± 0.012,84.950 ± 0.848
0.855 ± 0.009,85.252 ± 1.084
0.845 ± 0.009,84.648 ± 1.173
0.846 ± 0.010,84.688 ± 0.950
0.846 ± 0.011,84.869 ± 0.964
0.842 ± 0.015,83.803 ± 1.211
0.848 ± 0.008,84.447 ± 1.065
0.849 ± 0.010,84.547 ± 0.943
0.847 ± 0.009,84.427 ± 1.003
0.847 ± 0.009,84.628 ± 1.153
0.847 ± 0.008,84.708 ± 0.982
0.817 ± 0.016,81.569 ± 2.335
0.833 ± 0.011,82.455 ± 1.792
