0.768 ± 0.080,74.595 ± 7.758
0.764 ± 0.077,75.135 ± 7.529
0.763 ± 0.079,74.865 ± 6.949
0.773 ± 0.075,74.865 ± 4.991
0.773 ± 0.085,74.865 ± 4.991
0.768 ± 0.075,75.135 ± 6.598
0.747 ± 0.089,74.865 ± 6.626
0.747 ± 0.089,74.324 ± 6.648
0.754 ± 0.089,74.324 ± 6.310
0.773 ± 0.075,74.595 ± 6.068
0.766 ± 0.077,74.595 ± 6.068
0.759 ± 0.072,74.054 ± 6.068
0.742 ± 0.093,74.324 ± 6.310
0.742 ± 0.082,73.784 ± 5.927
0.749 ± 0.089,74.324 ± 6.193
0.749 ± 0.087,72.703 ± 6.098
0.747 ± 0.087,74.054 ± 5.432
0.751 ± 0.088,74.865 ± 5.803
0.737 ± 0.084,72.973 ± 5.921
0.747 ± 0.081,73.514 ± 5.771
0.742 ± 0.083,73.784 ± 5.412
0.744 ± 0.090,74.054 ± 6.419
0.747 ± 0.092,73.784 ± 6.169
0.749 ± 0.082,72.973 ± 5.921
0.798 ± 0.072,77.838 ± 5.241
0.802 ± 0.063,77.027 ± 5.303
0.802 ± 0.066,76.757 ± 6.419
0.790 ± 0.072,77.297 ± 4.865
0.790 ± 0.077,76.757 ± 5.013
0.781 ± 0.080,76.486 ± 4.991
0.798 ± 0.060,78.378 ± 5.669
0.795 ± 0.067,77.568 ± 5.545
0.792 ± 0.079,76.757 ± 5.695
0.798 ± 0.068,77.568 ± 4.991
0.793 ± 0.065,77.838 ± 5.099
0.786 ± 0.070,77.297 ± 5.296
0.781 ± 0.088,77.297 ± 4.555
0.793 ± 0.093,77.027 ± 4.720
0.778 ± 0.097,75.676 ± 5.921
0.793 ± 0.075,77.297 ± 5.013
0.793 ± 0.070,77.027 ± 5.303
0.788 ± 0.071,76.216 ± 7.130
0.785 ± 0.088,77.027 ± 4.563
0.773 ± 0.093,76.216 ± 6.816
0.776 ± 0.094,75.946 ± 6.670
0.785 ± 0.088,76.486 ± 4.531
0.783 ± 0.095,76.216 ± 4.324
0.769 ± 0.090,74.865 ± 5.676
0.778 ± 0.084,75.946 ± 7.094
0.773 ± 0.081,75.676 ± 6.730
