0.766 ± 0.076,76.216 ± 6.708
0.771 ± 0.076,76.216 ± 6.598
0.769 ± 0.084,75.676 ± 6.620
0.771 ± 0.082,75.946 ± 4.265
0.771 ± 0.074,75.676 ± 5.128
0.769 ± 0.082,75.946 ± 5.977
0.756 ± 0.090,74.865 ± 5.412
0.746 ± 0.083,74.595 ± 6.531
0.759 ± 0.088,75.135 ± 6.708
0.766 ± 0.081,75.676 ± 5.921
0.764 ± 0.076,75.676 ± 5.921
0.759 ± 0.082,74.595 ± 6.187
0.736 ± 0.084,74.324 ± 5.572
0.749 ± 0.079,74.865 ± 6.626
0.753 ± 0.078,74.595 ± 6.187
0.754 ± 0.089,74.595 ± 6.304
0.754 ± 0.087,75.135 ± 6.486
0.753 ± 0.088,74.595 ± 6.304
0.744 ± 0.074,73.784 ± 6.049
0.742 ± 0.083,73.784 ± 5.927
0.741 ± 0.080,73.514 ± 5.897
0.746 ± 0.083,74.595 ± 6.419
0.747 ± 0.088,74.595 ± 5.432
0.751 ± 0.085,73.784 ± 6.169
0.798 ± 0.064,78.649 ± 5.192
0.797 ± 0.064,78.649 ± 6.098
0.800 ± 0.069,78.108 ± 5.853
0.797 ± 0.073,77.838 ± 5.241
0.788 ± 0.078,77.027 ± 4.720
0.776 ± 0.078,76.486 ± 5.412
0.793 ± 0.065,78.108 ± 5.977
0.786 ± 0.096,77.838 ± 4.804
0.790 ± 0.072,77.838 ± 4.650
0.795 ± 0.066,77.568 ± 4.842
0.797 ± 0.069,78.378 ± 4.984
0.783 ± 0.089,77.568 ± 4.842
0.792 ± 0.084,78.108 ± 4.902
0.786 ± 0.091,77.027 ± 5.303
0.780 ± 0.095,77.838 ± 4.650
0.785 ± 0.089,77.838 ± 4.650
0.785 ± 0.099,77.568 ± 4.531
0.778 ± 0.089,76.216 ± 6.019
0.785 ± 0.086,77.027 ± 6.970
0.780 ± 0.091,76.486 ± 6.843
0.780 ± 0.089,76.216 ± 4.324
0.783 ± 0.093,77.027 ± 4.563
0.780 ± 0.087,76.757 ± 4.222
0.773 ± 0.081,76.486 ± 5.275
0.775 ± 0.086,76.757 ± 6.859
0.771 ± 0.082,75.946 ± 6.670
0.776 ± 0.085,76.216 ± 6.708
0.773 ± 0.072,76.486 ± 4.991
0.771 ± 0.085,75.405 ± 5.853
0.766 ± 0.073,74.865 ± 5.927
0.771 ± 0.090,76.486 ± 6.843
0.759 ± 0.098,77.027 ± 7.074
0.766 ± 0.082,75.946 ± 6.670
0.776 ± 0.086,77.027 ± 6.074
0.771 ± 0.085,75.946 ± 5.977
0.764 ± 0.077,75.676 ± 5.669
0.776 ± 0.087,75.946 ± 7.592
0.758 ± 0.089,74.865 ± 6.401
0.756 ± 0.082,74.865 ± 6.515
0.761 ± 0.091,75.135 ± 6.598
0.754 ± 0.087,75.405 ± 6.447
0.756 ± 0.088,76.216 ± 5.897
0.775 ± 0.095,75.405 ± 6.447
0.764 ± 0.080,75.676 ± 5.921
0.754 ± 0.078,74.324 ± 6.424
0.764 ± 0.090,74.865 ± 6.401
0.754 ± 0.087,74.595 ± 5.296
0.753 ± 0.088,73.784 ± 6.286
0.853 ± 0.054,84.595 ± 6.401
0.846 ± 0.063,83.243 ± 8.699
0.837 ± 0.052,82.703 ± 8.564
0.839 ± 0.058,82.432 ± 5.572
0.827 ± 0.079,81.892 ± 5.135
0.819 ± 0.076,80.811 ± 8.670
0.842 ± 0.069,84.324 ± 6.019
0.836 ± 0.061,82.703 ± 7.944
0.810 ± 0.082,82.432 ± 9.985
0.836 ± 0.064,83.784 ± 6.943
0.829 ± 0.059,81.622 ± 5.378
0.807 ± 0.086,80.270 ± 8.465
0.831 ± 0.066,83.243 ± 8.615
0.815 ± 0.088,82.162 ± 9.141
0.817 ± 0.076,82.162 ± 9.834
0.829 ± 0.060,82.973 ± 8.202
0.820 ± 0.074,83.514 ± 7.687
0.802 ± 0.087,80.270 ± 9.444
0.808 ± 0.092,81.892 ± 8.551
0.808 ± 0.077,82.703 ± 9.378
0.797 ± 0.089,80.541 ± 8.948
0.802 ± 0.098,80.541 ± 9.189
0.790 ± 0.094,80.811 ± 9.552
0.803 ± 0.088,80.000 ± 9.456
0.858 ± 0.057,84.595 ± 6.049
0.844 ± 0.061,85.676 ± 6.735
0.834 ± 0.059,82.432 ± 6.970
0.844 ± 0.057,84.324 ± 5.897
0.839 ± 0.054,84.054 ± 5.853
0.829 ± 0.068,82.162 ± 6.187
0.856 ± 0.050,85.405 ± 6.419
0.844 ± 0.048,84.865 ± 6.419
0.846 ± 0.055,84.324 ± 6.019
0.847 ± 0.065,84.865 ± 5.565
0.836 ± 0.060,83.514 ± 5.192
0.834 ± 0.063,81.892 ± 5.927
0.844 ± 0.061,85.676 ± 6.286
0.842 ± 0.065,84.865 ± 6.304
0.837 ± 0.057,83.514 ± 6.098
0.837 ± 0.070,84.595 ± 6.049
0.836 ± 0.058,83.784 ± 6.043
0.837 ± 0.064,82.162 ± 8.391
0.842 ± 0.054,85.135 ± 6.648
0.842 ± 0.052,85.676 ± 6.286
0.822 ± 0.075,84.324 ± 7.027
0.844 ± 0.063,85.135 ± 6.193
0.832 ± 0.063,83.784 ± 5.405
0.831 ± 0.061,84.595 ± 7.456
0.856 ± 0.061,86.486 ± 6.281
0.839 ± 0.077,84.324 ± 8.180
0.831 ± 0.063,83.784 ± 8.374
0.836 ± 0.064,84.865 ± 6.304
0.832 ± 0.065,82.703 ± 7.171
0.831 ± 0.055,80.000 ± 8.649
0.844 ± 0.059,85.676 ± 6.049
0.831 ± 0.067,84.865 ± 7.372
0.817 ± 0.085,82.432 ± 8.653
0.842 ± 0.049,83.784 ± 8.018
0.825 ± 0.064,82.432 ± 7.668
0.817 ± 0.066,81.081 ± 9.669
0.829 ± 0.076,82.973 ± 9.823
0.808 ± 0.071,82.973 ± 7.053
0.820 ± 0.074,82.432 ± 9.145
0.829 ± 0.061,83.514 ± 8.326
0.820 ± 0.061,82.973 ± 8.202
0.798 ± 0.076,81.351 ± 10.073
0.831 ± 0.071,82.162 ± 9.300
0.815 ± 0.080,81.622 ± 9.347
0.817 ± 0.092,80.270 ± 9.366
0.817 ± 0.076,83.514 ± 9.081
0.790 ± 0.094,80.811 ± 9.161
0.807 ± 0.078,82.432 ± 10.058
