0.348 ± 0.006,33.697 ± 0.731
0.349 ± 0.005,33.763 ± 0.593
0.351 ± 0.005,33.803 ± 0.709
0.348 ± 0.008,33.500 ± 0.509
0.350 ± 0.006,33.697 ± 0.573
0.349 ± 0.007,33.829 ± 0.506
0.345 ± 0.006,33.480 ± 0.602
0.348 ± 0.007,33.664 ± 0.716
0.348 ± 0.008,33.743 ± 0.603
0.344 ± 0.007,33.586 ± 0.555
0.347 ± 0.007,33.493 ± 0.640
0.347 ± 0.005,33.658 ± 0.551
0.336 ± 0.006,32.895 ± 0.555
0.341 ± 0.004,33.079 ± 0.665
0.344 ± 0.006,33.599 ± 0.505
0.336 ± 0.007,32.671 ± 0.604
0.340 ± 0.007,33.072 ± 0.613
0.343 ± 0.008,33.599 ± 0.673
0.329 ± 0.009,32.270 ± 0.413
0.332 ± 0.007,32.559 ± 0.591
0.338 ± 0.006,32.776 ± 0.334
0.328 ± 0.007,32.289 ± 0.640
0.331 ± 0.007,32.579 ± 0.640
0.335 ± 0.007,32.651 ± 0.329
0.348 ± 0.007,33.375 ± 0.718
0.351 ± 0.006,33.862 ± 0.616
0.351 ± 0.006,33.928 ± 0.747
0.350 ± 0.006,33.572 ± 0.626
0.351 ± 0.008,33.572 ± 0.491
0.351 ± 0.008,33.901 ± 0.622
0.347 ± 0.008,33.671 ± 0.663
0.349 ± 0.008,33.671 ± 0.691
0.350 ± 0.006,33.974 ± 0.751
0.344 ± 0.008,33.520 ± 0.849
0.346 ± 0.007,33.664 ± 0.975
0.349 ± 0.007,33.618 ± 0.623
0.342 ± 0.007,33.421 ± 0.913
0.346 ± 0.008,33.368 ± 0.668
0.349 ± 0.008,33.750 ± 0.731
0.338 ± 0.007,33.257 ± 0.811
0.342 ± 0.009,33.276 ± 0.808
0.345 ± 0.006,33.230 ± 0.671
0.338 ± 0.008,32.987 ± 0.548
0.338 ± 0.008,33.414 ± 0.618
0.344 ± 0.008,33.375 ± 0.766
0.333 ± 0.008,32.789 ± 0.571
0.336 ± 0.008,32.796 ± 0.510
0.339 ± 0.009,33.237 ± 0.579
0.348 ± 0.006,33.704 ± 0.710
0.350 ± 0.006,33.605 ± 0.689
0.352 ± 0.008,33.980 ± 0.550
0.348 ± 0.006,33.632 ± 0.597
0.349 ± 0.007,33.349 ± 0.584
0.351 ± 0.007,33.789 ± 0.657
0.347 ± 0.008,33.658 ± 0.777
0.347 ± 0.006,33.664 ± 0.721
0.349 ± 0.008,33.980 ± 0.636
0.342 ± 0.008,33.441 ± 0.595
0.345 ± 0.007,33.684 ± 0.577
0.349 ± 0.008,33.586 ± 0.510
0.336 ± 0.007,33.178 ± 0.607
0.342 ± 0.004,33.250 ± 0.528
0.345 ± 0.008,33.625 ± 0.626
0.338 ± 0.007,33.217 ± 0.768
0.339 ± 0.008,33.474 ± 0.854
0.342 ± 0.009,33.375 ± 0.747
0.331 ± 0.007,32.664 ± 0.372
0.335 ± 0.009,32.842 ± 0.489
0.339 ± 0.008,33.033 ± 0.546
0.328 ± 0.009,32.678 ± 0.656
0.332 ± 0.008,32.559 ± 0.572
0.337 ± 0.006,33.033 ± 0.586
0.353 ± 0.009,34.033 ± 0.927
0.352 ± 0.006,34.164 ± 0.694
0.353 ± 0.007,34.362 ± 0.759
0.349 ± 0.008,33.559 ± 1.006
0.351 ± 0.008,33.783 ± 0.737
0.352 ± 0.009,33.875 ± 0.869
0.348 ± 0.006,33.868 ± 0.849
0.353 ± 0.009,34.191 ± 0.816
0.352 ± 0.008,34.230 ± 0.624
0.346 ± 0.006,33.974 ± 0.748
0.349 ± 0.007,33.724 ± 0.550
0.350 ± 0.010,33.888 ± 0.466
0.348 ± 0.005,34.132 ± 0.618
0.350 ± 0.009,34.099 ± 0.819
0.352 ± 0.007,34.197 ± 0.769
0.346 ± 0.007,33.757 ± 0.596
0.347 ± 0.007,34.033 ± 0.540
0.350 ± 0.008,34.000 ± 0.542
0.346 ± 0.006,33.526 ± 0.643
0.347 ± 0.010,33.816 ± 0.923
0.349 ± 0.008,33.967 ± 0.447
0.341 ± 0.007,33.000 ± 0.486
0.344 ± 0.008,33.421 ± 0.621
0.343 ± 0.006,33.474 ± 0.704
0.352 ± 0.008,33.803 ± 0.704
0.353 ± 0.009,34.099 ± 0.694
0.355 ± 0.009,34.309 ± 0.997
0.351 ± 0.010,34.020 ± 0.754
0.352 ± 0.008,34.257 ± 0.631
0.352 ± 0.008,34.118 ± 0.555
0.348 ± 0.007,33.664 ± 0.741
0.351 ± 0.009,33.980 ± 0.600
0.352 ± 0.006,34.118 ± 0.632
0.347 ± 0.008,33.980 ± 0.937
0.350 ± 0.008,34.039 ± 0.861
0.352 ± 0.011,34.158 ± 1.026
0.346 ± 0.008,34.020 ± 0.569
0.350 ± 0.008,34.322 ± 0.516
0.352 ± 0.008,34.388 ± 0.775
0.344 ± 0.009,33.967 ± 0.589
0.346 ± 0.006,33.967 ± 0.787
0.350 ± 0.008,34.066 ± 0.406
