0.342 ± 0.009,34.171 ± 0.576
0.347 ± 0.011,34.447 ± 0.466
0.350 ± 0.009,34.855 ± 0.385
0.347 ± 0.009,34.355 ± 0.547
0.348 ± 0.008,34.428 ± 0.641
0.352 ± 0.007,34.493 ± 0.526
0.323 ± 0.012,32.243 ± 0.964
0.329 ± 0.012,32.625 ± 1.121
0.334 ± 0.009,33.289 ± 1.220
0.336 ± 0.012,33.197 ± 0.721
0.338 ± 0.010,33.553 ± 1.153
0.342 ± 0.009,34.046 ± 0.905
0.309 ± 0.008,31.099 ± 1.064
0.313 ± 0.007,31.671 ± 1.101
0.320 ± 0.007,31.908 ± 1.177
0.311 ± 0.009,31.349 ± 1.023
0.314 ± 0.008,31.454 ± 1.051
0.321 ± 0.010,31.961 ± 0.768
0.300 ± 0.006,30.000 ± 0.962
0.305 ± 0.004,30.678 ± 0.813
0.309 ± 0.006,31.053 ± 0.891
0.301 ± 0.007,29.822 ± 1.041
0.305 ± 0.007,30.197 ± 0.803
0.308 ± 0.008,30.730 ± 1.173
0.350 ± 0.011,34.118 ± 0.635
0.348 ± 0.015,34.632 ± 0.770
0.354 ± 0.011,34.737 ± 0.691
0.348 ± 0.010,34.388 ± 0.810
0.352 ± 0.008,34.441 ± 0.639
0.353 ± 0.009,34.493 ± 0.937
0.331 ± 0.011,32.895 ± 1.210
0.335 ± 0.009,33.349 ± 1.130
0.342 ± 0.009,33.822 ± 1.094
0.335 ± 0.010,33.382 ± 0.910
0.341 ± 0.011,33.783 ± 0.779
0.345 ± 0.010,34.414 ± 0.788
0.319 ± 0.007,32.138 ± 1.241
0.323 ± 0.008,32.349 ± 1.171
0.329 ± 0.010,32.750 ± 1.098
0.317 ± 0.009,31.954 ± 1.138
0.322 ± 0.009,32.322 ± 1.003
0.329 ± 0.009,32.717 ± 1.121
0.311 ± 0.008,31.467 ± 0.562
0.315 ± 0.007,31.546 ± 0.612
0.319 ± 0.009,32.059 ± 0.626
0.307 ± 0.007,30.783 ± 0.642
0.308 ± 0.005,31.145 ± 0.841
0.316 ± 0.008,31.605 ± 0.904
0.342 ± 0.011,34.092 ± 0.716
0.349 ± 0.011,34.612 ± 0.651
0.351 ± 0.008,34.829 ± 0.608
0.347 ± 0.009,34.329 ± 0.714
0.350 ± 0.008,34.329 ± 0.678
0.350 ± 0.008,34.730 ± 0.629
0.326 ± 0.014,32.382 ± 1.514
0.333 ± 0.014,32.901 ± 1.381
0.336 ± 0.008,33.572 ± 1.182
0.336 ± 0.012,33.217 ± 0.863
0.339 ± 0.009,33.757 ± 0.752
0.341 ± 0.009,33.842 ± 0.792
0.312 ± 0.007,31.493 ± 1.017
0.316 ± 0.008,31.822 ± 1.094
0.322 ± 0.008,32.178 ± 0.847
0.314 ± 0.009,31.546 ± 0.954
0.317 ± 0.009,31.954 ± 0.993
0.323 ± 0.008,32.375 ± 1.046
0.302 ± 0.008,30.270 ± 0.959
0.306 ± 0.008,30.645 ± 0.981
0.310 ± 0.008,31.362 ± 1.021
0.302 ± 0.008,30.184 ± 1.205
0.307 ± 0.007,30.586 ± 0.970
0.310 ± 0.010,31.033 ± 1.207
0.353 ± 0.010,34.572 ± 0.598
0.354 ± 0.007,34.645 ± 0.596
0.355 ± 0.007,35.224 ± 0.799
0.350 ± 0.008,34.579 ± 0.614
0.353 ± 0.009,34.724 ± 0.591
0.355 ± 0.008,35.184 ± 0.708
0.350 ± 0.008,34.487 ± 0.716
0.350 ± 0.009,34.651 ± 0.726
0.354 ± 0.007,34.539 ± 0.886
0.347 ± 0.008,34.112 ± 0.723
0.349 ± 0.008,34.441 ± 0.659
0.351 ± 0.007,34.618 ± 0.747
0.338 ± 0.010,33.776 ± 0.916
0.343 ± 0.009,33.914 ± 0.628
0.347 ± 0.007,34.263 ± 0.903
0.338 ± 0.010,33.500 ± 1.060
0.340 ± 0.009,33.711 ± 1.017
0.342 ± 0.009,33.855 ± 0.921
0.326 ± 0.007,32.625 ± 0.920
0.330 ± 0.009,32.789 ± 1.295
0.333 ± 0.006,32.882 ± 1.010
0.321 ± 0.006,32.151 ± 1.026
0.323 ± 0.007,32.664 ± 0.834
0.329 ± 0.007,32.862 ± 0.913
0.352 ± 0.008,34.586 ± 1.002
0.355 ± 0.008,34.789 ± 0.842
0.357 ± 0.009,35.224 ± 1.101
0.352 ± 0.010,34.401 ± 0.813
0.354 ± 0.010,34.618 ± 0.993
0.356 ± 0.009,35.105 ± 1.064
0.353 ± 0.005,34.428 ± 0.869
0.353 ± 0.007,34.309 ± 0.949
0.358 ± 0.007,35.039 ± 0.933
0.350 ± 0.010,34.204 ± 0.735
0.352 ± 0.011,34.691 ± 0.947
0.354 ± 0.008,34.651 ± 0.914
0.348 ± 0.007,34.230 ± 0.542
0.352 ± 0.009,34.526 ± 0.491
0.351 ± 0.010,34.763 ± 0.639
0.345 ± 0.009,34.066 ± 0.547
0.345 ± 0.007,34.316 ± 0.551
0.344 ± 0.009,34.533 ± 0.713
0.341 ± 0.008,33.401 ± 0.918
0.342 ± 0.009,34.105 ± 0.965
0.347 ± 0.010,34.270 ± 0.735
0.330 ± 0.007,33.204 ± 0.944
0.335 ± 0.008,33.263 ± 0.702
0.343 ± 0.009,33.638 ± 0.758
0.353 ± 0.009,34.704 ± 1.000
0.354 ± 0.009,34.783 ± 0.669
0.354 ± 0.006,34.947 ± 0.677
0.351 ± 0.008,34.395 ± 0.553
0.354 ± 0.009,34.743 ± 0.549
0.355 ± 0.008,34.967 ± 0.867
0.352 ± 0.010,34.474 ± 0.742
0.349 ± 0.009,34.737 ± 0.719
0.354 ± 0.005,35.026 ± 1.032
0.347 ± 0.007,34.513 ± 0.607
0.350 ± 0.009,34.882 ± 0.842
0.353 ± 0.008,34.474 ± 0.928
0.342 ± 0.009,33.934 ± 1.145
0.344 ± 0.010,34.026 ± 0.685
0.349 ± 0.008,34.349 ± 0.750
0.339 ± 0.007,33.757 ± 0.959
0.343 ± 0.009,33.783 ± 0.659
0.348 ± 0.006,34.408 ± 0.671
0.329 ± 0.009,32.717 ± 0.971
0.330 ± 0.009,32.862 ± 1.132
0.335 ± 0.009,33.421 ± 0.786
0.324 ± 0.009,32.586 ± 0.694
0.327 ± 0.007,33.000 ± 0.998
0.333 ± 0.008,32.928 ± 1.006
0.361 ± 0.009,34.974 ± 0.976
0.361 ± 0.009,35.243 ± 0.808
0.363 ± 0.009,35.263 ± 1.007
0.356 ± 0.008,34.961 ± 0.656
0.360 ± 0.010,35.257 ± 0.831
0.359 ± 0.009,35.322 ± 0.827
0.355 ± 0.006,34.743 ± 0.720
0.360 ± 0.008,35.250 ± 0.781
0.358 ± 0.007,35.355 ± 0.821
0.353 ± 0.005,34.382 ± 1.072
0.358 ± 0.007,34.796 ± 1.040
0.359 ± 0.009,35.053 ± 0.769
0.354 ± 0.006,34.211 ± 0.575
0.358 ± 0.006,34.783 ± 0.773
0.358 ± 0.007,35.007 ± 0.864
0.351 ± 0.009,34.388 ± 0.521
0.354 ± 0.007,34.526 ± 0.735
0.356 ± 0.010,34.618 ± 0.674
0.348 ± 0.008,34.105 ± 1.088
0.352 ± 0.006,34.079 ± 0.813
0.357 ± 0.009,34.954 ± 0.987
0.338 ± 0.008,33.599 ± 0.661
0.347 ± 0.005,34.276 ± 1.058
0.351 ± 0.009,34.230 ± 0.663
0.356 ± 0.010,34.559 ± 1.075
0.360 ± 0.010,35.099 ± 0.968
0.361 ± 0.010,35.184 ± 1.003
0.355 ± 0.006,34.849 ± 1.136
0.357 ± 0.010,34.961 ± 0.822
0.358 ± 0.012,35.191 ± 0.916
0.356 ± 0.010,34.961 ± 0.785
0.357 ± 0.008,34.572 ± 0.651
0.361 ± 0.010,35.151 ± 0.954
0.353 ± 0.005,34.546 ± 0.982
0.354 ± 0.006,34.559 ± 0.783
0.359 ± 0.007,34.888 ± 0.891
0.357 ± 0.008,34.875 ± 0.590
0.356 ± 0.006,34.993 ± 0.834
0.359 ± 0.008,35.408 ± 0.702
0.351 ± 0.008,34.336 ± 0.693
0.355 ± 0.007,34.776 ± 1.175
0.357 ± 0.007,34.803 ± 0.785
0.354 ± 0.010,34.586 ± 0.832
0.354 ± 0.007,34.632 ± 0.700
0.357 ± 0.009,35.033 ± 0.534
0.351 ± 0.006,34.553 ± 0.802
0.353 ± 0.008,34.697 ± 0.742
0.356 ± 0.010,34.934 ± 0.966
0.361 ± 0.008,35.046 ± 0.909
0.361 ± 0.006,35.382 ± 0.812
0.363 ± 0.008,35.375 ± 0.894
0.356 ± 0.007,35.059 ± 1.088
0.360 ± 0.008,34.947 ± 0.932
0.359 ± 0.010,35.500 ± 0.906
0.355 ± 0.005,34.684 ± 0.805
0.360 ± 0.007,35.257 ± 1.036
0.361 ± 0.009,35.401 ± 0.629
0.353 ± 0.005,34.546 ± 1.054
0.355 ± 0.009,34.743 ± 1.024
0.359 ± 0.010,35.059 ± 0.965
0.353 ± 0.005,34.382 ± 1.171
0.357 ± 0.008,34.934 ± 0.604
0.359 ± 0.008,35.138 ± 1.150
0.353 ± 0.007,34.546 ± 1.064
0.354 ± 0.007,34.526 ± 0.874
0.357 ± 0.009,34.737 ± 0.967
0.351 ± 0.011,34.079 ± 0.729
0.350 ± 0.006,34.289 ± 0.596
0.360 ± 0.007,35.000 ± 0.897
0.345 ± 0.006,33.980 ± 0.605
0.351 ± 0.010,34.204 ± 0.834
0.353 ± 0.007,34.454 ± 0.863
0.347 ± 0.009,34.105 ± 1.059
0.350 ± 0.009,34.500 ± 0.673
0.352 ± 0.008,35.013 ± 0.744
0.348 ± 0.008,34.296 ± 0.539
0.348 ± 0.007,34.276 ± 0.564
0.351 ± 0.008,34.605 ± 0.422
0.326 ± 0.011,32.553 ± 1.068
0.333 ± 0.013,32.711 ± 1.052
0.339 ± 0.009,33.355 ± 1.169
0.339 ± 0.013,33.414 ± 0.889
0.340 ± 0.009,33.671 ± 0.896
0.343 ± 0.007,34.059 ± 0.924
0.310 ± 0.006,31.257 ± 1.088
0.315 ± 0.008,31.882 ± 1.053
0.319 ± 0.007,32.184 ± 1.005
0.314 ± 0.008,31.257 ± 0.908
0.317 ± 0.008,31.796 ± 1.007
0.325 ± 0.010,32.263 ± 0.842
0.300 ± 0.006,30.171 ± 0.894
0.305 ± 0.006,30.243 ± 1.035
0.311 ± 0.006,31.178 ± 1.092
0.302 ± 0.008,29.914 ± 0.833
0.305 ± 0.006,30.375 ± 0.917
0.309 ± 0.006,30.783 ± 0.957
0.348 ± 0.009,34.355 ± 0.579
0.351 ± 0.011,34.757 ± 0.727
0.354 ± 0.008,34.612 ± 0.864
0.348 ± 0.008,34.211 ± 0.658
0.350 ± 0.009,34.191 ± 0.574
0.353 ± 0.011,34.704 ± 0.812
0.335 ± 0.011,33.224 ± 1.151
0.340 ± 0.009,33.336 ± 1.182
0.343 ± 0.008,33.980 ± 0.873
0.337 ± 0.010,33.539 ± 1.102
0.343 ± 0.009,33.822 ± 1.025
0.347 ± 0.010,34.316 ± 0.734
0.320 ± 0.009,32.316 ± 1.166
