0.892 ± 0.004,89.031 ± 0.349
0.893 ± 0.004,89.075 ± 0.405
0.894 ± 0.004,89.232 ± 0.366
0.892 ± 0.005,88.793 ± 0.435
0.892 ± 0.005,88.902 ± 0.432
0.894 ± 0.004,89.072 ± 0.373
0.894 ± 0.004,89.133 ± 0.390
0.894 ± 0.004,89.206 ± 0.364
0.894 ± 0.004,89.313 ± 0.393
0.894 ± 0.004,89.062 ± 0.398
0.894 ± 0.004,89.082 ± 0.460
0.895 ± 0.004,89.153 ± 0.405
0.893 ± 0.004,89.163 ± 0.398
0.894 ± 0.003,89.217 ± 0.423
0.894 ± 0.004,89.298 ± 0.392
0.895 ± 0.004,89.214 ± 0.436
0.895 ± 0.004,89.168 ± 0.461
0.895 ± 0.003,89.224 ± 0.489
0.891 ± 0.003,88.993 ± 0.432
0.892 ± 0.003,89.029 ± 0.399
0.892 ± 0.003,89.100 ± 0.464
0.894 ± 0.004,89.173 ± 0.471
0.894 ± 0.004,89.196 ± 0.461
0.894 ± 0.003,89.186 ± 0.504
0.892 ± 0.005,88.859 ± 0.356
0.893 ± 0.004,89.011 ± 0.374
0.894 ± 0.004,89.080 ± 0.391
0.892 ± 0.006,88.920 ± 0.406
0.893 ± 0.005,88.963 ± 0.429
0.894 ± 0.005,89.011 ± 0.377
0.893 ± 0.004,88.988 ± 0.385
0.895 ± 0.004,89.011 ± 0.411
0.895 ± 0.004,89.102 ± 0.387
0.893 ± 0.004,89.072 ± 0.326
0.894 ± 0.004,89.168 ± 0.321
0.894 ± 0.004,89.178 ± 0.394
0.894 ± 0.004,89.115 ± 0.474
0.895 ± 0.004,89.133 ± 0.363
0.895 ± 0.004,89.123 ± 0.456
0.894 ± 0.004,89.189 ± 0.455
0.895 ± 0.004,89.206 ± 0.401
0.894 ± 0.004,89.209 ± 0.450
0.894 ± 0.003,89.191 ± 0.446
0.895 ± 0.003,89.214 ± 0.434
0.895 ± 0.003,89.168 ± 0.437
0.895 ± 0.004,89.148 ± 0.400
0.895 ± 0.003,89.209 ± 0.337
0.895 ± 0.004,89.262 ± 0.442
0.893 ± 0.005,88.935 ± 0.341
0.893 ± 0.005,89.113 ± 0.406
0.894 ± 0.004,89.217 ± 0.391
0.893 ± 0.006,88.966 ± 0.441
0.892 ± 0.006,88.960 ± 0.625
0.894 ± 0.005,89.082 ± 0.393
0.893 ± 0.004,89.115 ± 0.359
0.894 ± 0.004,89.191 ± 0.340
0.894 ± 0.004,89.282 ± 0.408
0.893 ± 0.005,89.072 ± 0.441
0.894 ± 0.005,89.143 ± 0.389
0.894 ± 0.005,89.156 ± 0.406
0.894 ± 0.004,89.135 ± 0.390
0.894 ± 0.004,89.211 ± 0.331
0.894 ± 0.003,89.280 ± 0.337
0.894 ± 0.004,89.176 ± 0.412
0.895 ± 0.004,89.189 ± 0.397
0.895 ± 0.004,89.189 ± 0.454
0.893 ± 0.003,89.085 ± 0.421
0.894 ± 0.004,89.140 ± 0.384
0.893 ± 0.003,89.133 ± 0.382
0.893 ± 0.004,89.115 ± 0.445
0.894 ± 0.004,89.196 ± 0.399
0.894 ± 0.003,89.255 ± 0.408
0.895 ± 0.004,89.282 ± 0.408
0.896 ± 0.004,89.404 ± 0.440
0.896 ± 0.004,89.391 ± 0.407
0.894 ± 0.004,89.059 ± 0.291
0.895 ± 0.005,89.272 ± 0.400
0.895 ± 0.004,89.336 ± 0.389
0.895 ± 0.005,89.389 ± 0.468
0.896 ± 0.004,89.419 ± 0.349
0.897 ± 0.004,89.526 ± 0.457
0.896 ± 0.004,89.450 ± 0.421
0.897 ± 0.005,89.450 ± 0.400
0.896 ± 0.004,89.422 ± 0.387
0.897 ± 0.005,89.265 ± 0.482
0.897 ± 0.004,89.462 ± 0.469
0.897 ± 0.004,89.561 ± 0.390
0.898 ± 0.004,89.508 ± 0.419
0.897 ± 0.004,89.483 ± 0.371
0.897 ± 0.004,89.521 ± 0.355
0.896 ± 0.005,89.359 ± 0.493
0.897 ± 0.004,89.435 ± 0.423
0.897 ± 0.003,89.536 ± 0.418
0.897 ± 0.003,89.490 ± 0.483
0.898 ± 0.005,89.473 ± 0.457
0.897 ± 0.004,89.501 ± 0.426
0.894 ± 0.006,89.191 ± 0.449
0.896 ± 0.005,89.338 ± 0.420
0.897 ± 0.004,89.389 ± 0.346
0.896 ± 0.006,89.320 ± 0.472
