0.468 ± 0.022,46.744 ± 2.463
0.471 ± 0.021,46.772 ± 2.330
0.479 ± 0.026,47.848 ± 2.630
0.456 ± 0.026,45.620 ± 2.824
0.451 ± 0.032,45.255 ± 2.985
0.451 ± 0.017,44.899 ± 2.268
0.447 ± 0.011,43.785 ± 1.659
0.452 ± 0.015,44.534 ± 2.378
0.454 ± 0.012,45.005 ± 1.825
0.439 ± 0.017,44.150 ± 1.958
0.451 ± 0.018,44.601 ± 2.421
0.461 ± 0.015,46.071 ± 1.715
0.480 ± 0.012,47.791 ± 1.548
0.479 ± 0.009,47.301 ± 1.993
0.481 ± 0.010,47.771 ± 1.445
0.439 ± 0.009,43.698 ± 2.139
0.440 ± 0.009,43.458 ± 1.473
0.441 ± 0.013,43.593 ± 1.443
0.500 ± 0.009,50.067 ± 1.824
0.498 ± 0.010,49.625 ± 1.968
0.497 ± 0.009,49.203 ± 2.182
0.477 ± 0.009,47.512 ± 1.693
0.474 ± 0.006,46.753 ± 2.157
0.467 ± 0.009,46.580 ± 1.400
0.459 ± 0.021,45.773 ± 2.553
0.462 ± 0.026,45.937 ± 2.379
0.475 ± 0.026,47.589 ± 2.720
0.451 ± 0.026,45.379 ± 2.969
0.442 ± 0.030,44.092 ± 3.626
0.442 ± 0.028,44.207 ± 3.684
0.445 ± 0.014,43.910 ± 1.842
0.435 ± 0.014,43.429 ± 2.089
0.444 ± 0.013,44.515 ± 2.654
0.439 ± 0.026,43.890 ± 3.018
0.446 ± 0.024,44.313 ± 2.469
0.458 ± 0.023,45.101 ± 2.395
0.465 ± 0.011,46.398 ± 1.636
0.459 ± 0.010,46.177 ± 2.090
0.453 ± 0.008,45.668 ± 2.380
0.428 ± 0.011,42.603 ± 1.329
0.421 ± 0.011,42.219 ± 1.554
0.423 ± 0.010,42.248 ± 1.179
0.471 ± 0.010,47.973 ± 1.877
0.476 ± 0.008,47.867 ± 2.148
0.472 ± 0.009,47.368 ± 1.428
0.456 ± 0.007,46.359 ± 1.903
0.454 ± 0.010,45.889 ± 1.876
0.452 ± 0.009,45.149 ± 1.336
0.464 ± 0.028,45.975 ± 2.801
0.474 ± 0.023,47.147 ± 2.446
0.473 ± 0.028,47.003 ± 3.432
0.442 ± 0.031,44.044 ± 3.476
0.447 ± 0.027,44.793 ± 3.069
0.448 ± 0.023,44.841 ± 2.916
0.447 ± 0.012,44.534 ± 2.319
0.450 ± 0.017,44.563 ± 2.666
0.456 ± 0.021,45.024 ± 2.324
0.439 ± 0.019,44.323 ± 2.064
0.447 ± 0.021,44.890 ± 2.789
0.454 ± 0.018,45.235 ± 2.118
0.478 ± 0.011,47.243 ± 1.915
0.479 ± 0.010,47.512 ± 2.075
0.467 ± 0.011,46.561 ± 1.820
0.436 ± 0.011,43.785 ± 2.001
0.434 ± 0.010,43.573 ± 1.608
0.438 ± 0.013,43.497 ± 1.347
0.494 ± 0.010,49.481 ± 1.787
0.492 ± 0.011,48.799 ± 1.507
0.492 ± 0.013,48.780 ± 2.009
0.468 ± 0.007,46.926 ± 2.069
0.469 ± 0.011,46.859 ± 1.637
0.464 ± 0.006,46.417 ± 1.718
0.455 ± 0.019,45.754 ± 2.420
0.458 ± 0.014,45.965 ± 1.968
0.474 ± 0.018,46.993 ± 2.852
0.443 ± 0.022,44.861 ± 1.862
0.443 ± 0.025,44.073 ± 2.424
0.439 ± 0.021,43.823 ± 2.214
0.442 ± 0.014,43.497 ± 2.201
0.441 ± 0.022,43.497 ± 2.381
0.456 ± 0.024,45.235 ± 2.191
0.447 ± 0.019,44.678 ± 1.777
0.458 ± 0.014,44.909 ± 1.554
0.457 ± 0.014,45.370 ± 2.076
0.469 ± 0.011,46.273 ± 1.682
0.471 ± 0.012,46.772 ± 2.024
0.470 ± 0.016,46.619 ± 2.338
0.434 ± 0.011,43.055 ± 2.137
0.437 ± 0.014,43.314 ± 1.543
0.438 ± 0.009,43.266 ± 1.599
0.492 ± 0.008,48.655 ± 1.688
0.488 ± 0.013,48.694 ± 1.815
0.490 ± 0.012,48.684 ± 2.401
0.471 ± 0.007,46.705 ± 1.838
0.470 ± 0.004,46.590 ± 1.962
0.468 ± 0.014,46.071 ± 1.947
0.465 ± 0.031,46.302 ± 3.047
0.474 ± 0.025,46.974 ± 2.573
0.471 ± 0.020,47.070 ± 2.932
0.439 ± 0.024,44.323 ± 2.863
0.434 ± 0.029,43.650 ± 3.337
0.439 ± 0.029,43.862 ± 3.341
0.444 ± 0.015,44.438 ± 2.099
0.452 ± 0.015,45.072 ± 2.444
0.458 ± 0.020,45.744 ± 2.449
0.445 ± 0.017,44.486 ± 2.048
0.450 ± 0.023,45.226 ± 2.609
0.449 ± 0.022,44.765 ± 2.911
0.459 ± 0.011,45.956 ± 1.854
0.455 ± 0.010,45.139 ± 1.895
0.454 ± 0.015,45.658 ± 1.513
0.424 ± 0.016,42.373 ± 2.423
0.429 ± 0.014,42.430 ± 2.291
0.434 ± 0.013,43.497 ± 2.124
0.464 ± 0.011,46.359 ± 2.187
0.469 ± 0.009,46.676 ± 1.967
0.462 ± 0.013,45.879 ± 1.737
0.454 ± 0.009,45.159 ± 1.643
0.450 ± 0.009,44.861 ± 2.213
0.444 ± 0.011,43.967 ± 1.581
0.454 ± 0.024,45.543 ± 2.821
0.477 ± 0.029,46.907 ± 3.241
0.471 ± 0.024,46.801 ± 3.194
0.440 ± 0.018,44.207 ± 2.687
0.446 ± 0.020,45.053 ± 2.917
0.439 ± 0.024,44.063 ± 2.622
0.438 ± 0.017,43.228 ± 1.897
0.454 ± 0.017,44.688 ± 1.784
0.455 ± 0.022,45.120 ± 2.920
0.442 ± 0.021,44.217 ± 2.073
0.455 ± 0.018,44.890 ± 2.289
0.456 ± 0.020,45.495 ± 2.236
0.466 ± 0.011,46.744 ± 2.024
0.466 ± 0.009,46.407 ± 2.265
0.471 ± 0.015,46.993 ± 1.418
0.434 ± 0.011,43.170 ± 1.527
0.434 ± 0.016,43.141 ± 1.640
0.438 ± 0.015,43.305 ± 1.474
0.492 ± 0.009,49.183 ± 1.978
0.489 ± 0.010,48.847 ± 2.603
0.484 ± 0.010,48.136 ± 2.120
0.465 ± 0.008,46.196 ± 1.776
0.464 ± 0.012,46.484 ± 2.084
0.460 ± 0.008,45.744 ± 1.567
0.484 ± 0.024,47.695 ± 2.810
0.477 ± 0.030,47.493 ± 2.930
0.475 ± 0.022,47.118 ± 2.785
0.435 ± 0.023,43.650 ± 2.738
0.448 ± 0.020,44.736 ± 2.579
0.457 ± 0.019,45.418 ± 2.868
0.466 ± 0.019,45.581 ± 2.167
0.470 ± 0.017,46.455 ± 1.991
0.465 ± 0.011,46.273 ± 2.301
0.460 ± 0.010,45.514 ± 2.147
0.464 ± 0.013,45.975 ± 2.275
0.470 ± 0.021,47.051 ± 2.184
0.436 ± 0.032,42.853 ± 3.110
0.445 ± 0.019,43.439 ± 2.031
0.448 ± 0.017,43.996 ± 1.942
0.442 ± 0.022,43.535 ± 1.432
0.449 ± 0.016,43.910 ± 1.901
0.457 ± 0.016,45.207 ± 1.883
0.474 ± 0.018,45.956 ± 2.071
0.468 ± 0.014,46.013 ± 2.914
0.473 ± 0.024,46.484 ± 3.001
0.451 ± 0.012,44.688 ± 1.990
0.453 ± 0.016,44.909 ± 1.456
0.453 ± 0.016,44.246 ± 2.172
0.456 ± 0.066,45.293 ± 7.470
0.450 ± 0.069,44.313 ± 6.256
0.444 ± 0.060,44.765 ± 7.161
0.433 ± 0.019,43.987 ± 2.461
0.439 ± 0.025,43.823 ± 3.039
0.449 ± 0.028,45.110 ± 3.697
0.466 ± 0.034,46.340 ± 3.668
0.469 ± 0.022,46.801 ± 1.604
0.473 ± 0.021,47.118 ± 3.216
0.462 ± 0.027,46.244 ± 2.687
0.464 ± 0.018,46.503 ± 2.229
0.473 ± 0.029,47.137 ± 2.586
0.462 ± 0.015,45.965 ± 2.019
0.480 ± 0.018,47.349 ± 1.756
0.482 ± 0.018,47.810 ± 2.915
0.455 ± 0.016,45.408 ± 1.621
0.457 ± 0.017,45.629 ± 2.646
0.470 ± 0.016,47.041 ± 2.550
0.459 ± 0.012,45.620 ± 2.042
0.473 ± 0.012,46.840 ± 1.985
0.483 ± 0.013,48.031 ± 2.129
0.446 ± 0.011,44.150 ± 2.035
0.456 ± 0.010,45.533 ± 2.067
0.459 ± 0.014,45.821 ± 1.735
0.470 ± 0.039,47.061 ± 4.420
0.484 ± 0.017,47.819 ± 2.971
0.476 ± 0.028,47.675 ± 3.545
0.436 ± 0.026,43.573 ± 3.133
0.431 ± 0.031,42.882 ± 3.491
0.446 ± 0.025,44.947 ± 3.176
0.476 ± 0.023,46.350 ± 2.248
0.474 ± 0.020,47.128 ± 2.828
0.481 ± 0.015,47.483 ± 2.037
0.464 ± 0.025,45.946 ± 2.972
0.467 ± 0.014,46.715 ± 2.211
0.476 ± 0.023,47.627 ± 2.504
0.441 ± 0.021,43.160 ± 2.651
0.441 ± 0.019,43.237 ± 2.856
0.455 ± 0.022,44.457 ± 2.447
0.452 ± 0.017,44.707 ± 2.024
0.454 ± 0.014,44.717 ± 2.175
0.459 ± 0.016,45.216 ± 2.025
0.469 ± 0.014,46.436 ± 1.964
0.464 ± 0.019,45.831 ± 2.123
0.466 ± 0.020,45.764 ± 2.509
0.452 ± 0.010,45.072 ± 1.637
0.457 ± 0.011,44.899 ± 2.206
0.458 ± 0.011,45.101 ± 1.706
0.462 ± 0.025,46.206 ± 2.357
0.473 ± 0.015,47.262 ± 2.491
0.480 ± 0.022,47.819 ± 2.777
0.448 ± 0.024,45.005 ± 3.032
0.444 ± 0.015,44.947 ± 2.774
0.448 ± 0.017,44.765 ± 2.191
0.448 ± 0.012,43.785 ± 1.871
0.447 ± 0.013,44.265 ± 1.949
0.452 ± 0.014,44.717 ± 2.006
0.443 ± 0.019,44.486 ± 2.167
0.445 ± 0.012,44.832 ± 2.143
0.458 ± 0.019,45.581 ± 2.312
0.479 ± 0.008,47.598 ± 2.404
0.476 ± 0.014,47.262 ± 2.209
0.482 ± 0.008,47.829 ± 1.576
0.437 ± 0.008,43.477 ± 1.403
0.439 ± 0.008,43.670 ± 1.129
0.441 ± 0.014,43.593 ± 1.204
0.498 ± 0.011,49.885 ± 2.089
0.496 ± 0.010,49.510 ± 1.928
0.495 ± 0.011,49.443 ± 1.724
0.474 ± 0.009,47.291 ± 1.950
0.472 ± 0.010,47.118 ± 1.349
0.472 ± 0.009,46.744 ± 1.495
0.454 ± 0.024,45.245 ± 2.647
0.467 ± 0.025,46.580 ± 3.401
0.469 ± 0.025,47.041 ± 2.699
0.445 ± 0.027,44.832 ± 2.964
0.437 ± 0.028,43.939 ± 3.145
0.440 ± 0.025,44.063 ± 2.837
0.434 ± 0.014,43.525 ± 2.270
0.439 ± 0.021,44.063 ± 2.297
0.453 ± 0.018,45.053 ± 2.027
0.436 ± 0.018,43.506 ± 2.169
0.443 ± 0.024,44.486 ± 3.014
0.456 ± 0.018,45.466 ± 2.207
0.461 ± 0.009,45.927 ± 1.733
0.457 ± 0.011,45.860 ± 2.147
0.462 ± 0.008,46.177 ± 1.235
0.426 ± 0.013,43.228 ± 1.853
0.423 ± 0.007,42.728 ± 0.958
0.426 ± 0.012,42.622 ± 2.149
0.475 ± 0.014,47.541 ± 1.698
0.471 ± 0.006,46.964 ± 1.680
