0.665 ± 0.032,65.937 ± 2.753
0.656 ± 0.038,65.197 ± 3.477
0.664 ± 0.023,66.311 ± 2.311
0.689 ± 0.031,68.242 ± 5.044
0.699 ± 0.013,69.616 ± 2.657
0.693 ± 0.015,68.924 ± 2.253
0.668 ± 0.028,65.533 ± 3.029
0.668 ± 0.018,66.090 ± 2.670
0.651 ± 0.021,64.640 ± 2.031
0.697 ± 0.016,69.414 ± 2.224
0.693 ± 0.017,68.425 ± 2.010
0.686 ± 0.022,67.637 ± 2.222
0.687 ± 0.019,68.194 ± 2.233
0.680 ± 0.015,67.128 ± 1.659
0.665 ± 0.015,65.744 ± 2.287
0.702 ± 0.017,69.462 ± 1.694
0.693 ± 0.022,68.857 ± 2.247
0.676 ± 0.011,66.465 ± 2.077
0.702 ± 0.011,68.934 ± 1.765
0.693 ± 0.015,68.617 ± 1.738
0.689 ± 0.010,68.511 ± 1.564
0.710 ± 0.016,69.914 ± 1.768
0.703 ± 0.010,68.991 ± 2.421
0.687 ± 0.012,67.925 ± 2.025
0.620 ± 0.043,62.094 ± 4.376
0.608 ± 0.028,60.932 ± 2.876
0.665 ± 0.052,65.812 ± 5.520
0.582 ± 0.022,57.829 ± 2.892
0.618 ± 0.085,61.681 ± 7.768
0.656 ± 0.087,65.341 ± 7.908
0.686 ± 0.055,68.156 ± 4.880
0.678 ± 0.056,67.618 ± 5.553
0.699 ± 0.037,69.145 ± 3.768
0.640 ± 0.052,63.900 ± 4.901
0.667 ± 0.063,66.033 ± 5.570
0.667 ± 0.055,66.061 ± 5.520
0.730 ± 0.010,72.872 ± 2.148
0.721 ± 0.033,71.729 ± 3.510
0.704 ± 0.026,70.336 ± 2.473
0.699 ± 0.048,69.529 ± 4.038
0.699 ± 0.047,69.702 ± 3.772
0.701 ± 0.030,69.712 ± 2.988
0.733 ± 0.010,72.988 ± 2.145
0.729 ± 0.010,72.536 ± 2.039
0.717 ± 0.011,71.374 ± 2.159
0.734 ± 0.011,72.863 ± 2.085
0.728 ± 0.017,72.622 ± 2.292
0.713 ± 0.025,71.066 ± 2.790
0.652 ± 0.040,64.736 ± 4.010
0.679 ± 0.041,67.253 ± 3.629
0.684 ± 0.033,67.454 ± 3.671
0.620 ± 0.051,61.623 ± 4.417
0.693 ± 0.020,68.722 ± 2.784
0.691 ± 0.019,68.886 ± 2.600
0.682 ± 0.032,67.522 ± 3.476
