0.629 ± 0.026,62.161 ± 3.086
0.625 ± 0.033,61.835 ± 3.748
0.640 ± 0.030,63.468 ± 2.900
0.670 ± 0.037,66.715 ± 3.444
0.666 ± 0.014,65.869 ± 2.069
0.639 ± 0.021,63.689 ± 2.503
0.681 ± 0.014,67.541 ± 1.913
0.674 ± 0.012,66.513 ± 2.456
0.670 ± 0.016,66.167 ± 1.412
0.655 ± 0.019,64.486 ± 2.269
0.655 ± 0.018,64.592 ± 2.370
0.667 ± 0.019,65.620 ± 2.700
0.716 ± 0.013,70.548 ± 1.504
0.716 ± 0.012,70.471 ± 1.714
0.703 ± 0.016,69.933 ± 1.969
0.699 ± 0.010,68.866 ± 1.987
0.696 ± 0.012,68.684 ± 1.921
0.690 ± 0.012,68.050 ± 1.677
0.736 ± 0.012,73.593 ± 1.951
0.735 ± 0.011,72.920 ± 1.880
0.731 ± 0.010,72.459 ± 2.150
0.725 ± 0.010,71.710 ± 1.485
0.722 ± 0.011,71.547 ± 1.395
0.720 ± 0.012,70.999 ± 1.967
0.608 ± 0.049,60.605 ± 5.402
0.639 ± 0.065,63.429 ± 6.571
0.665 ± 0.085,66.340 ± 7.027
0.603 ± 0.090,60.663 ± 8.839
0.691 ± 0.089,68.818 ± 8.464
0.725 ± 0.012,71.988 ± 2.277
0.673 ± 0.031,66.244 ± 3.349
0.661 ± 0.033,65.255 ± 3.923
0.652 ± 0.033,64.678 ± 4.008
0.652 ± 0.056,64.640 ± 5.162
0.673 ± 0.067,67.012 ± 5.741
0.678 ± 0.066,67.253 ± 5.764
0.706 ± 0.030,69.952 ± 3.403
0.711 ± 0.027,70.279 ± 3.055
0.708 ± 0.033,70.038 ± 3.635
0.680 ± 0.032,67.454 ± 3.541
0.664 ± 0.023,65.889 ± 2.142
0.666 ± 0.035,66.273 ± 3.286
0.732 ± 0.009,73.064 ± 2.040
0.732 ± 0.010,72.680 ± 2.201
0.724 ± 0.014,71.979 ± 2.204
0.719 ± 0.026,71.412 ± 2.306
0.713 ± 0.025,70.884 ± 2.538
0.711 ± 0.027,70.355 ± 2.634
0.622 ± 0.025,62.008 ± 3.100
0.617 ± 0.030,61.278 ± 2.403
0.627 ± 0.037,62.536 ± 3.656
0.663 ± 0.053,66.158 ± 4.750
0.666 ± 0.018,65.879 ± 2.285
0.635 ± 0.031,62.853 ± 2.498
0.668 ± 0.019,66.033 ± 2.116
0.671 ± 0.015,66.465 ± 2.003
0.660 ± 0.016,65.178 ± 2.344
0.640 ± 0.040,63.564 ± 2.936
0.644 ± 0.041,64.035 ± 3.227
0.639 ± 0.026,62.959 ± 2.268
0.708 ± 0.014,69.683 ± 1.353
0.704 ± 0.015,69.856 ± 1.920
0.696 ± 0.017,68.732 ± 1.979
0.680 ± 0.024,67.579 ± 2.038
0.683 ± 0.022,67.147 ± 1.889
0.674 ± 0.020,66.676 ± 1.934
0.726 ± 0.014,71.912 ± 1.939
0.725 ± 0.015,71.969 ± 1.775
0.721 ± 0.016,71.393 ± 1.831
0.720 ± 0.013,71.114 ± 1.711
0.715 ± 0.013,70.624 ± 1.748
0.709 ± 0.017,69.952 ± 1.693
0.606 ± 0.032,60.183 ± 2.558
0.612 ± 0.032,61.162 ± 3.189
0.613 ± 0.035,61.210 ± 4.218
0.658 ± 0.046,65.802 ± 3.675
0.656 ± 0.023,65.773 ± 2.091
0.651 ± 0.019,64.986 ± 2.449
0.662 ± 0.015,65.725 ± 2.019
0.659 ± 0.015,65.485 ± 1.779
0.655 ± 0.018,64.957 ± 1.767
0.654 ± 0.023,65.139 ± 2.422
0.653 ± 0.021,64.841 ± 1.795
0.661 ± 0.016,65.524 ± 2.189
0.697 ± 0.014,69.193 ± 1.647
0.695 ± 0.012,68.895 ± 1.905
0.689 ± 0.013,68.156 ± 2.150
0.695 ± 0.012,68.646 ± 1.591
0.689 ± 0.009,68.156 ± 2.005
0.686 ± 0.012,68.098 ± 1.566
0.718 ± 0.011,71.470 ± 2.110
0.718 ± 0.013,71.451 ± 1.564
0.714 ± 0.010,70.788 ± 1.825
0.721 ± 0.010,71.451 ± 1.578
0.718 ± 0.010,71.527 ± 2.096
0.715 ± 0.011,70.855 ± 1.525
0.600 ± 0.062,60.067 ± 6.517
0.608 ± 0.083,61.191 ± 7.550
0.707 ± 0.007,70.163 ± 2.270
0.598 ± 0.107,60.586 ± 9.499
0.676 ± 0.111,67.992 ± 9.199
0.696 ± 0.072,69.251 ± 6.341
0.644 ± 0.027,63.958 ± 3.574
0.662 ± 0.040,65.677 ± 4.545
0.672 ± 0.047,66.907 ± 5.123
0.608 ± 0.041,60.826 ± 3.907
0.621 ± 0.057,61.960 ± 5.532
0.683 ± 0.062,67.963 ± 5.616
0.696 ± 0.032,69.126 ± 3.236
0.704 ± 0.024,70.480 ± 2.596
0.695 ± 0.022,68.943 ± 2.978
0.666 ± 0.014,65.600 ± 1.882
0.669 ± 0.034,66.657 ± 3.468
0.670 ± 0.036,67.070 ± 4.085
0.715 ± 0.009,71.422 ± 2.076
0.714 ± 0.009,71.191 ± 2.031
0.710 ± 0.011,70.874 ± 2.747
0.714 ± 0.025,70.576 ± 2.570
0.719 ± 0.025,71.710 ± 2.578
0.703 ± 0.027,69.529 ± 2.870
0.590 ± 0.035,58.895 ± 3.738
0.589 ± 0.036,58.674 ± 2.840
0.592 ± 0.054,59.087 ± 5.038
0.622 ± 0.073,62.382 ± 5.596
0.656 ± 0.020,65.360 ± 2.626
0.642 ± 0.023,64.159 ± 2.908
0.648 ± 0.021,64.188 ± 2.783
0.652 ± 0.017,64.592 ± 2.492
0.648 ± 0.023,64.188 ± 2.156
0.633 ± 0.030,63.218 ± 2.330
0.633 ± 0.025,63.045 ± 2.892
0.629 ± 0.029,62.555 ± 2.770
0.686 ± 0.013,67.877 ± 1.692
0.688 ± 0.010,67.733 ± 1.723
0.681 ± 0.013,67.800 ± 1.838
0.678 ± 0.019,67.137 ± 2.083
0.672 ± 0.016,66.753 ± 1.496
0.673 ± 0.017,66.561 ± 2.173
0.710 ± 0.013,70.932 ± 1.312
0.710 ± 0.011,70.432 ± 1.886
0.703 ± 0.013,69.894 ± 1.501
0.710 ± 0.013,70.413 ± 1.838
0.706 ± 0.011,69.702 ± 1.916
0.705 ± 0.010,70.355 ± 1.825
0.514 ± 0.052,51.047 ± 5.354
0.564 ± 0.042,56.580 ± 3.987
0.596 ± 0.025,59.827 ± 2.369
0.628 ± 0.024,62.863 ± 2.683
0.646 ± 0.012,64.352 ± 3.188
0.641 ± 0.027,64.323 ± 2.868
0.535 ± 0.025,53.958 ± 2.574
0.544 ± 0.035,54.217 ± 2.763
0.594 ± 0.026,59.376 ± 2.799
0.618 ± 0.032,61.354 ± 2.833
0.631 ± 0.021,63.045 ± 2.906
0.639 ± 0.023,63.573 ± 2.782
0.594 ± 0.019,59.308 ± 3.019
0.588 ± 0.017,58.453 ± 2.441
0.592 ± 0.028,59.539 ± 2.612
0.641 ± 0.023,63.631 ± 2.766
0.636 ± 0.022,63.622 ± 2.523
0.645 ± 0.019,63.948 ± 2.646
0.640 ± 0.016,64.159 ± 1.941
0.637 ± 0.014,63.103 ± 2.338
0.611 ± 0.020,61.326 ± 1.937
0.686 ± 0.008,68.088 ± 1.977
0.687 ± 0.013,68.069 ± 1.631
0.683 ± 0.010,67.743 ± 1.569
0.466 ± 0.055,47.012 ± 5.175
0.512 ± 0.109,51.095 ± 10.679
0.636 ± 0.025,63.449 ± 2.447
0.478 ± 0.097,47.752 ± 9.780
0.603 ± 0.130,60.269 ± 13.098
0.654 ± 0.101,64.765 ± 8.683
0.516 ± 0.050,52.075 ± 4.376
0.607 ± 0.046,60.682 ± 3.867
0.645 ± 0.016,64.015 ± 2.648
0.590 ± 0.094,58.991 ± 9.338
0.685 ± 0.015,67.877 ± 2.450
0.687 ± 0.014,68.405 ± 2.255
0.559 ± 0.043,56.388 ± 4.047
0.634 ± 0.019,63.122 ± 2.612
0.654 ± 0.012,64.957 ± 1.821
0.632 ± 0.083,63.084 ± 7.406
0.697 ± 0.009,69.462 ± 2.280
0.698 ± 0.008,69.472 ± 2.295
0.641 ± 0.017,63.746 ± 2.231
0.659 ± 0.016,65.850 ± 2.115
