0.778 ± 0.042,73.514 ± 8.444
0.781 ± 0.053,74.865 ± 7.257
0.793 ± 0.057,75.676 ± 6.730
0.768 ± 0.065,74.324 ± 8.984
0.775 ± 0.065,75.135 ± 6.816
0.785 ± 0.062,75.405 ± 7.297
0.737 ± 0.065,72.432 ± 8.530
0.751 ± 0.049,73.243 ± 9.628
0.746 ± 0.044,74.865 ± 7.649
0.727 ± 0.073,70.811 ± 7.907
0.749 ± 0.061,72.432 ± 7.529
0.753 ± 0.057,72.703 ± 6.885
0.656 ± 0.046,68.108 ± 6.816
0.683 ± 0.050,67.838 ± 8.326
0.695 ± 0.045,68.919 ± 8.040
0.646 ± 0.052,67.027 ± 9.189
0.692 ± 0.048,68.108 ± 7.332
0.715 ± 0.046,69.189 ± 7.272
0.649 ± 0.044,67.297 ± 5.466
0.663 ± 0.046,67.297 ± 5.598
0.651 ± 0.049,67.568 ± 5.669
0.644 ± 0.050,65.946 ± 6.304
0.649 ± 0.039,65.676 ± 6.401
0.663 ± 0.054,67.297 ± 7.687
0.742 ± 0.080,73.514 ± 7.130
0.785 ± 0.064,76.486 ± 5.927
0.797 ± 0.050,76.216 ± 5.771
0.805 ± 0.045,77.838 ± 4.650
0.800 ± 0.048,77.297 ± 5.156
0.790 ± 0.064,76.757 ± 6.642
0.761 ± 0.055,73.514 ± 8.357
0.753 ± 0.070,72.973 ± 8.799
0.795 ± 0.049,76.216 ± 6.257
0.764 ± 0.079,74.054 ± 7.568
0.717 ± 0.066,72.432 ± 6.486
0.781 ± 0.039,75.405 ± 5.598
0.727 ± 0.055,71.622 ± 7.074
0.732 ± 0.068,72.162 ± 7.553
0.753 ± 0.052,72.703 ± 6.670
0.692 ± 0.064,70.270 ± 7.926
0.734 ± 0.083,71.351 ± 9.221
0.729 ± 0.056,72.703 ± 8.058
0.654 ± 0.037,67.027 ± 7.720
0.683 ± 0.052,67.838 ± 7.297
0.659 ± 0.048,67.568 ± 8.374
0.675 ± 0.056,67.027 ± 7.625
0.669 ± 0.060,68.649 ± 7.663
0.678 ± 0.043,67.027 ± 7.232
0.775 ± 0.064,73.784 ± 8.022
