0.800 ± 0.055,77.297 ± 6.419
0.807 ± 0.049,77.027 ± 6.074
0.808 ± 0.051,76.757 ± 5.822
0.776 ± 0.069,75.135 ± 5.643
0.780 ± 0.073,75.135 ± 5.643
0.783 ± 0.072,76.486 ± 5.275
0.807 ± 0.050,77.027 ± 7.277
0.808 ± 0.046,77.297 ± 7.663
0.814 ± 0.044,78.378 ± 7.451
0.781 ± 0.066,76.757 ± 5.946
0.795 ± 0.053,76.757 ± 6.531
0.790 ± 0.058,77.297 ± 6.859
0.793 ± 0.047,77.568 ± 7.838
0.792 ± 0.050,76.757 ± 8.304
0.793 ± 0.052,77.297 ± 9.834
0.802 ± 0.065,75.946 ± 7.297
0.795 ± 0.058,75.946 ± 6.991
0.805 ± 0.051,76.216 ± 7.999
0.780 ± 0.056,77.027 ± 7.074
0.783 ± 0.048,77.027 ± 6.310
0.785 ± 0.053,76.757 ± 8.733
0.793 ± 0.041,76.486 ± 7.930
0.788 ± 0.047,77.568 ± 8.636
0.793 ± 0.054,77.838 ± 7.907
0.786 ± 0.101,75.946 ± 4.902
0.797 ± 0.056,77.297 ± 6.419
0.807 ± 0.055,77.297 ± 6.068
0.793 ± 0.073,75.946 ± 4.090
0.781 ± 0.095,75.946 ± 5.331
0.769 ± 0.106,76.216 ± 5.771
0.805 ± 0.052,78.919 ± 4.954
0.808 ± 0.055,77.568 ± 7.456
0.814 ± 0.051,77.568 ± 5.545
0.803 ± 0.056,78.108 ± 5.598
0.810 ± 0.048,76.757 ± 4.712
0.805 ± 0.052,77.568 ± 4.689
0.814 ± 0.047,78.919 ± 6.139
0.810 ± 0.049,77.297 ± 6.304
0.812 ± 0.044,77.838 ± 6.019
0.800 ± 0.053,78.378 ± 5.405
0.808 ± 0.040,77.568 ± 5.545
0.807 ± 0.047,77.568 ± 5.545
0.815 ± 0.048,77.568 ± 5.275
0.817 ± 0.045,77.838 ± 6.922
0.819 ± 0.053,79.189 ± 5.545
0.808 ± 0.049,77.838 ± 6.019
0.810 ± 0.047,77.568 ± 6.843
0.817 ± 0.040,77.568 ± 6.169
0.814 ± 0.033,78.378 ± 5.405
0.807 ± 0.049,78.108 ± 6.333
0.810 ± 0.042,77.838 ± 6.019
0.793 ± 0.056,75.946 ± 5.727
0.780 ± 0.076,74.865 ± 6.049
0.785 ± 0.066,75.676 ± 4.681
0.814 ± 0.036,76.486 ± 7.553
0.808 ± 0.048,77.297 ± 7.758
0.814 ± 0.051,78.108 ± 6.991
0.797 ± 0.068,76.757 ± 6.751
0.797 ± 0.051,77.027 ± 6.310
0.798 ± 0.043,76.486 ± 6.049
0.808 ± 0.047,79.459 ± 5.946
0.800 ± 0.035,77.838 ± 7.815
0.800 ± 0.041,77.297 ± 8.733
0.800 ± 0.062,75.405 ± 7.875
0.807 ± 0.046,77.027 ± 6.537
0.797 ± 0.054,77.027 ± 7.668
0.805 ± 0.046,78.649 ± 5.727
0.802 ± 0.034,78.378 ± 7.926
0.790 ± 0.050,77.568 ± 10.610
0.808 ± 0.051,77.027 ± 7.763
0.797 ± 0.051,77.027 ± 7.668
0.808 ± 0.039,77.297 ± 9.221
0.854 ± 0.045,84.595 ± 4.991
0.844 ± 0.037,83.784 ± 4.681
0.829 ± 0.046,82.703 ± 5.565
0.812 ± 0.082,81.351 ± 5.466
0.836 ± 0.045,83.243 ± 4.954
0.814 ± 0.079,80.541 ± 5.099
0.866 ± 0.045,84.865 ± 4.045
0.849 ± 0.037,84.324 ± 4.650
0.844 ± 0.048,83.784 ± 5.269
0.849 ± 0.035,83.243 ± 4.490
0.844 ± 0.032,82.973 ± 4.689
0.841 ± 0.042,83.243 ± 5.897
0.849 ± 0.052,84.324 ± 4.152
0.842 ± 0.044,85.135 ± 3.870
0.858 ± 0.042,84.865 ± 3.461
0.847 ± 0.046,84.595 ± 4.531
0.836 ± 0.044,84.595 ± 4.018
0.832 ± 0.043,83.514 ± 5.192
0.849 ± 0.054,84.865 ± 3.243
0.853 ± 0.048,85.946 ± 4.324
0.836 ± 0.058,85.946 ± 4.650
0.851 ± 0.049,85.946 ± 4.650
0.837 ± 0.049,86.216 ± 5.466
0.836 ± 0.049,83.784 ± 4.835
0.805 ± 0.120,80.811 ± 7.782
0.824 ± 0.110,82.703 ± 5.432
0.807 ± 0.104,80.811 ± 6.447
0.805 ± 0.097,80.000 ± 6.068
0.810 ± 0.095,82.162 ± 5.013
0.802 ± 0.093,80.541 ± 6.922
0.844 ± 0.037,84.595 ± 4.689
0.853 ± 0.035,83.784 ± 4.835
0.844 ± 0.035,84.054 ± 3.514
0.842 ± 0.032,82.973 ± 4.689
0.832 ± 0.040,84.054 ± 4.090
0.829 ± 0.035,82.162 ± 5.156
0.851 ± 0.039,84.324 ± 4.490
0.853 ± 0.037,84.865 ± 4.712
0.847 ± 0.041,85.405 ± 3.860
0.841 ± 0.030,83.514 ± 5.049
0.839 ± 0.029,83.514 ± 5.466
0.832 ± 0.040,83.243 ± 4.152
0.861 ± 0.043,84.865 ± 3.461
0.851 ± 0.040,84.324 ± 4.152
0.854 ± 0.040,84.865 ± 3.666
0.842 ± 0.030,84.595 ± 4.366
0.842 ± 0.035,84.324 ± 4.650
0.837 ± 0.032,84.324 ± 4.490
0.822 ± 0.112,80.811 ± 6.885
0.853 ± 0.035,84.324 ± 5.241
0.805 ± 0.118,81.622 ± 6.922
0.817 ± 0.103,80.541 ± 5.512
0.817 ± 0.081,82.162 ± 3.461
0.825 ± 0.044,82.162 ± 4.045
0.859 ± 0.042,84.595 ± 4.531
0.861 ± 0.039,84.865 ± 4.555
0.841 ± 0.056,84.054 ± 4.433
0.846 ± 0.034,83.243 ± 4.804
0.844 ± 0.047,83.784 ± 4.358
0.831 ± 0.042,82.973 ± 6.169
0.861 ± 0.044,85.676 ± 4.196
0.854 ± 0.031,85.405 ± 4.045
0.854 ± 0.031,85.135 ± 3.870
0.851 ± 0.032,84.865 ± 4.712
0.847 ± 0.047,83.784 ± 3.822
0.834 ± 0.041,84.054 ± 4.751
0.851 ± 0.058,84.865 ± 3.010
0.837 ± 0.056,86.216 ± 4.751
0.842 ± 0.044,85.676 ± 4.991
0.853 ± 0.037,85.135 ± 4.054
0.837 ± 0.061,85.135 ± 4.230
0.836 ± 0.053,84.865 ± 5.565
0.819 ± 0.120,78.919 ± 11.196
0.853 ± 0.094,83.514 ± 5.331
0.810 ± 0.109,80.270 ± 10.044
0.822 ± 0.111,80.000 ± 10.620
0.817 ± 0.123,79.730 ± 10.623
0.825 ± 0.093,82.162 ± 3.860
0.871 ± 0.036,83.243 ± 6.486
0.856 ± 0.066,84.324 ± 5.897
0.847 ± 0.061,85.676 ± 5.803
0.868 ± 0.040,85.135 ± 5.020
0.859 ± 0.049,83.784 ± 4.681
0.846 ± 0.055,84.054 ± 3.907
0.859 ± 0.054,85.946 ± 4.954
0.856 ± 0.053,86.757 ± 4.751
0.856 ± 0.050,85.946 ± 3.972
0.861 ± 0.047,83.784 ± 4.522
0.859 ± 0.045,85.135 ± 4.230
0.847 ± 0.053,84.054 ± 3.299
0.869 ± 0.046,85.946 ± 6.257
0.856 ± 0.050,86.486 ± 3.626
0.846 ± 0.056,86.216 ± 3.716
0.863 ± 0.045,86.486 ± 5.405
0.858 ± 0.056,85.946 ± 3.784
0.853 ± 0.046,86.216 ± 5.192
0.815 ± 0.134,77.838 ± 11.644
0.808 ± 0.131,78.919 ± 11.830
0.808 ± 0.128,79.730 ± 12.400
0.810 ± 0.129,80.541 ± 11.454
0.810 ± 0.097,78.649 ± 11.303
0.795 ± 0.128,78.919 ± 10.998
0.837 ± 0.095,83.514 ± 5.331
0.836 ± 0.120,81.351 ± 6.559
0.817 ± 0.132,80.000 ± 12.688
0.822 ± 0.130,81.622 ± 7.720
0.832 ± 0.093,83.784 ± 4.522
0.844 ± 0.045,84.595 ± 4.842
0.861 ± 0.039,85.946 ± 5.241
0.868 ± 0.041,85.946 ± 4.650
0.859 ± 0.039,85.135 ± 4.400
0.858 ± 0.044,84.054 ± 5.466
0.853 ± 0.036,83.784 ± 4.835
0.846 ± 0.039,84.054 ± 5.192
0.876 ± 0.041,84.865 ± 3.461
0.869 ± 0.046,85.405 ± 3.666
0.861 ± 0.046,85.676 ± 4.842
0.858 ± 0.037,84.324 ± 4.324
0.854 ± 0.042,84.054 ± 5.598
0.851 ± 0.043,84.324 ± 4.152
0.817 ± 0.132,79.459 ± 11.157
0.820 ± 0.135,79.189 ± 12.388
0.814 ± 0.137,79.730 ± 12.341
0.815 ± 0.118,79.730 ± 10.415
0.822 ± 0.104,82.703 ± 4.391
0.819 ± 0.127,82.432 ± 7.763
0.878 ± 0.030,85.405 ± 5.156
0.851 ± 0.055,84.595 ± 5.803
0.829 ± 0.129,81.892 ± 8.022
0.859 ± 0.047,83.784 ± 4.522
0.851 ± 0.047,85.135 ± 4.230
0.842 ± 0.060,83.784 ± 4.187
0.873 ± 0.052,85.946 ± 4.490
0.856 ± 0.052,85.405 ± 4.045
0.847 ± 0.054,86.486 ± 4.522
0.851 ± 0.055,84.595 ± 4.531
0.861 ± 0.043,85.135 ± 4.563
0.856 ± 0.052,84.054 ± 4.902
0.864 ± 0.044,86.486 ± 5.921
0.861 ± 0.056,85.676 ± 4.196
0.868 ± 0.046,85.405 ± 4.391
0.861 ± 0.045,86.486 ± 5.128
0.856 ± 0.057,84.595 ± 4.366
0.853 ± 0.050,84.865 ± 4.222
0.807 ± 0.050,78.108 ± 7.094
0.805 ± 0.046,77.297 ± 7.272
0.805 ± 0.054,78.378 ± 6.837
0.778 ± 0.065,76.486 ± 5.803
0.786 ± 0.058,76.486 ± 5.676
0.795 ± 0.052,76.486 ± 7.456
0.798 ± 0.044,75.676 ± 7.739
0.798 ± 0.053,77.027 ± 7.949
0.805 ± 0.060,77.838 ± 7.332
0.788 ± 0.071,76.486 ± 6.515
0.786 ± 0.071,76.216 ± 6.816
0.790 ± 0.070,76.216 ± 7.431
0.790 ± 0.045,76.216 ± 8.090
0.786 ± 0.050,76.757 ± 9.456
0.793 ± 0.049,77.568 ± 9.521
0.800 ± 0.058,75.676 ± 7.048
0.807 ± 0.050,76.216 ± 7.999
0.802 ± 0.046,77.297 ± 8.391
0.766 ± 0.063,75.676 ± 8.108
0.781 ± 0.054,76.216 ± 7.027
0.788 ± 0.044,77.027 ± 9.613
0.793 ± 0.044,77.838 ± 7.815
0.793 ± 0.051,77.568 ± 7.257
0.790 ± 0.050,77.838 ± 7.529
0.808 ± 0.051,77.838 ± 4.324
0.792 ± 0.092,75.946 ± 5.331
0.783 ± 0.115,76.216 ± 6.019
0.788 ± 0.077,75.946 ± 4.265
0.790 ± 0.082,76.486 ± 5.927
0.783 ± 0.081,75.946 ± 5.598
0.810 ± 0.041,77.838 ± 5.771
0.805 ± 0.054,78.919 ± 5.771
0.812 ± 0.044,77.568 ± 6.515
0.807 ± 0.050,78.378 ± 3.822
0.805 ± 0.049,77.568 ± 4.531
0.802 ± 0.060,78.108 ± 5.727
0.814 ± 0.047,78.108 ± 5.727
0.819 ± 0.044,78.378 ± 5.669
0.812 ± 0.044,77.838 ± 7.027
0.805 ± 0.055,76.757 ± 5.946
0.808 ± 0.052,77.838 ± 5.512
0.807 ± 0.046,77.838 ± 6.257
0.810 ± 0.047,78.649 ± 5.192
0.814 ± 0.045,78.108 ± 5.331
0.808 ± 0.044,77.027 ± 7.277
0.807 ± 0.048,77.297 ± 6.187
0.810 ± 0.045,78.108 ± 4.902
0.808 ± 0.047,77.297 ± 7.171
0.792 ± 0.089,75.405 ± 6.333
0.805 ± 0.042,77.838 ± 7.130
0.803 ± 0.052,77.027 ± 6.537
0.788 ± 0.082,74.595 ± 5.822
0.778 ± 0.089,74.324 ± 4.872
0.778 ± 0.069,75.946 ± 5.598
0.810 ± 0.036,76.757 ± 6.187
0.817 ± 0.041,77.838 ± 8.530
0.815 ± 0.039,76.486 ± 6.843
0.788 ± 0.074,76.486 ± 5.545
0.792 ± 0.061,77.027 ± 6.310
0.790 ± 0.068,76.486 ± 6.515
0.815 ± 0.032,78.108 ± 6.098
0.810 ± 0.036,77.838 ± 9.189
0.807 ± 0.042,77.027 ± 7.949
0.807 ± 0.036,76.486 ± 7.257
0.808 ± 0.048,77.838 ± 5.512
0.802 ± 0.049,76.757 ± 7.944
0.807 ± 0.040,78.649 ± 5.727
0.805 ± 0.044,79.459 ± 7.568
0.802 ± 0.044,78.378 ± 9.517
0.800 ± 0.045,76.486 ± 8.022
0.797 ± 0.054,75.946 ± 7.967
0.795 ± 0.053,77.568 ± 7.838
0.851 ± 0.045,83.514 ± 4.595
0.847 ± 0.043,83.514 ± 4.902
0.841 ± 0.037,84.865 ± 5.946
0.819 ± 0.085,81.351 ± 4.751
0.827 ± 0.047,82.162 ± 4.222
0.807 ± 0.082,81.081 ± 4.009
0.866 ± 0.037,86.216 ± 3.716
0.854 ± 0.034,84.865 ± 4.222
0.841 ± 0.048,84.595 ± 4.196
0.847 ± 0.039,83.784 ± 4.522
0.834 ± 0.034,85.135 ± 4.054
0.829 ± 0.044,83.243 ± 5.512
0.847 ± 0.052,84.865 ± 2.756
0.846 ± 0.054,85.405 ± 4.045
0.844 ± 0.042,84.324 ± 4.804
0.851 ± 0.037,84.054 ± 4.902
0.846 ± 0.039,84.324 ± 5.241
0.839 ± 0.047,84.324 ± 4.324
0.856 ± 0.057,85.405 ± 4.712
0.849 ± 0.059,86.486 ± 4.681
0.842 ± 0.052,84.324 ± 4.152
