0.788 ± 0.034,79.412 ± 3.310
0.793 ± 0.032,79.020 ± 2.915
0.801 ± 0.021,78.824 ± 4.094
0.784 ± 0.036,79.020 ± 3.513
0.782 ± 0.044,79.020 ± 4.300
0.780 ± 0.034,78.824 ± 3.700
0.790 ± 0.043,78.039 ± 4.278
0.795 ± 0.034,78.627 ± 3.767
0.793 ± 0.040,77.843 ± 4.300
0.784 ± 0.043,79.216 ± 3.186
0.795 ± 0.033,78.824 ± 4.094
0.793 ± 0.030,78.627 ± 3.965
0.782 ± 0.042,77.843 ± 4.300
0.782 ± 0.041,78.627 ± 4.336
0.788 ± 0.034,78.235 ± 4.336
0.795 ± 0.035,78.431 ± 3.616
0.798 ± 0.029,78.039 ± 4.094
0.795 ± 0.033,78.431 ± 4.296
0.778 ± 0.041,79.216 ± 4.132
0.778 ± 0.045,78.824 ± 4.094
0.769 ± 0.042,78.824 ± 4.454
0.794 ± 0.042,78.431 ± 4.471
0.799 ± 0.037,78.235 ± 4.336
0.794 ± 0.033,78.235 ± 4.155
0.800 ± 0.037,81.373 ± 3.746
0.804 ± 0.038,80.980 ± 3.402
0.805 ± 0.032,80.000 ± 4.540
0.804 ± 0.032,80.980 ± 3.926
0.800 ± 0.035,80.784 ± 3.999
0.795 ± 0.033,80.392 ± 3.396
0.802 ± 0.037,81.569 ± 3.842
0.801 ± 0.038,80.588 ± 3.663
0.809 ± 0.030,79.412 ± 3.847
0.804 ± 0.034,80.980 ± 3.287
0.800 ± 0.038,80.784 ± 3.802
0.799 ± 0.031,80.980 ± 3.725
0.799 ± 0.035,80.196 ± 4.246
0.798 ± 0.033,80.196 ± 4.155
0.804 ± 0.026,79.804 ± 4.807
0.800 ± 0.030,80.196 ± 4.336
0.801 ± 0.029,80.196 ± 3.767
0.801 ± 0.031,80.392 ± 3.720
0.800 ± 0.038,81.176 ± 3.304
0.798 ± 0.035,80.196 ± 4.424
0.795 ± 0.029,79.216 ± 4.488
0.800 ± 0.033,80.392 ± 3.281
0.804 ± 0.028,80.784 ± 3.486
0.800 ± 0.029,80.000 ± 3.700
0.796 ± 0.031,79.216 ± 3.842
0.790 ± 0.037,78.431 ± 4.113
0.801 ± 0.029,79.020 ± 4.118
0.783 ± 0.037,79.608 ± 4.132
0.788 ± 0.037,78.824 ± 4.187
0.786 ± 0.032,78.824 ± 3.257
0.795 ± 0.036,77.843 ± 4.644
0.799 ± 0.029,79.020 ± 4.210
0.801 ± 0.028,79.020 ± 4.561
0.789 ± 0.045,79.216 ± 3.637
0.790 ± 0.036,79.412 ± 4.136
0.800 ± 0.024,79.608 ± 3.637
0.799 ± 0.038,78.824 ± 4.278
0.796 ± 0.034,78.824 ± 4.094
0.798 ± 0.033,78.627 ± 4.246
0.793 ± 0.029,79.412 ± 4.136
0.797 ± 0.037,79.412 ± 4.493
0.791 ± 0.034,78.627 ± 4.336
0.799 ± 0.035,79.804 ± 4.561
0.796 ± 0.034,79.412 ± 4.661
0.799 ± 0.025,80.000 ± 3.802
0.802 ± 0.035,80.000 ± 3.802
0.795 ± 0.035,78.824 ± 4.278
0.802 ± 0.038,80.000 ± 4.278
0.840 ± 0.044,84.510 ± 2.967
0.841 ± 0.045,85.098 ± 3.186
0.834 ± 0.044,83.137 ± 2.660
0.838 ± 0.049,85.882 ± 3.902
0.831 ± 0.048,84.118 ± 3.767
0.820 ± 0.048,82.549 ± 2.393
0.840 ± 0.045,85.490 ± 3.419
0.839 ± 0.039,84.902 ± 3.168
0.835 ± 0.047,83.529 ± 2.935
0.850 ± 0.044,85.686 ± 4.023
0.833 ± 0.049,84.118 ± 3.557
0.832 ± 0.044,83.529 ± 2.511
0.845 ± 0.038,85.098 ± 2.935
0.846 ± 0.039,83.529 ± 3.186
0.834 ± 0.035,84.902 ± 2.780
0.841 ± 0.041,84.706 ± 3.486
0.829 ± 0.036,84.118 ± 2.967
0.829 ± 0.041,84.118 ± 2.696
0.836 ± 0.029,84.118 ± 3.447
0.833 ± 0.026,84.902 ± 3.287
0.826 ± 0.025,83.529 ± 2.935
0.828 ± 0.035,84.118 ± 3.094
0.825 ± 0.038,83.529 ± 2.660
0.829 ± 0.034,83.922 ± 2.287
0.850 ± 0.043,85.098 ± 3.186
0.838 ± 0.044,83.725 ± 3.827
