0.697 ± 0.044,71.031 ± 5.008
0.673 ± 0.042,68.553 ± 4.779
0.686 ± 0.029,69.671 ± 2.873
0.692 ± 0.088,70.658 ± 8.950
0.686 ± 0.069,70.877 ± 6.654
0.672 ± 0.072,69.123 ± 7.621
0.712 ± 0.032,72.961 ± 3.220
0.698 ± 0.028,71.535 ± 2.854
0.694 ± 0.018,70.943 ± 2.062
0.721 ± 0.047,74.035 ± 4.271
0.709 ± 0.040,72.588 ± 3.731
0.676 ± 0.036,69.539 ± 4.552
0.733 ± 0.020,75.154 ± 2.173
0.727 ± 0.016,74.320 ± 1.187
0.720 ± 0.014,73.509 ± 1.850
0.738 ± 0.029,75.373 ± 2.376
0.720 ± 0.031,73.399 ± 3.100
0.711 ± 0.025,72.215 ± 2.396
0.756 ± 0.016,76.820 ± 1.624
0.751 ± 0.014,76.623 ± 0.798
0.743 ± 0.009,76.053 ± 0.990
0.748 ± 0.014,76.009 ± 1.276
0.739 ± 0.017,75.877 ± 1.656
0.731 ± 0.020,74.298 ± 1.850
0.686 ± 0.065,69.386 ± 7.645
0.678 ± 0.074,68.421 ± 8.619
0.694 ± 0.071,69.781 ± 7.331
0.634 ± 0.098,64.671 ± 10.989
0.672 ± 0.116,68.048 ± 12.858
0.712 ± 0.094,71.930 ± 9.487
0.727 ± 0.039,74.276 ± 4.798
0.712 ± 0.041,72.544 ± 5.159
0.710 ± 0.043,71.623 ± 4.987
0.708 ± 0.062,72.105 ± 7.402
0.714 ± 0.066,72.654 ± 6.777
0.705 ± 0.066,71.513 ± 7.072
0.735 ± 0.028,75.526 ± 2.903
0.729 ± 0.026,74.803 ± 2.836
0.733 ± 0.027,74.561 ± 2.544
0.740 ± 0.035,75.724 ± 3.753
0.713 ± 0.041,73.114 ± 4.229
0.724 ± 0.039,73.531 ± 4.478
0.755 ± 0.018,77.215 ± 1.350
0.752 ± 0.018,76.754 ± 1.699
0.745 ± 0.022,75.943 ± 1.575
0.755 ± 0.016,76.711 ± 1.018
0.751 ± 0.018,76.601 ± 1.641
0.740 ± 0.026,75.482 ± 2.255
0.696 ± 0.061,70.395 ± 6.442
0.675 ± 0.060,68.794 ± 6.796
0.659 ± 0.044,67.105 ± 4.918
0.636 ± 0.101,65.000 ± 10.466
0.681 ± 0.089,68.838 ± 9.121
0.702 ± 0.055,71.711 ± 5.692
0.716 ± 0.042,72.719 ± 4.237
0.716 ± 0.042,72.719 ± 4.244
0.688 ± 0.014,70.000 ± 2.561
0.730 ± 0.053,74.123 ± 5.175
0.708 ± 0.061,72.259 ± 6.103
0.684 ± 0.057,69.539 ± 5.938
0.731 ± 0.021,75.044 ± 1.746
0.728 ± 0.015,74.386 ± 2.082
0.718 ± 0.010,73.268 ± 1.586
0.745 ± 0.032,76.031 ± 2.700
0.726 ± 0.037,74.057 ± 3.989
0.707 ± 0.032,72.083 ± 3.438
0.755 ± 0.011,76.798 ± 0.999
0.749 ± 0.012,76.294 ± 1.031
0.743 ± 0.011,75.526 ± 1.442
0.749 ± 0.019,76.447 ± 1.713
0.744 ± 0.019,75.570 ± 1.674
0.731 ± 0.014,74.474 ± 1.370
0.649 ± 0.052,65.504 ± 5.982
0.634 ± 0.031,64.408 ± 5.189
0.642 ± 0.029,65.461 ± 4.085
0.682 ± 0.089,69.211 ± 9.152
0.700 ± 0.060,71.360 ± 5.824
0.705 ± 0.049,71.513 ± 4.840
0.677 ± 0.020,68.947 ± 2.941
0.678 ± 0.012,69.518 ± 2.189
0.677 ± 0.019,68.684 ± 3.241
0.700 ± 0.054,71.184 ± 5.826
0.665 ± 0.052,67.829 ± 4.894
0.627 ± 0.031,63.947 ± 3.550
0.726 ± 0.015,73.618 ± 1.118
0.717 ± 0.011,73.268 ± 1.332
0.714 ± 0.014,73.004 ± 1.938
0.714 ± 0.030,72.434 ± 3.822
0.683 ± 0.029,68.618 ± 3.316
0.674 ± 0.020,68.377 ± 2.607
0.747 ± 0.014,75.899 ± 1.246
0.743 ± 0.014,75.768 ± 1.353
0.737 ± 0.010,74.890 ± 1.245
0.732 ± 0.014,74.364 ± 1.436
0.732 ± 0.012,74.298 ± 1.282
0.719 ± 0.014,72.763 ± 1.876
0.664 ± 0.059,66.864 ± 6.116
0.660 ± 0.042,66.601 ± 4.640
0.655 ± 0.033,66.031 ± 4.199
0.641 ± 0.112,64.978 ± 11.503
0.684 ± 0.088,68.838 ± 9.888
0.683 ± 0.080,69.386 ± 8.191
0.704 ± 0.039,71.228 ± 3.514
0.694 ± 0.034,69.474 ± 3.568
0.671 ± 0.019,68.377 ± 3.311
0.720 ± 0.064,73.333 ± 5.989
0.719 ± 0.057,72.697 ± 5.922
0.692 ± 0.060,70.439 ± 5.025
0.732 ± 0.029,73.355 ± 2.991
0.718 ± 0.013,72.785 ± 2.205
0.709 ± 0.022,71.908 ± 2.123
0.736 ± 0.044,74.627 ± 4.250
0.733 ± 0.035,74.561 ± 2.919
0.703 ± 0.036,71.447 ± 3.436
0.746 ± 0.022,76.272 ± 1.285
0.735 ± 0.017,75.110 ± 1.771
0.715 ± 0.019,72.851 ± 2.950
0.754 ± 0.017,76.513 ± 1.711
0.740 ± 0.018,75.197 ± 1.502
0.725 ± 0.012,73.575 ± 1.349
0.653 ± 0.037,65.461 ± 5.553
0.638 ± 0.030,64.189 ± 4.446
0.636 ± 0.036,64.627 ± 5.004
0.658 ± 0.096,66.469 ± 11.067
0.695 ± 0.052,70.789 ± 5.897
0.688 ± 0.064,70.110 ± 6.046
0.669 ± 0.021,67.763 ± 3.463
