0.740 ± 0.030,75.636 ± 2.433
0.733 ± 0.028,75.154 ± 2.311
0.731 ± 0.017,73.575 ± 2.717
0.759 ± 0.018,77.851 ± 0.832
0.754 ± 0.021,77.061 ± 1.264
0.745 ± 0.027,76.096 ± 1.902
0.761 ± 0.017,77.632 ± 0.809
0.755 ± 0.020,76.996 ± 1.207
0.749 ± 0.016,76.140 ± 1.300
0.760 ± 0.018,77.675 ± 0.985
0.756 ± 0.022,77.083 ± 1.398
0.743 ± 0.023,75.614 ± 1.550
0.780 ± 0.018,78.969 ± 1.090
0.776 ± 0.017,78.794 ± 0.931
0.770 ± 0.021,78.289 ± 1.092
0.765 ± 0.018,78.794 ± 0.910
0.767 ± 0.018,78.333 ± 0.831
0.762 ± 0.020,78.092 ± 1.002
0.785 ± 0.015,79.693 ± 1.075
0.785 ± 0.017,79.539 ± 0.986
0.783 ± 0.017,79.254 ± 1.034
0.781 ± 0.018,79.561 ± 0.955
0.779 ± 0.016,79.474 ± 0.947
0.778 ± 0.016,79.276 ± 1.124
0.761 ± 0.016,77.873 ± 0.805
0.753 ± 0.030,77.412 ± 2.894
0.750 ± 0.018,76.711 ± 1.506
0.761 ± 0.015,78.004 ± 1.024
0.761 ± 0.015,77.785 ± 1.415
0.754 ± 0.021,77.039 ± 2.017
0.760 ± 0.014,77.522 ± 1.124
0.749 ± 0.018,76.382 ± 2.064
0.747 ± 0.019,75.702 ± 1.916
0.762 ± 0.015,78.311 ± 0.907
0.762 ± 0.016,77.675 ± 1.184
0.756 ± 0.017,77.127 ± 1.312
0.768 ± 0.015,78.443 ± 1.177
0.767 ± 0.017,78.202 ± 0.702
0.763 ± 0.017,77.456 ± 1.270
0.764 ± 0.012,78.004 ± 0.734
0.765 ± 0.013,78.268 ± 1.094
0.754 ± 0.016,76.996 ± 1.284
0.771 ± 0.014,78.838 ± 0.660
0.769 ± 0.012,78.311 ± 1.129
0.767 ± 0.015,78.311 ± 1.310
0.771 ± 0.013,78.838 ± 1.001
0.772 ± 0.015,78.794 ± 1.177
0.767 ± 0.017,78.487 ± 0.907
0.741 ± 0.022,75.241 ± 2.237
0.730 ± 0.030,73.816 ± 2.809
0.723 ± 0.025,72.895 ± 2.916
0.758 ± 0.019,77.193 ± 1.237
0.750 ± 0.023,76.447 ± 1.606
0.748 ± 0.022,75.943 ± 1.827
0.762 ± 0.018,77.325 ± 1.234
0.747 ± 0.018,76.228 ± 1.719
0.741 ± 0.017,75.482 ± 1.740
0.757 ± 0.020,77.675 ± 0.733
0.752 ± 0.024,76.579 ± 1.244
0.742 ± 0.021,75.000 ± 1.784
0.776 ± 0.018,78.794 ± 1.024
0.774 ± 0.016,78.399 ± 0.761
0.768 ± 0.017,78.311 ± 0.775
0.764 ± 0.018,78.289 ± 0.971
0.764 ± 0.016,78.004 ± 1.029
0.757 ± 0.018,76.930 ± 1.130
0.784 ± 0.017,79.627 ± 1.031
0.785 ± 0.018,79.430 ± 0.945
0.781 ± 0.017,79.035 ± 0.921
0.783 ± 0.016,79.276 ± 0.957
0.780 ± 0.017,79.276 ± 1.011
0.776 ± 0.018,79.101 ± 1.114
0.709 ± 0.026,72.303 ± 2.460
0.690 ± 0.031,69.561 ± 2.555
0.680 ± 0.020,68.377 ± 2.249
0.747 ± 0.024,76.579 ± 1.889
0.731 ± 0.029,75.175 ± 2.504
0.722 ± 0.030,73.443 ± 2.379
0.749 ± 0.014,76.031 ± 1.334
0.740 ± 0.013,75.592 ± 1.741
0.735 ± 0.013,74.649 ± 1.526
0.750 ± 0.023,76.075 ± 1.555
0.734 ± 0.025,74.890 ± 2.178
0.720 ± 0.028,72.851 ± 2.583
0.771 ± 0.017,78.421 ± 0.895
0.766 ± 0.018,78.114 ± 0.649
0.760 ± 0.017,77.061 ± 0.884
0.763 ± 0.016,77.917 ± 1.010
0.757 ± 0.018,76.930 ± 1.096
0.749 ± 0.014,76.031 ± 1.438
0.780 ± 0.018,79.386 ± 1.088
0.781 ± 0.016,78.684 ± 1.032
0.771 ± 0.019,78.443 ± 0.966
0.777 ± 0.016,78.816 ± 1.132
0.775 ± 0.017,78.947 ± 0.883
0.771 ± 0.017,78.575 ± 0.915
0.700 ± 0.045,70.219 ± 3.963
0.690 ± 0.036,69.539 ± 3.894
0.669 ± 0.029,67.193 ± 3.316
0.732 ± 0.043,74.496 ± 4.089
0.728 ± 0.043,73.421 ± 3.564
