0.700 ± 0.015,69.878 ± 2.123
0.700 ± 0.013,70.331 ± 2.339
0.706 ± 0.013,70.691 ± 2.308
0.695 ± 0.015,69.496 ± 2.382
0.696 ± 0.014,69.533 ± 2.518
0.697 ± 0.014,69.807 ± 2.470
0.687 ± 0.017,68.919 ± 2.271
0.700 ± 0.020,69.689 ± 2.167
0.703 ± 0.018,70.344 ± 2.439
0.694 ± 0.016,69.342 ± 2.409
0.696 ± 0.015,69.627 ± 2.338
0.697 ± 0.015,69.859 ± 2.440
0.678 ± 0.026,67.437 ± 1.839
0.685 ± 0.026,68.595 ± 2.204
0.694 ± 0.023,69.239 ± 2.669
0.674 ± 0.021,67.596 ± 2.061
0.676 ± 0.018,67.459 ± 1.917
0.679 ± 0.018,68.096 ± 2.375
0.696 ± 0.022,69.481 ± 2.609
0.700 ± 0.023,69.651 ± 2.431
0.702 ± 0.022,69.848 ± 2.689
0.662 ± 0.025,66.268 ± 2.080
0.663 ± 0.022,66.483 ± 2.503
0.672 ± 0.019,67.025 ± 2.267
0.700 ± 0.016,69.756 ± 2.403
0.701 ± 0.013,70.464 ± 2.044
0.704 ± 0.015,70.601 ± 2.456
0.695 ± 0.014,69.406 ± 2.506
0.696 ± 0.015,69.672 ± 2.211
0.699 ± 0.013,69.848 ± 2.432
0.699 ± 0.016,69.784 ± 2.294
0.702 ± 0.015,70.076 ± 2.079
0.701 ± 0.018,70.243 ± 2.010
0.695 ± 0.014,69.522 ± 2.400
0.695 ± 0.016,69.762 ± 2.287
0.699 ± 0.016,69.754 ± 2.370
0.694 ± 0.016,69.552 ± 2.085
0.697 ± 0.017,69.580 ± 1.755
0.699 ± 0.017,69.934 ± 2.199
0.691 ± 0.017,69.312 ± 1.841
0.695 ± 0.018,69.254 ± 1.947
0.696 ± 0.019,69.550 ± 2.423
0.684 ± 0.019,68.930 ± 2.788
0.687 ± 0.026,68.610 ± 2.630
0.691 ± 0.026,69.093 ± 2.311
0.685 ± 0.031,69.072 ± 2.495
0.694 ± 0.019,69.503 ± 1.947
0.694 ± 0.018,69.724 ± 1.946
0.698 ± 0.012,69.820 ± 2.227
0.701 ± 0.011,70.106 ± 2.250
0.705 ± 0.014,70.429 ± 2.008
0.694 ± 0.015,69.095 ± 2.488
0.697 ± 0.014,69.827 ± 2.464
0.696 ± 0.012,69.735 ± 2.528
0.685 ± 0.018,69.110 ± 2.182
0.695 ± 0.019,69.423 ± 2.435
0.703 ± 0.017,70.640 ± 2.572
0.697 ± 0.016,69.492 ± 2.535
0.696 ± 0.016,69.441 ± 2.346
0.696 ± 0.019,69.475 ± 1.909
0.675 ± 0.024,67.420 ± 3.017
0.680 ± 0.030,68.066 ± 2.114
0.682 ± 0.029,68.113 ± 2.722
0.678 ± 0.023,67.905 ± 2.028
0.676 ± 0.021,67.821 ± 1.574
0.681 ± 0.019,68.083 ± 2.383
0.691 ± 0.022,68.775 ± 2.460
0.696 ± 0.022,69.503 ± 2.670
0.695 ± 0.022,69.629 ± 2.623
0.673 ± 0.022,67.575 ± 1.945
0.666 ± 0.027,66.363 ± 2.095
0.664 ± 0.024,66.717 ± 1.820
0.709 ± 0.016,71.182 ± 2.143
0.710 ± 0.015,71.463 ± 2.066
0.714 ± 0.013,71.963 ± 2.099
0.702 ± 0.016,70.470 ± 2.100
0.701 ± 0.016,70.768 ± 2.495
0.706 ± 0.016,70.865 ± 2.245
0.707 ± 0.018,70.772 ± 2.358
0.709 ± 0.016,70.974 ± 2.288
0.716 ± 0.016,71.845 ± 2.410
0.701 ± 0.018,70.492 ± 2.216
0.702 ± 0.018,70.725 ± 2.306
0.710 ± 0.016,71.056 ± 2.489
0.703 ± 0.022,70.020 ± 1.971
0.705 ± 0.021,70.328 ± 2.316
0.709 ± 0.018,71.066 ± 1.854
0.689 ± 0.020,68.973 ± 2.512
0.698 ± 0.022,69.357 ± 1.982
0.698 ± 0.020,69.554 ± 2.333
0.701 ± 0.020,70.689 ± 2.390
0.705 ± 0.019,70.869 ± 2.372
0.712 ± 0.020,71.547 ± 2.032
0.680 ± 0.013,68.096 ± 2.248
0.686 ± 0.017,68.555 ± 1.886
0.690 ± 0.020,69.350 ± 2.374
0.706 ± 0.016,71.159 ± 2.054
0.709 ± 0.016,71.146 ± 1.925
0.714 ± 0.013,71.661 ± 2.144
0.700 ± 0.015,70.451 ± 2.167
0.703 ± 0.017,70.925 ± 2.272
0.704 ± 0.015,70.936 ± 2.148
0.706 ± 0.017,70.865 ± 2.207
0.706 ± 0.016,71.092 ± 1.830
0.712 ± 0.020,71.628 ± 1.729
0.700 ± 0.015,70.545 ± 2.167
0.704 ± 0.015,70.625 ± 2.356
0.706 ± 0.017,70.760 ± 2.260
0.706 ± 0.021,70.822 ± 2.306
0.705 ± 0.019,70.882 ± 1.640
0.711 ± 0.019,70.996 ± 1.761
0.701 ± 0.019,70.380 ± 1.878
0.704 ± 0.018,70.213 ± 2.197
0.704 ± 0.018,70.401 ± 2.070
0.705 ± 0.018,70.687 ± 1.999
0.708 ± 0.018,70.865 ± 2.078
0.709 ± 0.017,70.903 ± 2.071
0.699 ± 0.016,70.022 ± 1.706
0.700 ± 0.017,70.365 ± 1.979
0.704 ± 0.017,70.466 ± 2.054
0.704 ± 0.016,70.963 ± 1.973
0.709 ± 0.013,71.390 ± 2.038
0.712 ± 0.016,71.474 ± 2.022
0.700 ± 0.015,70.509 ± 2.467
0.700 ± 0.017,70.423 ± 2.268
0.704 ± 0.018,70.768 ± 2.162
0.706 ± 0.019,70.667 ± 2.207
0.708 ± 0.017,71.223 ± 2.146
0.713 ± 0.015,71.242 ± 2.044
0.699 ± 0.014,70.432 ± 2.316
0.700 ± 0.016,70.489 ± 2.551
0.705 ± 0.015,71.084 ± 2.286
0.701 ± 0.019,70.067 ± 2.188
0.704 ± 0.019,70.410 ± 2.004
0.713 ± 0.021,70.854 ± 1.716
0.696 ± 0.019,69.582 ± 2.373
0.697 ± 0.020,69.653 ± 2.092
0.700 ± 0.020,69.998 ± 2.500
0.702 ± 0.021,70.410 ± 2.011
0.706 ± 0.023,70.665 ± 2.687
0.707 ± 0.020,70.892 ± 1.647
0.686 ± 0.014,68.675 ± 1.986
0.689 ± 0.017,68.932 ± 2.081
0.692 ± 0.020,69.374 ± 1.828
0.709 ± 0.017,70.685 ± 2.012
0.714 ± 0.015,71.148 ± 2.063
0.717 ± 0.017,71.536 ± 2.096
0.704 ± 0.015,70.650 ± 2.112
0.705 ± 0.017,70.695 ± 2.122
0.710 ± 0.015,70.875 ± 2.029
0.708 ± 0.014,70.732 ± 2.294
0.714 ± 0.016,71.302 ± 2.094
0.715 ± 0.018,71.500 ± 2.114
0.705 ± 0.016,70.672 ± 2.213
0.708 ± 0.016,70.766 ± 2.233
0.711 ± 0.018,71.180 ± 2.096
0.716 ± 0.016,71.572 ± 2.198
0.716 ± 0.017,71.525 ± 1.796
0.718 ± 0.014,72.207 ± 1.809
0.710 ± 0.016,70.800 ± 2.510
0.709 ± 0.015,71.049 ± 2.002
0.714 ± 0.015,71.439 ± 2.450
0.724 ± 0.015,71.648 ± 2.110
0.722 ± 0.016,72.010 ± 2.202
0.723 ± 0.016,72.353 ± 2.277
0.711 ± 0.020,70.476 ± 2.206
0.711 ± 0.015,71.469 ± 2.217
0.714 ± 0.017,71.954 ± 2.125
0.710 ± 0.015,70.989 ± 2.039
0.713 ± 0.017,71.382 ± 2.253
0.713 ± 0.016,71.474 ± 2.027
0.703 ± 0.016,70.588 ± 2.012
0.706 ± 0.016,70.661 ± 2.192
0.709 ± 0.015,70.953 ± 2.021
0.710 ± 0.015,71.176 ± 2.180
0.715 ± 0.015,71.347 ± 2.051
0.717 ± 0.016,71.281 ± 1.943
0.703 ± 0.017,70.603 ± 2.187
0.708 ± 0.016,70.712 ± 1.828
0.708 ± 0.017,70.770 ± 1.892
0.709 ± 0.013,70.843 ± 2.133
0.713 ± 0.014,71.409 ± 2.112
0.715 ± 0.012,71.678 ± 2.062
0.706 ± 0.015,70.444 ± 1.989
0.708 ± 0.015,70.850 ± 1.828
0.712 ± 0.017,70.957 ± 2.420
0.714 ± 0.016,71.197 ± 2.128
0.717 ± 0.017,71.605 ± 2.219
0.718 ± 0.014,71.789 ± 2.321
0.709 ± 0.013,70.622 ± 2.298
0.712 ± 0.015,70.697 ± 2.390
0.714 ± 0.018,71.442 ± 1.964
0.710 ± 0.015,70.798 ± 2.147
0.711 ± 0.013,71.083 ± 2.078
0.716 ± 0.015,71.287 ± 2.041
0.704 ± 0.015,70.333 ± 2.178
0.707 ± 0.016,70.768 ± 2.212
0.707 ± 0.015,71.148 ± 2.146
0.707 ± 0.018,70.880 ± 2.033
0.712 ± 0.017,71.189 ± 1.895
0.714 ± 0.016,71.480 ± 1.770
0.704 ± 0.014,70.665 ± 2.024
0.706 ± 0.015,70.665 ± 2.062
0.710 ± 0.016,70.948 ± 1.979
0.710 ± 0.015,71.448 ± 1.950
0.716 ± 0.017,71.592 ± 2.389
0.717 ± 0.017,71.613 ± 2.110
0.706 ± 0.015,70.616 ± 2.350
0.711 ± 0.017,70.983 ± 1.773
0.713 ± 0.017,71.302 ± 2.387
0.718 ± 0.018,71.618 ± 2.108
0.720 ± 0.014,71.935 ± 1.619
0.720 ± 0.018,72.098 ± 2.211
0.708 ± 0.016,70.603 ± 2.137
0.711 ± 0.017,71.437 ± 2.023
0.713 ± 0.013,71.536 ± 2.121
0.698 ± 0.016,69.865 ± 2.152
0.702 ± 0.014,70.234 ± 2.135
0.707 ± 0.013,70.777 ± 2.315
0.691 ± 0.013,68.952 ± 2.660
0.696 ± 0.015,69.587 ± 2.444
0.697 ± 0.016,70.112 ± 2.137
0.692 ± 0.018,69.320 ± 2.401
0.696 ± 0.020,69.640 ± 2.014
0.701 ± 0.018,70.562 ± 2.012
0.695 ± 0.016,69.481 ± 2.150
0.696 ± 0.016,69.889 ± 2.421
0.699 ± 0.017,69.694 ± 2.371
0.679 ± 0.023,68.066 ± 2.360
0.684 ± 0.024,68.668 ± 2.523
0.696 ± 0.026,69.640 ± 2.603
0.675 ± 0.019,67.216 ± 1.864
0.677 ± 0.018,67.491 ± 1.867
0.681 ± 0.020,67.650 ± 2.266
0.695 ± 0.024,69.132 ± 2.337
0.697 ± 0.025,69.657 ± 2.469
0.703 ± 0.019,70.041 ± 2.733
0.659 ± 0.026,66.264 ± 1.770
0.663 ± 0.021,66.717 ± 2.161
0.669 ± 0.021,67.045 ± 1.922
0.698 ± 0.017,69.932 ± 2.238
0.698 ± 0.015,70.419 ± 2.049
0.705 ± 0.013,70.738 ± 2.282
0.694 ± 0.014,69.484 ± 2.497
0.696 ± 0.015,69.584 ± 2.438
0.698 ± 0.014,69.750 ± 2.262
0.695 ± 0.017,69.574 ± 2.075
0.699 ± 0.016,69.780 ± 2.176
0.703 ± 0.017,70.146 ± 2.205
0.695 ± 0.016,69.505 ± 2.327
0.696 ± 0.015,69.625 ± 2.272
0.700 ± 0.014,69.863 ± 2.535
0.694 ± 0.017,69.683 ± 1.860
0.695 ± 0.020,69.840 ± 1.899
0.698 ± 0.019,69.973 ± 2.086
0.694 ± 0.016,69.331 ± 1.871
0.695 ± 0.016,69.659 ± 2.212
0.695 ± 0.017,69.402 ± 2.177
0.686 ± 0.022,68.750 ± 2.624
0.690 ± 0.020,69.003 ± 3.596
0.695 ± 0.022,69.891 ± 2.407
0.685 ± 0.031,68.849 ± 2.474
0.693 ± 0.018,69.617 ± 2.046
0.696 ± 0.021,69.704 ± 1.996
0.697 ± 0.009,69.726 ± 2.231
0.702 ± 0.013,70.483 ± 2.298
0.703 ± 0.017,70.592 ± 1.744
0.694 ± 0.012,69.529 ± 2.389
0.695 ± 0.015,69.707 ± 2.453
0.698 ± 0.013,69.741 ± 2.308
0.685 ± 0.020,68.632 ± 1.934
0.687 ± 0.032,68.510 ± 2.416
0.697 ± 0.027,69.891 ± 2.226
0.693 ± 0.014,69.261 ± 2.312
0.695 ± 0.016,69.546 ± 2.315
0.697 ± 0.019,69.541 ± 1.884
0.670 ± 0.027,67.315 ± 2.463
0.674 ± 0.030,67.787 ± 2.091
0.683 ± 0.028,68.445 ± 3.036
0.677 ± 0.015,67.562 ± 2.134
0.677 ± 0.017,67.360 ± 1.883
0.682 ± 0.023,68.143 ± 2.271
0.691 ± 0.021,68.634 ± 2.785
0.694 ± 0.019,69.333 ± 2.754
0.692 ± 0.021,69.361 ± 2.566
0.660 ± 0.028,65.989 ± 2.421
0.672 ± 0.017,67.568 ± 2.513
0.664 ± 0.024,66.554 ± 1.826
0.708 ± 0.016,71.223 ± 2.100
0.710 ± 0.016,71.523 ± 1.963
0.714 ± 0.015,72.207 ± 2.133
0.702 ± 0.015,70.494 ± 2.064
0.704 ± 0.016,70.648 ± 2.285
0.707 ± 0.015,70.953 ± 2.463
0.708 ± 0.019,70.436 ± 2.382
0.709 ± 0.020,71.146 ± 2.208
0.715 ± 0.018,71.716 ± 2.435
0.702 ± 0.016,70.549 ± 2.284
0.704 ± 0.016,70.728 ± 2.617
0.709 ± 0.017,70.985 ± 2.355
0.702 ± 0.018,70.032 ± 2.227
0.707 ± 0.023,70.618 ± 1.943
0.713 ± 0.020,71.008 ± 2.197
0.691 ± 0.020,69.190 ± 2.243
0.694 ± 0.020,69.589 ± 2.409
0.699 ± 0.019,69.584 ± 2.294
0.705 ± 0.016,70.307 ± 2.258
0.706 ± 0.018,70.699 ± 2.678
0.711 ± 0.017,71.427 ± 2.327
0.683 ± 0.016,68.201 ± 1.644
0.686 ± 0.013,68.651 ± 2.397
0.694 ± 0.019,69.001 ± 2.336
0.704 ± 0.016,71.008 ± 1.962
0.709 ± 0.014,71.384 ± 2.343
0.713 ± 0.016,71.500 ± 2.001
0.700 ± 0.016,70.592 ± 2.138
0.704 ± 0.017,70.612 ± 2.428
0.707 ± 0.017,70.893 ± 2.238
0.706 ± 0.019,70.893 ± 2.101
