0.740 ± 0.011,73.715 ± 2.494
0.747 ± 0.013,74.571 ± 2.044
0.752 ± 0.015,75.107 ± 2.003
0.722 ± 0.018,71.776 ± 1.949
0.728 ± 0.018,72.428 ± 2.169
0.743 ± 0.016,73.898 ± 1.957
0.736 ± 0.011,73.539 ± 1.842
0.741 ± 0.010,73.711 ± 1.580
0.746 ± 0.012,74.423 ± 1.598
0.736 ± 0.018,73.155 ± 1.882
0.739 ± 0.016,73.668 ± 1.614
0.741 ± 0.016,74.350 ± 2.097
0.738 ± 0.012,73.415 ± 1.999
0.737 ± 0.010,73.747 ± 1.831
0.742 ± 0.011,74.076 ± 1.781
0.728 ± 0.010,73.050 ± 2.156
0.732 ± 0.011,73.404 ± 1.764
0.736 ± 0.009,73.486 ± 1.520
0.737 ± 0.012,73.355 ± 2.044
0.739 ± 0.014,73.475 ± 2.034
0.741 ± 0.012,73.925 ± 1.975
0.727 ± 0.010,72.563 ± 1.736
0.729 ± 0.010,72.774 ± 2.069
0.731 ± 0.011,73.166 ± 1.920
0.739 ± 0.015,73.775 ± 2.403
0.739 ± 0.023,74.208 ± 2.171
0.749 ± 0.012,75.058 ± 2.225
0.719 ± 0.021,71.339 ± 2.740
0.727 ± 0.020,72.117 ± 2.392
0.733 ± 0.019,73.233 ± 2.084
0.737 ± 0.012,73.235 ± 2.320
0.742 ± 0.014,74.016 ± 1.853
0.748 ± 0.011,74.545 ± 1.992
0.730 ± 0.025,72.827 ± 2.495
0.733 ± 0.023,72.776 ± 3.380
0.737 ± 0.024,73.436 ± 2.353
0.741 ± 0.013,73.966 ± 1.745
0.738 ± 0.013,73.760 ± 1.395
0.742 ± 0.014,74.326 ± 1.813
0.731 ± 0.017,72.784 ± 2.037
0.731 ± 0.014,72.844 ± 2.261
0.739 ± 0.016,73.561 ± 2.405
0.739 ± 0.012,73.698 ± 1.872
0.742 ± 0.014,73.818 ± 1.814
0.745 ± 0.012,74.230 ± 1.934
0.731 ± 0.015,72.688 ± 1.727
0.735 ± 0.013,73.258 ± 2.015
0.739 ± 0.011,73.462 ± 1.762
0.740 ± 0.012,74.462 ± 2.335
0.742 ± 0.012,74.067 ± 2.189
0.748 ± 0.010,74.822 ± 2.295
0.722 ± 0.021,71.555 ± 2.737
0.729 ± 0.017,72.510 ± 2.589
0.739 ± 0.014,73.685 ± 2.134
0.736 ± 0.009,73.408 ± 1.899
0.740 ± 0.010,73.917 ± 1.803
0.740 ± 0.011,74.127 ± 2.071
0.727 ± 0.027,72.501 ± 2.821
0.735 ± 0.022,72.992 ± 2.652
0.744 ± 0.013,74.234 ± 2.228
0.734 ± 0.009,73.460 ± 1.737
0.736 ± 0.009,73.694 ± 1.844
0.742 ± 0.013,74.011 ± 1.721
0.731 ± 0.011,73.024 ± 1.967
0.732 ± 0.013,73.091 ± 2.154
0.734 ± 0.010,73.632 ± 1.997
0.737 ± 0.012,73.228 ± 1.937
0.737 ± 0.014,73.368 ± 1.936
0.740 ± 0.014,73.662 ± 1.876
0.727 ± 0.009,72.493 ± 1.672
0.729 ± 0.009,72.639 ± 1.726
0.730 ± 0.010,72.990 ± 1.733
0.745 ± 0.014,74.723 ± 1.776
0.754 ± 0.012,75.255 ± 1.889
0.757 ± 0.013,75.669 ± 2.036
0.728 ± 0.018,72.681 ± 2.048
0.733 ± 0.018,73.408 ± 1.855
0.744 ± 0.015,74.693 ± 1.790
0.740 ± 0.015,74.324 ± 1.918
0.745 ± 0.012,74.515 ± 1.913
0.755 ± 0.014,75.613 ± 1.391
0.736 ± 0.020,73.932 ± 2.345
0.741 ± 0.015,74.610 ± 1.905
0.749 ± 0.012,75.178 ± 2.075
0.746 ± 0.011,74.543 ± 1.651
0.748 ± 0.013,74.592 ± 1.231
0.750 ± 0.014,74.953 ± 1.330
0.734 ± 0.017,73.546 ± 1.385
0.736 ± 0.018,73.647 ± 1.425
0.741 ± 0.013,73.882 ± 2.020
0.745 ± 0.014,74.127 ± 1.327
0.748 ± 0.012,74.378 ± 1.939
0.752 ± 0.013,74.736 ± 1.607
0.735 ± 0.012,73.469 ± 1.580
0.737 ± 0.012,73.451 ± 1.356
0.743 ± 0.013,74.022 ± 1.623
0.744 ± 0.015,74.494 ± 2.181
0.748 ± 0.018,74.723 ± 1.634
0.757 ± 0.010,75.766 ± 1.710
0.724 ± 0.016,72.107 ± 2.211
0.731 ± 0.017,72.842 ± 2.221
0.733 ± 0.019,73.215 ± 2.055
0.747 ± 0.015,74.822 ± 2.004
0.749 ± 0.016,74.895 ± 1.532
0.759 ± 0.014,75.538 ± 1.106
0.736 ± 0.022,73.623 ± 2.558
0.744 ± 0.018,74.496 ± 2.074
0.750 ± 0.013,74.987 ± 1.728
0.748 ± 0.014,74.586 ± 2.018
0.748 ± 0.020,74.689 ± 1.494
0.755 ± 0.012,75.322 ± 1.717
0.737 ± 0.020,73.498 ± 1.762
0.744 ± 0.014,74.048 ± 2.144
0.744 ± 0.022,74.462 ± 1.798
0.748 ± 0.016,74.891 ± 1.469
0.749 ± 0.017,74.978 ± 1.786
0.753 ± 0.010,75.221 ± 1.798
0.743 ± 0.015,73.973 ± 1.798
0.744 ± 0.015,74.204 ± 1.865
0.750 ± 0.013,74.850 ± 1.742
0.746 ± 0.019,74.545 ± 1.575
0.750 ± 0.015,75.000 ± 1.356
0.758 ± 0.012,75.783 ± 1.826
0.728 ± 0.022,72.724 ± 2.318
0.732 ± 0.019,73.308 ± 2.014
0.741 ± 0.019,74.086 ± 2.301
0.745 ± 0.011,74.224 ± 1.689
0.745 ± 0.013,74.509 ± 1.664
0.755 ± 0.016,75.414 ± 1.544
0.740 ± 0.018,73.973 ± 2.671
0.745 ± 0.011,74.963 ± 1.869
0.747 ± 0.013,75.079 ± 2.154
0.745 ± 0.013,74.457 ± 1.322
0.749 ± 0.012,74.515 ± 1.322
0.751 ± 0.011,74.826 ± 1.629
0.734 ± 0.013,73.462 ± 1.346
0.740 ± 0.016,73.681 ± 1.529
0.741 ± 0.017,74.056 ± 1.666
0.744 ± 0.012,73.861 ± 1.492
0.748 ± 0.012,74.389 ± 1.662
0.752 ± 0.012,74.882 ± 1.624
0.737 ± 0.014,73.466 ± 1.590
0.738 ± 0.010,73.677 ± 1.559
0.740 ± 0.012,74.224 ± 1.397
0.753 ± 0.015,75.114 ± 1.804
0.754 ± 0.013,75.843 ± 1.741
0.759 ± 0.013,75.982 ± 1.781
0.723 ± 0.020,72.293 ± 2.046
0.732 ± 0.020,72.967 ± 2.025
0.733 ± 0.021,73.215 ± 2.353
0.762 ± 0.013,75.914 ± 1.616
0.763 ± 0.014,76.008 ± 1.285
0.765 ± 0.011,76.334 ± 1.153
0.753 ± 0.013,75.307 ± 1.731
0.754 ± 0.011,75.616 ± 1.747
0.757 ± 0.010,75.480 ± 1.708
0.772 ± 0.012,77.081 ± 1.407
0.759 ± 0.014,75.661 ± 1.732
0.762 ± 0.013,75.718 ± 1.827
0.754 ± 0.014,75.459 ± 1.380
0.757 ± 0.015,75.843 ± 1.231
0.760 ± 0.013,75.860 ± 1.526
0.773 ± 0.011,77.100 ± 1.813
0.769 ± 0.010,75.867 ± 1.699
0.760 ± 0.013,75.804 ± 1.534
0.747 ± 0.012,74.916 ± 1.775
0.751 ± 0.013,74.976 ± 1.577
0.755 ± 0.014,75.405 ± 1.514
0.750 ± 0.014,75.019 ± 2.019
0.752 ± 0.014,74.903 ± 1.906
0.753 ± 0.014,75.283 ± 1.763
0.720 ± 0.026,72.325 ± 2.712
0.726 ± 0.022,72.917 ± 2.459
0.730 ± 0.023,73.535 ± 2.072
0.763 ± 0.013,75.742 ± 1.648
0.765 ± 0.013,76.325 ± 1.649
0.766 ± 0.013,76.291 ± 1.407
0.747 ± 0.011,75.234 ± 1.760
0.749 ± 0.011,75.129 ± 1.742
0.753 ± 0.012,75.350 ± 1.775
0.762 ± 0.013,76.175 ± 1.591
0.766 ± 0.014,76.229 ± 1.620
0.766 ± 0.010,76.212 ± 1.390
0.756 ± 0.013,75.478 ± 1.624
0.759 ± 0.012,75.654 ± 1.502
0.761 ± 0.012,75.811 ± 1.580
0.762 ± 0.012,76.229 ± 1.742
0.763 ± 0.014,75.978 ± 1.708
0.767 ± 0.012,76.300 ± 1.479
0.754 ± 0.014,75.315 ± 1.261
0.759 ± 0.011,75.680 ± 1.380
0.761 ± 0.014,75.969 ± 1.619
0.749 ± 0.015,75.182 ± 1.628
0.755 ± 0.014,75.082 ± 1.584
0.757 ± 0.010,75.804 ± 1.669
0.721 ± 0.017,72.473 ± 2.578
0.724 ± 0.021,72.911 ± 1.711
0.730 ± 0.021,73.177 ± 2.247
0.762 ± 0.013,75.884 ± 1.370
0.764 ± 0.012,75.856 ± 1.452
0.763 ± 0.013,76.190 ± 1.623
0.750 ± 0.012,75.131 ± 1.912
0.754 ± 0.011,75.219 ± 1.701
0.751 ± 0.011,75.609 ± 1.699
0.765 ± 0.006,76.420 ± 2.332
0.759 ± 0.014,75.815 ± 1.488
0.763 ± 0.014,75.819 ± 1.403
0.756 ± 0.012,75.208 ± 1.414
0.758 ± 0.014,75.708 ± 1.302
0.762 ± 0.012,75.622 ± 1.476
0.772 ± 0.012,77.235 ± 1.501
0.760 ± 0.013,75.620 ± 1.513
0.763 ± 0.013,75.324 ± 1.683
0.747 ± 0.015,74.691 ± 1.474
0.751 ± 0.013,75.004 ± 1.650
0.755 ± 0.013,75.437 ± 1.507
0.742 ± 0.019,74.005 ± 1.936
0.747 ± 0.013,74.543 ± 2.252
0.754 ± 0.015,75.184 ± 1.978
0.719 ± 0.015,71.585 ± 2.171
0.728 ± 0.012,72.368 ± 2.311
0.742 ± 0.015,73.936 ± 2.021
0.738 ± 0.011,73.505 ± 1.589
0.738 ± 0.009,73.773 ± 2.020
0.745 ± 0.009,74.500 ± 1.984
0.731 ± 0.022,73.091 ± 1.976
0.735 ± 0.019,73.541 ± 2.333
0.743 ± 0.018,74.251 ± 2.138
0.736 ± 0.011,73.488 ± 1.812
0.738 ± 0.011,73.670 ± 2.041
0.741 ± 0.011,74.266 ± 1.735
0.726 ± 0.009,73.005 ± 2.050
0.733 ± 0.011,73.321 ± 1.779
0.733 ± 0.011,73.415 ± 2.041
0.738 ± 0.013,73.378 ± 1.986
0.738 ± 0.014,73.496 ± 1.993
0.741 ± 0.014,74.005 ± 1.934
0.728 ± 0.010,72.593 ± 1.595
0.730 ± 0.010,72.874 ± 1.708
0.732 ± 0.012,73.252 ± 1.681
0.742 ± 0.012,74.091 ± 2.282
0.746 ± 0.013,74.464 ± 1.903
0.752 ± 0.013,74.773 ± 2.194
0.717 ± 0.018,71.189 ± 2.666
0.724 ± 0.017,71.862 ± 2.657
0.733 ± 0.019,73.179 ± 2.210
0.739 ± 0.014,73.968 ± 1.751
0.737 ± 0.014,73.522 ± 2.186
0.748 ± 0.010,74.743 ± 1.992
0.729 ± 0.024,72.595 ± 2.547
0.736 ± 0.023,73.443 ± 2.649
0.742 ± 0.012,74.352 ± 2.485
0.741 ± 0.014,73.977 ± 1.713
0.743 ± 0.013,74.153 ± 1.696
0.743 ± 0.012,74.346 ± 2.142
0.732 ± 0.014,72.771 ± 2.177
0.733 ± 0.020,72.851 ± 2.424
0.740 ± 0.014,73.445 ± 2.305
0.737 ± 0.011,73.574 ± 1.870
0.742 ± 0.012,73.767 ± 1.924
0.743 ± 0.012,73.925 ± 2.024
0.736 ± 0.013,73.164 ± 1.698
0.736 ± 0.014,73.314 ± 1.950
0.738 ± 0.014,73.325 ± 2.043
0.737 ± 0.013,73.518 ± 2.491
0.742 ± 0.015,74.142 ± 2.191
0.749 ± 0.012,75.024 ± 2.342
0.721 ± 0.015,71.605 ± 2.537
0.729 ± 0.020,72.325 ± 2.381
0.742 ± 0.017,73.593 ± 2.054
0.736 ± 0.010,73.591 ± 1.823
0.740 ± 0.011,73.814 ± 1.580
0.745 ± 0.011,74.277 ± 1.608
0.730 ± 0.020,73.061 ± 2.514
0.741 ± 0.014,74.024 ± 2.037
0.743 ± 0.015,73.870 ± 2.499
0.735 ± 0.011,73.522 ± 1.940
0.737 ± 0.010,73.846 ± 1.819
0.742 ± 0.011,74.125 ± 1.817
0.731 ± 0.013,73.037 ± 1.899
0.731 ± 0.013,73.014 ± 2.092
0.737 ± 0.012,73.484 ± 1.698
0.736 ± 0.013,73.228 ± 1.975
0.737 ± 0.014,73.434 ± 2.044
0.742 ± 0.013,73.670 ± 1.773
