0.748 ± 0.013,74.665 ± 2.022
0.752 ± 0.014,74.856 ± 1.817
0.753 ± 0.014,75.114 ± 1.831
0.725 ± 0.013,72.036 ± 2.738
0.732 ± 0.015,72.806 ± 2.365
0.739 ± 0.015,73.574 ± 1.854
0.740 ± 0.013,74.288 ± 1.766
0.747 ± 0.015,74.513 ± 1.774
0.749 ± 0.012,74.863 ± 1.808
0.746 ± 0.015,74.146 ± 1.882
0.747 ± 0.014,74.406 ± 1.961
0.747 ± 0.014,74.691 ± 1.743
0.739 ± 0.014,73.400 ± 1.807
0.741 ± 0.015,73.683 ± 1.630
0.746 ± 0.013,74.052 ± 1.751
0.736 ± 0.012,73.396 ± 1.675
0.739 ± 0.013,73.717 ± 1.884
0.743 ± 0.013,74.187 ± 1.718
0.737 ± 0.013,73.115 ± 1.624
0.738 ± 0.014,73.518 ± 1.809
0.742 ± 0.014,73.599 ± 1.554
0.729 ± 0.013,72.467 ± 1.530
0.731 ± 0.013,72.765 ± 1.699
0.735 ± 0.014,73.115 ± 1.650
0.746 ± 0.012,74.595 ± 1.878
0.749 ± 0.013,75.030 ± 2.172
0.751 ± 0.014,75.159 ± 2.045
0.720 ± 0.020,71.382 ± 2.396
0.725 ± 0.017,72.222 ± 2.300
0.731 ± 0.016,72.711 ± 2.387
0.745 ± 0.011,74.361 ± 1.860
0.749 ± 0.011,74.582 ± 1.838
0.751 ± 0.012,74.899 ± 1.850
0.742 ± 0.011,74.136 ± 2.256
0.743 ± 0.012,74.052 ± 2.045
0.746 ± 0.014,74.369 ± 2.277
0.744 ± 0.013,73.889 ± 1.895
0.748 ± 0.013,74.127 ± 2.023
0.745 ± 0.012,74.204 ± 1.961
0.746 ± 0.013,74.256 ± 1.743
0.747 ± 0.014,74.352 ± 1.938
0.748 ± 0.015,74.485 ± 1.882
0.744 ± 0.011,74.148 ± 1.556
0.744 ± 0.014,74.148 ± 1.691
0.744 ± 0.014,74.299 ± 1.734
0.740 ± 0.013,73.915 ± 1.799
0.745 ± 0.015,74.140 ± 1.918
0.744 ± 0.015,74.146 ± 1.782
0.746 ± 0.013,74.809 ± 1.739
0.748 ± 0.013,74.715 ± 2.029
0.751 ± 0.011,75.139 ± 2.331
0.722 ± 0.019,71.815 ± 3.021
0.727 ± 0.019,72.240 ± 2.634
0.740 ± 0.015,73.479 ± 2.247
0.742 ± 0.012,74.043 ± 1.703
0.747 ± 0.013,74.369 ± 1.763
0.750 ± 0.015,74.625 ± 1.946
0.742 ± 0.014,74.234 ± 2.116
0.743 ± 0.012,73.990 ± 2.188
0.745 ± 0.014,74.532 ± 2.086
0.738 ± 0.015,73.140 ± 1.468
0.741 ± 0.016,73.758 ± 1.590
0.745 ± 0.014,74.153 ± 1.712
0.740 ± 0.012,73.423 ± 1.783
0.739 ± 0.012,73.576 ± 2.029
0.742 ± 0.014,74.086 ± 1.658
0.738 ± 0.015,73.102 ± 1.640
0.738 ± 0.014,73.381 ± 1.541
0.743 ± 0.015,73.601 ± 1.660
0.729 ± 0.012,72.465 ± 1.407
0.731 ± 0.014,72.784 ± 1.649
0.736 ± 0.015,73.183 ± 1.542
0.755 ± 0.014,75.525 ± 1.695
0.758 ± 0.015,75.774 ± 2.049
0.757 ± 0.011,75.566 ± 1.857
0.730 ± 0.015,72.930 ± 1.919
0.737 ± 0.017,73.316 ± 2.174
0.742 ± 0.016,74.174 ± 1.660
0.752 ± 0.013,75.139 ± 1.528
0.756 ± 0.013,75.021 ± 1.901
0.759 ± 0.014,75.821 ± 1.814
0.749 ± 0.015,75.026 ± 1.975
0.751 ± 0.015,75.176 ± 2.054
0.752 ± 0.015,75.360 ± 1.690
0.747 ± 0.014,74.404 ± 1.745
0.748 ± 0.013,74.779 ± 1.619
0.753 ± 0.011,74.852 ± 1.830
0.746 ± 0.015,74.367 ± 1.677
0.749 ± 0.015,74.567 ± 1.570
0.750 ± 0.012,74.921 ± 1.566
0.744 ± 0.011,73.728 ± 1.720
0.747 ± 0.012,74.166 ± 1.656
0.750 ± 0.012,74.534 ± 1.607
0.737 ± 0.012,73.582 ± 1.565
0.739 ± 0.014,73.835 ± 1.616
0.746 ± 0.012,74.144 ± 1.550
0.755 ± 0.011,75.335 ± 1.868
