0.702 ± 0.013,69.678 ± 2.404
0.708 ± 0.015,70.765 ± 2.201
0.718 ± 0.011,71.630 ± 2.369
0.677 ± 0.010,67.646 ± 1.788
0.682 ± 0.014,68.410 ± 1.729
0.689 ± 0.011,68.853 ± 2.096
0.734 ± 0.018,73.119 ± 2.145
0.741 ± 0.015,73.944 ± 2.086
0.748 ± 0.012,74.447 ± 2.077
0.682 ± 0.011,67.928 ± 2.296
0.691 ± 0.012,69.135 ± 1.884
0.699 ± 0.009,70.060 ± 2.409
0.765 ± 0.014,76.398 ± 2.160
0.769 ± 0.012,77.163 ± 2.230
0.778 ± 0.009,77.425 ± 2.597
0.713 ± 0.013,71.449 ± 2.168
0.721 ± 0.014,71.911 ± 2.235
0.723 ± 0.010,72.354 ± 2.395
0.789 ± 0.012,78.712 ± 1.993
0.797 ± 0.011,78.632 ± 1.586
0.800 ± 0.011,79.618 ± 1.885
0.736 ± 0.015,73.682 ± 2.069
0.745 ± 0.015,74.467 ± 2.220
0.754 ± 0.012,75.412 ± 1.985
0.694 ± 0.013,69.316 ± 2.447
0.699 ± 0.012,69.638 ± 2.407
0.711 ± 0.007,70.664 ± 2.447
0.675 ± 0.012,67.626 ± 2.013
0.684 ± 0.011,68.330 ± 2.089
0.691 ± 0.009,68.813 ± 2.370
0.728 ± 0.016,72.596 ± 2.402
0.737 ± 0.013,73.320 ± 2.481
0.741 ± 0.011,73.581 ± 2.162
0.680 ± 0.013,67.706 ± 2.118
0.684 ± 0.015,68.451 ± 2.127
0.694 ± 0.012,69.336 ± 2.221
0.749 ± 0.016,74.950 ± 2.284
0.757 ± 0.013,75.875 ± 2.267
0.764 ± 0.013,76.117 ± 1.934
0.703 ± 0.011,70.201 ± 2.241
0.707 ± 0.009,70.785 ± 2.253
0.716 ± 0.010,71.851 ± 2.138
0.784 ± 0.021,77.968 ± 2.608
0.782 ± 0.016,78.491 ± 2.340
0.779 ± 0.011,77.425 ± 1.804
0.707 ± 0.016,71.207 ± 2.723
0.724 ± 0.013,72.575 ± 1.822
0.737 ± 0.013,73.783 ± 2.178
0.700 ± 0.010,69.336 ± 2.314
0.704 ± 0.011,70.181 ± 2.112
0.714 ± 0.013,71.227 ± 2.346
0.675 ± 0.011,67.565 ± 2.069
0.684 ± 0.010,68.290 ± 2.352
0.690 ± 0.010,69.054 ± 2.112
0.734 ± 0.018,73.159 ± 1.777
0.739 ± 0.012,73.561 ± 2.379
0.744 ± 0.012,73.903 ± 2.116
0.682 ± 0.012,68.109 ± 2.184
0.688 ± 0.010,68.592 ± 2.015
0.697 ± 0.010,69.598 ± 2.115
0.760 ± 0.014,76.459 ± 2.479
0.768 ± 0.012,76.740 ± 2.239
0.777 ± 0.013,77.344 ± 2.060
0.712 ± 0.015,71.167 ± 2.128
0.719 ± 0.014,71.871 ± 1.619
0.723 ± 0.013,72.394 ± 2.237
0.792 ± 0.012,78.431 ± 1.904
0.792 ± 0.011,78.511 ± 2.034
0.798 ± 0.012,79.256 ± 2.061
0.732 ± 0.017,73.642 ± 2.154
0.741 ± 0.014,74.427 ± 2.025
0.753 ± 0.013,74.970 ± 2.002
0.711 ± 0.012,71.388 ± 2.434
