0.741 ± 0.082,72.432 ± 6.922
0.741 ± 0.078,71.351 ± 7.568
0.732 ± 0.069,71.892 ± 6.751
0.753 ± 0.077,72.973 ± 9.045
0.742 ± 0.083,71.622 ± 7.949
0.744 ± 0.075,70.270 ± 6.396
0.731 ± 0.083,70.541 ± 7.592
0.720 ± 0.076,70.000 ± 7.397
0.722 ± 0.074,70.541 ± 7.592
0.731 ± 0.077,70.000 ± 7.592
0.736 ± 0.075,70.270 ± 8.018
0.727 ± 0.063,70.811 ± 6.922
0.705 ± 0.072,68.108 ± 7.232
0.702 ± 0.064,68.919 ± 7.277
0.708 ± 0.069,69.730 ± 6.708
0.724 ± 0.077,71.081 ± 7.649
0.717 ± 0.081,69.730 ± 7.720
0.715 ± 0.076,70.541 ± 7.592
0.707 ± 0.070,68.378 ± 6.169
0.708 ± 0.071,68.919 ± 6.193
0.715 ± 0.075,69.730 ± 5.771
0.707 ± 0.075,69.730 ± 7.130
0.705 ± 0.072,68.919 ± 7.572
0.702 ± 0.077,68.108 ± 7.332
0.783 ± 0.059,74.054 ± 7.171
0.763 ± 0.083,74.054 ± 8.816
0.780 ± 0.073,75.135 ± 7.332
0.764 ± 0.069,72.973 ± 7.739
0.766 ± 0.085,73.514 ± 7.999
0.783 ± 0.072,73.514 ± 6.598
0.803 ± 0.067,77.568 ± 6.049
0.795 ± 0.064,77.568 ± 6.049
0.769 ± 0.074,74.324 ± 6.970
0.785 ± 0.072,74.865 ± 7.456
0.790 ± 0.072,75.135 ± 6.708
0.780 ± 0.069,73.514 ± 7.027
0.792 ± 0.062,76.757 ± 6.419
0.771 ± 0.075,74.324 ± 8.131
0.769 ± 0.069,73.784 ± 7.053
0.795 ± 0.065,75.135 ± 6.708
0.790 ± 0.068,74.324 ± 6.757
0.790 ± 0.066,74.595 ± 7.663
0.759 ± 0.099,75.135 ± 8.444
0.751 ± 0.089,73.784 ± 8.113
0.747 ± 0.086,73.243 ± 7.687
