0.773 ± 0.072,74.054 ± 5.296
0.773 ± 0.080,75.135 ± 5.512
0.783 ± 0.079,75.676 ± 4.681
0.771 ± 0.084,74.595 ± 5.432
0.775 ± 0.077,74.324 ± 5.164
0.771 ± 0.085,74.865 ± 5.676
0.773 ± 0.078,73.514 ± 5.241
0.780 ± 0.075,74.324 ± 5.828
0.778 ± 0.081,73.784 ± 5.135
0.769 ± 0.084,74.324 ± 5.952
0.773 ± 0.076,74.324 ± 4.720
0.771 ± 0.083,74.054 ± 4.555
0.766 ± 0.076,74.324 ± 5.303
0.761 ± 0.073,73.514 ± 5.241
0.773 ± 0.081,74.324 ± 5.020
0.769 ± 0.076,73.514 ± 5.643
0.773 ± 0.076,74.054 ± 5.013
0.769 ± 0.081,74.324 ± 5.164
0.773 ± 0.069,74.054 ± 5.432
0.771 ± 0.074,74.054 ± 4.555
0.783 ± 0.071,74.865 ± 4.531
0.773 ± 0.076,73.514 ± 5.643
0.768 ± 0.078,73.514 ± 5.643
0.776 ± 0.078,74.324 ± 5.952
0.793 ± 0.055,77.027 ± 5.303
0.798 ± 0.078,77.027 ± 5.164
0.792 ± 0.073,76.486 ± 5.135
0.786 ± 0.075,75.946 ± 5.192
0.785 ± 0.071,75.946 ± 5.192
0.768 ± 0.075,75.405 ± 4.751
0.795 ± 0.057,76.486 ± 5.135
0.788 ± 0.061,77.027 ± 5.164
0.793 ± 0.071,76.216 ± 4.650
0.790 ± 0.062,75.946 ± 4.751
0.790 ± 0.073,75.676 ± 4.984
0.778 ± 0.080,75.676 ± 4.984
0.790 ± 0.052,76.486 ± 4.842
0.795 ± 0.066,75.946 ± 4.751
0.802 ± 0.066,76.757 ± 5.013
0.788 ± 0.075,76.486 ± 5.135
0.790 ± 0.066,76.486 ± 5.545
0.792 ± 0.071,75.676 ± 4.984
0.792 ± 0.055,76.486 ± 5.135
0.797 ± 0.062,76.486 ± 4.842
0.797 ± 0.072,75.946 ± 4.595
0.797 ± 0.062,76.486 ± 4.842
0.793 ± 0.067,76.216 ± 4.650
0.785 ± 0.080,75.405 ± 4.751
0.771 ± 0.076,74.865 ± 4.842
0.775 ± 0.074,73.243 ± 5.192
0.776 ± 0.076,74.865 ± 5.275
0.773 ± 0.080,75.405 ± 4.902
0.773 ± 0.083,74.324 ± 5.020
0.771 ± 0.082,74.865 ± 5.135
0.766 ± 0.072,75.135 ± 4.804
0.771 ± 0.071,74.324 ± 5.828
0.775 ± 0.085,73.514 ± 4.954
0.769 ± 0.074,74.054 ± 5.156
0.773 ± 0.083,74.054 ± 4.555
0.773 ± 0.086,74.595 ± 5.432
0.773 ± 0.077,74.324 ± 4.230
0.768 ± 0.072,73.243 ± 5.466
0.781 ± 0.078,74.595 ± 4.391
0.775 ± 0.075,73.243 ± 5.192
0.773 ± 0.083,74.324 ± 4.720
0.769 ± 0.081,74.324 ± 5.164
0.778 ± 0.070,74.595 ± 4.712
0.773 ± 0.068,74.595 ± 5.156
0.778 ± 0.068,74.595 ± 5.013
0.773 ± 0.075,73.784 ± 5.927
0.769 ± 0.072,73.784 ± 5.545
0.781 ± 0.081,74.054 ± 5.822
0.849 ± 0.056,84.324 ± 6.373
0.847 ± 0.054,83.514 ± 6.447
0.839 ± 0.067,82.973 ± 5.135
0.834 ± 0.058,81.351 ± 5.853
0.827 ± 0.067,81.622 ± 5.099
0.819 ± 0.076,79.730 ± 6.074
0.853 ± 0.047,84.865 ± 5.565
0.844 ± 0.080,84.324 ± 5.512
0.832 ± 0.077,82.703 ± 7.272
0.846 ± 0.065,83.243 ± 6.708
0.832 ± 0.059,82.973 ± 5.412
0.827 ± 0.063,80.000 ± 7.171
0.853 ± 0.062,85.135 ± 5.701
0.834 ± 0.061,82.973 ± 5.545
0.846 ± 0.076,82.703 ± 5.822
0.839 ± 0.075,83.514 ± 5.598
0.829 ± 0.070,81.351 ± 6.333
0.820 ± 0.075,81.351 ± 6.885
0.846 ± 0.066,83.243 ± 5.512
0.839 ± 0.059,82.973 ± 5.676
0.836 ± 0.068,82.432 ± 5.439
0.839 ± 0.065,82.703 ± 6.751
0.834 ± 0.071,82.162 ± 6.642
0.832 ± 0.064,81.081 ± 6.620
0.851 ± 0.051,83.514 ± 4.902
0.842 ± 0.059,83.514 ± 7.397
0.847 ± 0.047,82.162 ± 7.068
0.842 ± 0.057,82.973 ± 5.545
0.842 ± 0.054,81.892 ± 5.676
0.832 ± 0.064,81.351 ± 6.447
0.849 ± 0.054,84.595 ± 5.412
0.851 ± 0.057,84.865 ± 5.565
0.844 ± 0.059,83.784 ± 6.509
0.844 ± 0.056,83.243 ± 4.954
0.836 ± 0.057,82.432 ± 6.310
0.836 ± 0.058,80.811 ± 7.782
0.851 ± 0.050,84.865 ± 5.822
0.846 ± 0.050,84.324 ± 6.486
0.842 ± 0.050,84.054 ± 6.216
0.844 ± 0.061,84.865 ± 5.565
0.837 ± 0.052,82.973 ± 5.676
0.839 ± 0.063,82.162 ± 5.946
0.851 ± 0.047,85.135 ± 5.952
0.849 ± 0.053,84.324 ± 6.139
0.842 ± 0.050,83.514 ± 5.049
0.849 ± 0.048,84.324 ± 5.099
0.842 ± 0.049,82.973 ± 5.135
0.839 ± 0.055,82.162 ± 5.822
0.854 ± 0.052,84.865 ± 5.432
0.846 ± 0.054,84.865 ± 5.565
0.839 ± 0.058,83.784 ± 5.797
0.842 ± 0.054,83.243 ± 4.954
0.836 ± 0.058,82.432 ± 5.828
0.822 ± 0.070,79.730 ± 7.074
0.859 ± 0.050,85.135 ± 5.303
0.849 ± 0.052,84.595 ± 6.049
0.834 ± 0.064,83.243 ± 5.771
0.842 ± 0.050,83.243 ± 6.816
0.827 ± 0.078,82.162 ± 7.372
0.815 ± 0.078,79.730 ± 7.074
0.854 ± 0.052,84.595 ± 5.135
0.842 ± 0.055,83.784 ± 6.396
0.841 ± 0.066,84.054 ± 5.192
0.844 ± 0.066,83.784 ± 6.163
0.832 ± 0.061,81.351 ± 7.782
0.832 ± 0.059,81.351 ± 6.778
0.854 ± 0.054,84.324 ± 5.643
0.844 ± 0.049,84.054 ± 6.447
0.841 ± 0.055,82.162 ± 5.695
0.849 ± 0.052,83.784 ± 5.797
0.837 ± 0.056,83.243 ± 6.598
0.824 ± 0.073,80.000 ± 6.531
0.875 ± 0.049,85.676 ± 6.049
0.859 ± 0.057,86.216 ± 6.447
0.863 ± 0.053,84.595 ± 7.257
0.844 ± 0.051,84.324 ± 5.512
0.847 ± 0.051,84.595 ± 5.803
0.837 ± 0.055,84.865 ± 4.712
0.866 ± 0.055,84.595 ± 6.049
