0.347 ± 0.009,33.941 ± 1.169
0.348 ± 0.010,34.171 ± 0.714
0.353 ± 0.007,34.421 ± 0.644
0.350 ± 0.007,34.138 ± 0.605
0.350 ± 0.007,34.414 ± 0.631
0.351 ± 0.008,34.474 ± 0.938
0.336 ± 0.009,33.072 ± 1.052
0.338 ± 0.010,33.039 ± 1.024
0.342 ± 0.009,33.862 ± 0.917
0.340 ± 0.009,33.349 ± 0.871
0.342 ± 0.008,33.461 ± 0.937
0.346 ± 0.008,34.086 ± 0.850
0.328 ± 0.008,32.138 ± 0.937
0.332 ± 0.008,32.368 ± 0.843
0.338 ± 0.007,32.993 ± 0.744
0.331 ± 0.006,32.513 ± 0.634
0.335 ± 0.007,32.730 ± 0.841
0.337 ± 0.006,32.961 ± 0.775
0.321 ± 0.004,32.039 ± 0.816
0.325 ± 0.005,32.132 ± 1.108
0.329 ± 0.005,32.493 ± 0.939
0.322 ± 0.007,31.822 ± 0.978
0.324 ± 0.004,31.743 ± 1.084
0.327 ± 0.006,32.487 ± 0.700
0.348 ± 0.009,34.059 ± 0.954
0.350 ± 0.010,34.263 ± 0.924
0.352 ± 0.009,34.401 ± 0.789
0.348 ± 0.009,34.132 ± 0.781
0.348 ± 0.006,34.493 ± 0.668
0.350 ± 0.009,34.204 ± 0.441
0.339 ± 0.010,33.013 ± 1.322
0.339 ± 0.008,33.349 ± 0.954
0.346 ± 0.011,33.862 ± 1.285
0.340 ± 0.010,33.336 ± 1.007
0.343 ± 0.010,33.500 ± 1.018
0.348 ± 0.009,34.224 ± 0.730
0.332 ± 0.009,32.724 ± 1.005
0.334 ± 0.006,33.112 ± 0.844
0.338 ± 0.007,33.368 ± 0.801
0.334 ± 0.006,32.789 ± 0.956
0.336 ± 0.008,33.151 ± 0.827
0.338 ± 0.006,33.276 ± 0.727
0.325 ± 0.007,32.171 ± 0.813
0.328 ± 0.007,32.461 ± 0.979
0.333 ± 0.006,32.789 ± 0.571
0.325 ± 0.008,32.026 ± 0.584
0.328 ± 0.005,32.375 ± 0.807
0.332 ± 0.006,32.783 ± 0.521
0.344 ± 0.009,33.993 ± 1.069
0.348 ± 0.008,34.112 ± 0.829
0.354 ± 0.008,34.375 ± 0.657
0.348 ± 0.007,34.349 ± 0.597
0.350 ± 0.007,34.454 ± 0.573
0.352 ± 0.008,34.454 ± 0.504
0.337 ± 0.009,33.013 ± 1.253
0.338 ± 0.010,32.993 ± 1.027
0.342 ± 0.010,33.572 ± 1.200
0.341 ± 0.009,33.303 ± 0.945
0.343 ± 0.008,33.500 ± 0.985
0.348 ± 0.009,34.217 ± 0.829
0.330 ± 0.008,32.467 ± 0.962
0.333 ± 0.010,32.855 ± 1.058
0.338 ± 0.006,33.283 ± 0.693
0.334 ± 0.008,32.322 ± 1.062
0.334 ± 0.006,32.868 ± 0.990
0.337 ± 0.008,33.263 ± 0.733
0.324 ± 0.004,31.651 ± 0.953
0.325 ± 0.006,32.145 ± 1.041
0.331 ± 0.004,32.395 ± 0.989
0.323 ± 0.004,31.737 ± 0.901
0.326 ± 0.006,31.954 ± 0.762
0.331 ± 0.006,32.566 ± 0.622
0.353 ± 0.007,34.526 ± 0.435
0.354 ± 0.008,34.586 ± 0.733
0.356 ± 0.008,34.671 ± 0.718
0.352 ± 0.010,34.086 ± 0.548
0.351 ± 0.010,34.520 ± 0.662
0.354 ± 0.008,34.408 ± 0.578
0.346 ± 0.009,33.934 ± 0.925
0.352 ± 0.008,34.132 ± 0.678
0.353 ± 0.010,34.480 ± 0.599
0.346 ± 0.008,33.987 ± 0.791
0.350 ± 0.007,34.125 ± 0.602
0.351 ± 0.009,34.546 ± 0.751
0.340 ± 0.008,33.362 ± 0.834
0.341 ± 0.006,33.625 ± 0.806
0.345 ± 0.009,33.914 ± 0.623
0.340 ± 0.006,33.230 ± 0.937
0.342 ± 0.009,33.382 ± 0.996
0.343 ± 0.010,33.605 ± 0.799
0.334 ± 0.005,32.750 ± 0.655
0.337 ± 0.004,32.796 ± 0.655
0.341 ± 0.004,33.401 ± 0.813
0.329 ± 0.006,32.454 ± 0.812
0.332 ± 0.006,32.816 ± 0.604
0.337 ± 0.007,32.895 ± 0.567
0.355 ± 0.008,34.474 ± 0.490
0.356 ± 0.008,34.974 ± 0.659
0.355 ± 0.007,34.796 ± 0.588
0.352 ± 0.010,34.480 ± 0.517
0.353 ± 0.008,34.362 ± 0.483
0.353 ± 0.009,34.638 ± 0.671
0.350 ± 0.009,34.224 ± 0.835
0.352 ± 0.007,34.309 ± 0.595
0.356 ± 0.009,34.651 ± 0.902
0.349 ± 0.007,33.921 ± 0.624
0.351 ± 0.009,34.257 ± 0.388
0.353 ± 0.009,34.763 ± 0.548
0.344 ± 0.009,33.625 ± 0.786
0.347 ± 0.009,33.947 ± 0.684
0.350 ± 0.009,34.118 ± 0.794
0.343 ± 0.006,33.467 ± 0.730
0.344 ± 0.008,33.737 ± 0.829
0.347 ± 0.007,33.901 ± 0.640
0.338 ± 0.007,33.270 ± 0.743
0.341 ± 0.008,33.368 ± 0.752
0.344 ± 0.007,33.671 ± 0.918
0.334 ± 0.005,32.704 ± 0.966
0.337 ± 0.007,33.105 ± 0.570
0.340 ± 0.007,33.487 ± 0.787
0.353 ± 0.008,34.691 ± 0.659
0.357 ± 0.007,34.796 ± 0.352
0.358 ± 0.011,34.796 ± 0.447
0.351 ± 0.010,34.428 ± 0.497
0.352 ± 0.009,34.401 ± 0.732
0.355 ± 0.010,34.461 ± 0.573
0.349 ± 0.010,33.895 ± 0.836
0.353 ± 0.009,34.289 ± 0.409
0.355 ± 0.008,34.546 ± 0.874
0.348 ± 0.009,34.079 ± 0.653
0.350 ± 0.009,34.355 ± 0.557
0.351 ± 0.010,34.283 ± 0.544
0.342 ± 0.007,33.592 ± 0.840
0.343 ± 0.007,33.599 ± 0.734
0.348 ± 0.009,33.882 ± 0.850
0.341 ± 0.007,33.454 ± 0.625
0.343 ± 0.008,33.553 ± 0.666
0.346 ± 0.009,33.941 ± 0.937
0.335 ± 0.006,32.822 ± 0.621
0.340 ± 0.004,33.039 ± 0.625
0.342 ± 0.007,33.382 ± 0.830
0.332 ± 0.008,32.803 ± 0.633
0.333 ± 0.004,32.954 ± 0.526
0.339 ± 0.007,33.461 ± 0.880
0.360 ± 0.011,35.112 ± 1.040
0.361 ± 0.009,35.382 ± 0.676
0.363 ± 0.011,35.309 ± 0.629
0.356 ± 0.009,35.013 ± 0.460
0.358 ± 0.010,34.980 ± 0.566
0.360 ± 0.010,35.138 ± 0.422
0.356 ± 0.010,35.033 ± 0.806
0.360 ± 0.011,35.072 ± 0.799
0.359 ± 0.011,35.151 ± 0.943
0.355 ± 0.008,34.638 ± 0.710
0.356 ± 0.011,34.730 ± 0.615
0.358 ± 0.009,34.947 ± 0.830
0.356 ± 0.007,34.921 ± 0.740
0.357 ± 0.011,34.658 ± 0.639
0.359 ± 0.010,34.888 ± 0.583
0.349 ± 0.008,34.059 ± 0.783
0.353 ± 0.007,34.224 ± 0.744
0.357 ± 0.008,34.447 ± 0.658
0.350 ± 0.009,34.178 ± 0.795
0.352 ± 0.011,34.520 ± 0.600
0.359 ± 0.008,34.658 ± 0.684
0.345 ± 0.007,33.691 ± 0.507
0.348 ± 0.008,33.987 ± 0.979
0.353 ± 0.008,34.204 ± 0.873
0.361 ± 0.011,35.158 ± 0.901
0.359 ± 0.011,34.987 ± 0.817
0.362 ± 0.008,35.605 ± 1.029
0.356 ± 0.010,34.809 ± 0.599
0.357 ± 0.009,35.092 ± 0.556
0.360 ± 0.007,35.178 ± 0.631
0.357 ± 0.009,34.664 ± 1.057
0.358 ± 0.011,35.250 ± 1.011
0.361 ± 0.010,35.303 ± 0.703
0.354 ± 0.008,34.684 ± 0.831
0.355 ± 0.008,34.586 ± 0.823
0.356 ± 0.008,34.875 ± 0.797
0.356 ± 0.008,34.658 ± 0.581
0.357 ± 0.007,35.079 ± 0.812
0.360 ± 0.009,35.250 ± 0.818
0.350 ± 0.007,34.263 ± 0.885
0.353 ± 0.007,34.678 ± 0.630
0.355 ± 0.007,34.757 ± 0.797
0.355 ± 0.006,34.730 ± 0.695
0.358 ± 0.008,34.803 ± 0.536
0.356 ± 0.007,35.099 ± 0.512
0.350 ± 0.006,33.980 ± 0.726
0.352 ± 0.008,34.414 ± 0.687
0.353 ± 0.007,34.612 ± 0.687
0.360 ± 0.009,34.888 ± 0.954
0.361 ± 0.009,35.191 ± 0.863
0.363 ± 0.010,35.454 ± 0.780
0.356 ± 0.009,34.914 ± 0.781
0.358 ± 0.009,34.717 ± 0.497
0.357 ± 0.010,35.046 ± 0.635
0.357 ± 0.008,34.796 ± 0.861
0.360 ± 0.009,34.895 ± 0.720
0.358 ± 0.010,35.132 ± 0.787
0.353 ± 0.010,34.533 ± 0.548
0.356 ± 0.009,34.645 ± 0.751
0.357 ± 0.009,34.875 ± 0.813
0.358 ± 0.009,34.704 ± 0.737
0.357 ± 0.009,34.579 ± 0.448
0.358 ± 0.007,34.928 ± 0.795
0.351 ± 0.008,34.342 ± 0.592
0.352 ± 0.008,34.211 ± 0.865
0.355 ± 0.008,34.638 ± 0.765
0.352 ± 0.008,34.079 ± 0.779
0.355 ± 0.008,34.717 ± 0.794
0.357 ± 0.009,34.875 ± 0.735
0.346 ± 0.007,34.000 ± 0.868
0.351 ± 0.008,34.243 ± 1.031
0.353 ± 0.007,34.276 ± 0.716
0.347 ± 0.010,33.954 ± 1.134
0.348 ± 0.008,34.388 ± 0.849
0.353 ± 0.007,34.434 ± 0.867
0.349 ± 0.009,34.204 ± 0.627
0.351 ± 0.007,34.375 ± 0.587
0.352 ± 0.007,34.421 ± 0.577
0.337 ± 0.010,33.033 ± 1.253
0.340 ± 0.011,33.164 ± 0.868
0.343 ± 0.010,33.572 ± 1.058
0.341 ± 0.010,33.270 ± 1.040
0.343 ± 0.007,33.546 ± 0.899
0.347 ± 0.008,34.178 ± 0.766
0.330 ± 0.008,32.151 ± 1.055
0.335 ± 0.007,32.586 ± 0.750
0.337 ± 0.006,33.099 ± 0.958
0.335 ± 0.006,32.776 ± 0.528
0.334 ± 0.007,32.961 ± 0.721
0.337 ± 0.005,33.059 ± 0.854
0.322 ± 0.006,31.993 ± 1.031
0.326 ± 0.004,32.158 ± 1.002
0.330 ± 0.005,32.395 ± 0.835
0.322 ± 0.007,31.822 ± 1.125
0.326 ± 0.005,32.039 ± 0.920
0.328 ± 0.007,32.434 ± 0.833
0.348 ± 0.009,34.072 ± 1.019
0.352 ± 0.010,34.204 ± 1.002
0.353 ± 0.009,34.507 ± 0.791
0.348 ± 0.009,34.164 ± 0.689
0.349 ± 0.006,34.211 ± 0.639
0.351 ± 0.008,34.395 ± 0.541
0.339 ± 0.010,33.086 ± 1.146
0.341 ± 0.009,33.625 ± 0.990
0.346 ± 0.009,33.849 ± 0.943
0.341 ± 0.011,33.467 ± 1.195
0.346 ± 0.009,33.743 ± 1.111
0.346 ± 0.009,34.178 ± 0.795
0.331 ± 0.007,32.783 ± 0.840
0.335 ± 0.005,33.059 ± 0.985
0.339 ± 0.007,33.197 ± 0.940
0.334 ± 0.006,32.796 ± 1.088
0.335 ± 0.007,33.145 ± 1.053
0.339 ± 0.007,33.217 ± 0.773
0.326 ± 0.006,31.980 ± 0.944
0.329 ± 0.004,32.493 ± 0.979
0.334 ± 0.005,32.822 ± 0.694
0.324 ± 0.006,32.072 ± 0.818
0.328 ± 0.004,32.454 ± 0.702
0.333 ± 0.006,32.704 ± 0.794
0.345 ± 0.009,33.895 ± 1.108
0.350 ± 0.006,34.336 ± 1.021
0.352 ± 0.010,34.559 ± 0.840
0.349 ± 0.008,34.112 ± 0.761
0.349 ± 0.008,34.375 ± 0.681
0.352 ± 0.007,34.572 ± 0.628
0.338 ± 0.011,33.007 ± 1.073
0.339 ± 0.011,33.296 ± 1.129
0.344 ± 0.009,33.566 ± 0.743
0.341 ± 0.010,33.250 ± 0.919
0.343 ± 0.008,33.454 ± 0.898
0.347 ± 0.009,34.184 ± 0.942
0.330 ± 0.008,32.382 ± 0.924
0.332 ± 0.008,32.757 ± 0.870
0.337 ± 0.004,33.164 ± 0.745
0.334 ± 0.007,32.671 ± 0.962
0.335 ± 0.006,32.888 ± 0.772
0.337 ± 0.007,33.224 ± 0.911
0.324 ± 0.005,31.875 ± 0.999
0.325 ± 0.004,32.164 ± 0.925
0.332 ± 0.005,32.612 ± 0.937
0.324 ± 0.008,31.770 ± 0.833
0.324 ± 0.006,32.151 ± 0.933
0.330 ± 0.007,32.579 ± 0.852
0.353 ± 0.009,34.612 ± 0.489
0.355 ± 0.008,34.921 ± 0.600
0.356 ± 0.009,34.947 ± 0.691
0.352 ± 0.008,34.382 ± 0.733
0.351 ± 0.010,34.447 ± 0.607
0.354 ± 0.009,34.566 ± 0.604
0.348 ± 0.010,33.901 ± 0.730
0.351 ± 0.011,34.026 ± 0.621
0.353 ± 0.009,34.566 ± 0.896
0.347 ± 0.009,33.954 ± 0.704
0.350 ± 0.008,34.349 ± 0.396
0.351 ± 0.010,34.520 ± 0.594
0.341 ± 0.008,33.493 ± 0.900
0.343 ± 0.005,33.447 ± 0.771
0.346 ± 0.008,33.967 ± 0.773
0.340 ± 0.009,33.059 ± 0.860
0.343 ± 0.009,33.539 ± 0.789
0.346 ± 0.010,33.750 ± 0.826
0.333 ± 0.004,32.730 ± 1.033
0.335 ± 0.005,32.783 ± 0.814
0.339 ± 0.005,33.237 ± 0.788
0.331 ± 0.006,32.533 ± 0.914
0.332 ± 0.005,32.796 ± 0.930
0.338 ± 0.006,33.112 ± 0.805
0.355 ± 0.008,34.625 ± 0.747
0.356 ± 0.008,34.928 ± 0.678
0.355 ± 0.007,34.757 ± 0.505
0.353 ± 0.010,34.467 ± 0.660
0.352 ± 0.009,34.414 ± 0.545
0.353 ± 0.009,34.533 ± 0.601
0.350 ± 0.009,34.461 ± 0.661
0.354 ± 0.011,34.395 ± 0.612
0.356 ± 0.009,34.618 ± 0.704
0.349 ± 0.008,34.191 ± 0.780
0.349 ± 0.007,34.309 ± 0.449
0.351 ± 0.006,34.684 ± 0.770
0.344 ± 0.008,33.842 ± 0.863
0.347 ± 0.010,33.868 ± 0.896
0.350 ± 0.009,34.184 ± 0.695
0.344 ± 0.007,33.684 ± 0.759
0.344 ± 0.007,33.638 ± 0.766
0.348 ± 0.008,33.974 ± 0.526
0.338 ± 0.006,33.125 ± 0.747
0.343 ± 0.008,33.447 ± 0.698
0.345 ± 0.006,33.816 ± 0.847
0.333 ± 0.006,32.928 ± 0.634
0.338 ± 0.007,33.184 ± 0.728
0.340 ± 0.007,33.421 ± 0.830
0.355 ± 0.006,34.632 ± 0.388
0.355 ± 0.008,34.717 ± 0.513
0.357 ± 0.010,34.697 ± 0.483
0.352 ± 0.009,34.513 ± 0.707
0.353 ± 0.010,34.572 ± 0.530
0.355 ± 0.009,34.467 ± 0.476
0.348 ± 0.011,34.158 ± 0.855
0.351 ± 0.011,34.270 ± 0.837
0.354 ± 0.009,34.467 ± 0.665
0.349 ± 0.010,34.171 ± 0.648
0.349 ± 0.010,34.204 ± 0.514
0.352 ± 0.010,34.507 ± 0.476
0.344 ± 0.008,33.612 ± 1.108
0.345 ± 0.008,33.579 ± 0.963
0.348 ± 0.009,33.934 ± 0.757
0.341 ± 0.007,33.388 ± 0.676
0.342 ± 0.008,33.592 ± 0.660
0.347 ± 0.009,33.980 ± 0.776
0.336 ± 0.005,32.849 ± 0.668
0.339 ± 0.006,33.211 ± 0.811
0.342 ± 0.008,33.401 ± 0.807
0.334 ± 0.006,32.704 ± 0.658
0.333 ± 0.005,32.842 ± 0.610
0.339 ± 0.007,33.355 ± 0.807
0.360 ± 0.009,34.875 ± 0.671
0.361 ± 0.010,35.467 ± 0.779
0.364 ± 0.008,35.191 ± 0.647
0.356 ± 0.009,34.967 ± 0.536
0.356 ± 0.010,34.875 ± 0.783
0.360 ± 0.008,35.039 ± 0.651
0.358 ± 0.010,34.757 ± 0.563
0.358 ± 0.008,35.079 ± 0.666
0.359 ± 0.007,35.020 ± 1.019
0.354 ± 0.008,34.395 ± 0.614
0.356 ± 0.011,34.671 ± 0.601
0.356 ± 0.008,34.947 ± 0.694
0.355 ± 0.009,34.487 ± 0.494
0.357 ± 0.008,34.461 ± 0.553
0.358 ± 0.009,35.092 ± 0.714
0.351 ± 0.009,34.026 ± 0.559
0.352 ± 0.010,34.191 ± 0.756
0.356 ± 0.008,34.395 ± 0.639
0.350 ± 0.007,34.283 ± 0.949
0.352 ± 0.011,34.316 ± 0.799
0.354 ± 0.009,34.757 ± 0.928
0.346 ± 0.008,33.711 ± 0.566
0.348 ± 0.007,34.072 ± 0.894
0.352 ± 0.008,34.125 ± 0.746
0.361 ± 0.009,35.257 ± 1.010
0.363 ± 0.010,35.329 ± 1.156
0.364 ± 0.010,35.487 ± 1.026
0.357 ± 0.008,34.882 ± 0.615
0.356 ± 0.009,34.895 ± 0.568
0.359 ± 0.010,35.145 ± 0.770
0.357 ± 0.008,34.947 ± 0.689
0.359 ± 0.011,35.217 ± 0.939
0.360 ± 0.009,35.237 ± 0.748
0.354 ± 0.007,34.428 ± 0.732
0.356 ± 0.009,34.461 ± 0.968
0.358 ± 0.009,35.151 ± 0.815
0.356 ± 0.009,34.678 ± 0.805
0.358 ± 0.007,35.178 ± 0.651
0.361 ± 0.009,35.342 ± 0.815
0.350 ± 0.008,34.145 ± 0.849
0.353 ± 0.007,34.671 ± 0.738
0.356 ± 0.009,35.112 ± 0.852
0.356 ± 0.006,34.842 ± 0.470
0.356 ± 0.009,34.921 ± 0.563
0.357 ± 0.008,35.026 ± 0.858
0.349 ± 0.006,34.053 ± 0.649
0.352 ± 0.007,34.118 ± 0.978
0.355 ± 0.008,34.401 ± 0.727
0.360 ± 0.007,35.329 ± 0.915
0.363 ± 0.011,35.322 ± 0.956
0.363 ± 0.010,35.441 ± 0.842
0.356 ± 0.009,34.928 ± 0.652
0.358 ± 0.009,34.763 ± 0.686
0.359 ± 0.011,35.270 ± 0.501
0.359 ± 0.009,34.914 ± 0.940
0.360 ± 0.013,35.039 ± 0.747
0.358 ± 0.010,35.118 ± 0.734
0.356 ± 0.008,34.651 ± 0.679
0.356 ± 0.010,34.612 ± 0.513
0.358 ± 0.009,34.901 ± 0.786
0.355 ± 0.009,34.395 ± 0.616
0.359 ± 0.006,34.770 ± 0.785
0.359 ± 0.008,35.066 ± 1.004
0.351 ± 0.009,34.112 ± 0.931
0.351 ± 0.008,34.441 ± 0.527
0.356 ± 0.006,34.638 ± 0.594
0.354 ± 0.008,34.309 ± 0.706
0.354 ± 0.009,34.697 ± 0.651
0.357 ± 0.008,34.743 ± 0.735
0.347 ± 0.007,33.743 ± 0.566
0.352 ± 0.009,34.362 ± 1.067
0.354 ± 0.010,34.349 ± 0.908
0.348 ± 0.008,34.158 ± 0.799
0.352 ± 0.007,34.507 ± 0.812
0.353 ± 0.008,34.414 ± 0.752
0.349 ± 0.008,34.250 ± 0.571
0.351 ± 0.007,34.651 ± 0.711
0.352 ± 0.008,34.474 ± 0.749
0.339 ± 0.006,33.467 ± 0.895
0.343 ± 0.007,33.474 ± 0.886
0.346 ± 0.006,33.888 ± 0.721
0.343 ± 0.008,33.487 ± 0.830
0.346 ± 0.007,33.776 ± 0.867
0.348 ± 0.008,34.289 ± 0.777
0.332 ± 0.005,32.487 ± 0.787
0.337 ± 0.007,32.697 ± 0.571
0.339 ± 0.007,32.895 ± 0.935
0.335 ± 0.005,32.862 ± 0.679
0.337 ± 0.005,33.164 ± 0.744
0.339 ± 0.007,33.164 ± 0.670
0.324 ± 0.005,32.368 ± 0.880
0.327 ± 0.003,32.342 ± 0.997
0.331 ± 0.005,32.612 ± 0.910
0.324 ± 0.006,31.849 ± 0.883
0.328 ± 0.005,32.000 ± 0.838
0.332 ± 0.005,32.743 ± 0.867
0.349 ± 0.007,34.342 ± 0.854
0.353 ± 0.007,34.428 ± 0.623
0.353 ± 0.008,34.329 ± 0.831
0.350 ± 0.008,34.303 ± 0.691
0.349 ± 0.007,34.316 ± 0.832
0.350 ± 0.009,34.342 ± 0.380
0.343 ± 0.008,33.454 ± 1.077
0.342 ± 0.008,33.632 ± 0.795
0.347 ± 0.009,34.257 ± 0.764
