0.879 ± 0.007,87.601 ± 0.467
0.881 ± 0.005,87.890 ± 0.553
0.884 ± 0.006,88.159 ± 0.477
0.875 ± 0.006,87.135 ± 0.265
0.876 ± 0.008,87.241 ± 0.459
0.880 ± 0.008,87.769 ± 0.752
0.882 ± 0.006,87.961 ± 0.431
0.884 ± 0.005,88.109 ± 0.439
0.885 ± 0.005,88.283 ± 0.430
0.879 ± 0.007,87.710 ± 0.428
0.881 ± 0.007,87.878 ± 0.446
0.884 ± 0.006,88.218 ± 0.444
0.885 ± 0.006,88.334 ± 0.346
0.885 ± 0.005,88.370 ± 0.432
0.886 ± 0.004,88.431 ± 0.359
0.883 ± 0.005,87.987 ± 0.429
0.883 ± 0.006,88.083 ± 0.375
0.885 ± 0.005,88.273 ± 0.392
0.888 ± 0.005,88.664 ± 0.304
0.888 ± 0.005,88.745 ± 0.385
0.890 ± 0.005,88.765 ± 0.415
0.887 ± 0.005,88.425 ± 0.368
0.887 ± 0.005,88.438 ± 0.290
0.887 ± 0.005,88.479 ± 0.394
0.874 ± 0.006,87.244 ± 0.370
0.875 ± 0.006,87.170 ± 0.366
0.875 ± 0.006,87.333 ± 0.390
0.875 ± 0.006,87.163 ± 0.385
0.875 ± 0.006,87.127 ± 0.419
0.874 ± 0.005,87.239 ± 0.382
0.876 ± 0.006,87.386 ± 0.376
0.877 ± 0.005,87.323 ± 0.390
0.877 ± 0.005,87.449 ± 0.399
0.875 ± 0.006,87.150 ± 0.304
0.875 ± 0.005,87.246 ± 0.299
0.876 ± 0.005,87.269 ± 0.409
0.879 ± 0.005,87.614 ± 0.360
0.879 ± 0.005,87.609 ± 0.338
0.880 ± 0.005,87.634 ± 0.287
0.877 ± 0.005,87.505 ± 0.327
0.878 ± 0.005,87.482 ± 0.319
0.878 ± 0.005,87.503 ± 0.316
0.879 ± 0.005,87.733 ± 0.313
0.880 ± 0.006,87.792 ± 0.363
0.880 ± 0.005,87.830 ± 0.332
0.879 ± 0.005,87.728 ± 0.286
0.879 ± 0.005,87.787 ± 0.322
0.879 ± 0.005,87.713 ± 0.296
0.876 ± 0.006,87.373 ± 0.334
0.877 ± 0.007,87.350 ± 0.414
0.878 ± 0.007,87.586 ± 0.451
0.875 ± 0.005,87.130 ± 0.328
0.875 ± 0.006,87.125 ± 0.305
0.876 ± 0.006,87.361 ± 0.341
0.880 ± 0.005,87.708 ± 0.321
0.881 ± 0.005,87.784 ± 0.438
0.882 ± 0.005,87.936 ± 0.423
0.876 ± 0.006,87.315 ± 0.297
0.877 ± 0.007,87.386 ± 0.357
0.879 ± 0.006,87.601 ± 0.410
0.884 ± 0.006,88.253 ± 0.432
0.884 ± 0.006,88.281 ± 0.326
0.885 ± 0.005,88.319 ± 0.330
0.881 ± 0.006,87.774 ± 0.328
0.882 ± 0.005,87.888 ± 0.433
0.883 ± 0.005,87.984 ± 0.436
0.888 ± 0.006,88.486 ± 0.378
0.888 ± 0.005,88.494 ± 0.346
0.889 ± 0.005,88.666 ± 0.399
0.886 ± 0.006,88.291 ± 0.320
0.886 ± 0.005,88.387 ± 0.305
0.886 ± 0.005,88.392 ± 0.361
0.878 ± 0.005,87.523 ± 0.321
0.879 ± 0.005,87.566 ± 0.314
0.881 ± 0.006,87.830 ± 0.558
0.875 ± 0.005,87.302 ± 0.352
0.875 ± 0.006,87.221 ± 0.424
0.876 ± 0.006,87.424 ± 0.582
0.880 ± 0.005,87.809 ± 0.366
