0.892 ± 0.005,89.037 ± 0.392
0.893 ± 0.004,89.110 ± 0.461
0.894 ± 0.004,89.184 ± 0.355
0.891 ± 0.005,88.793 ± 0.416
0.892 ± 0.005,88.862 ± 0.498
0.893 ± 0.004,89.029 ± 0.459
0.893 ± 0.004,89.120 ± 0.422
0.893 ± 0.004,89.196 ± 0.422
0.894 ± 0.004,89.206 ± 0.416
0.894 ± 0.005,89.064 ± 0.404
0.894 ± 0.004,89.120 ± 0.424
0.894 ± 0.004,89.158 ± 0.446
0.893 ± 0.003,89.085 ± 0.455
0.893 ± 0.004,89.113 ± 0.407
0.894 ± 0.003,89.194 ± 0.402
0.894 ± 0.004,89.128 ± 0.436
0.894 ± 0.004,89.118 ± 0.401
0.895 ± 0.004,89.222 ± 0.435
0.892 ± 0.002,89.105 ± 0.387
0.892 ± 0.003,89.047 ± 0.404
0.893 ± 0.003,89.118 ± 0.437
0.894 ± 0.003,89.260 ± 0.448
0.895 ± 0.003,89.247 ± 0.435
0.895 ± 0.004,89.189 ± 0.441
0.893 ± 0.005,88.846 ± 0.368
0.893 ± 0.004,89.034 ± 0.367
0.894 ± 0.004,89.105 ± 0.404
0.892 ± 0.006,88.889 ± 0.418
0.892 ± 0.006,88.948 ± 0.431
0.894 ± 0.005,89.021 ± 0.499
0.893 ± 0.004,89.024 ± 0.432
0.893 ± 0.004,88.938 ± 0.394
0.894 ± 0.004,89.037 ± 0.386
0.893 ± 0.004,89.047 ± 0.241
0.894 ± 0.004,89.146 ± 0.369
0.895 ± 0.004,89.181 ± 0.476
0.894 ± 0.004,88.976 ± 0.550
0.894 ± 0.003,89.062 ± 0.476
0.894 ± 0.004,89.080 ± 0.451
0.894 ± 0.004,89.125 ± 0.447
0.895 ± 0.004,89.181 ± 0.456
0.895 ± 0.004,89.168 ± 0.514
0.894 ± 0.004,89.191 ± 0.402
0.895 ± 0.003,89.077 ± 0.399
0.894 ± 0.003,89.115 ± 0.441
0.894 ± 0.004,89.095 ± 0.428
0.895 ± 0.004,89.161 ± 0.440
0.894 ± 0.003,89.232 ± 0.459
0.892 ± 0.005,89.021 ± 0.382
0.893 ± 0.004,89.097 ± 0.398
0.893 ± 0.004,89.181 ± 0.365
0.892 ± 0.006,88.879 ± 0.426
0.892 ± 0.006,88.882 ± 0.460
0.893 ± 0.006,89.062 ± 0.534
0.893 ± 0.004,89.085 ± 0.427
0.894 ± 0.004,89.097 ± 0.386
0.894 ± 0.004,89.211 ± 0.397
0.893 ± 0.005,89.062 ± 0.399
0.894 ± 0.005,89.021 ± 0.375
0.894 ± 0.004,89.166 ± 0.439
0.893 ± 0.003,89.100 ± 0.436
0.894 ± 0.004,89.184 ± 0.413
0.894 ± 0.004,89.252 ± 0.396
0.894 ± 0.004,89.115 ± 0.447
0.894 ± 0.004,89.097 ± 0.436
0.894 ± 0.003,89.201 ± 0.423
0.893 ± 0.003,89.031 ± 0.412
0.894 ± 0.003,89.140 ± 0.379
0.894 ± 0.003,89.176 ± 0.364
0.893 ± 0.004,89.095 ± 0.337
0.894 ± 0.003,89.151 ± 0.350
0.894 ± 0.003,89.214 ± 0.368
0.895 ± 0.005,89.275 ± 0.321
0.896 ± 0.004,89.376 ± 0.349
0.896 ± 0.004,89.409 ± 0.375
0.895 ± 0.004,89.176 ± 0.384
