0.800 ± 0.050,76.486 ± 5.275
0.793 ± 0.066,76.757 ± 4.045
0.798 ± 0.051,77.027 ± 4.400
0.792 ± 0.049,76.757 ± 4.222
0.798 ± 0.061,76.216 ± 4.954
0.802 ± 0.045,76.757 ± 4.555
0.793 ± 0.053,76.216 ± 4.804
0.790 ± 0.058,74.865 ± 6.735
0.795 ± 0.061,77.297 ± 3.860
0.800 ± 0.061,77.027 ± 5.572
0.798 ± 0.052,76.486 ± 5.412
0.802 ± 0.053,77.027 ± 5.303
0.786 ± 0.056,76.216 ± 5.241
0.776 ± 0.060,74.595 ± 5.695
0.793 ± 0.056,75.676 ± 5.797
0.805 ± 0.059,76.486 ± 5.412
0.800 ± 0.054,77.027 ± 5.164
0.802 ± 0.052,77.297 ± 4.865
0.786 ± 0.064,75.676 ± 5.797
0.778 ± 0.064,75.676 ± 5.539
0.776 ± 0.076,75.405 ± 5.192
0.800 ± 0.055,76.757 ± 5.565
0.797 ± 0.054,76.216 ± 5.241
0.802 ± 0.063,76.757 ± 5.156
0.802 ± 0.050,77.568 ± 4.689
0.798 ± 0.049,78.378 ± 3.822
0.803 ± 0.050,76.216 ± 4.804
0.805 ± 0.048,77.027 ± 3.472
0.802 ± 0.050,77.297 ± 5.013
0.807 ± 0.049,77.568 ± 4.842
0.798 ± 0.051,77.838 ± 4.152
0.803 ± 0.056,77.297 ± 4.555
0.810 ± 0.052,77.838 ± 4.954
0.802 ± 0.052,77.027 ± 4.230
0.802 ± 0.047,78.108 ± 4.751
0.805 ± 0.046,77.568 ± 4.689
0.793 ± 0.055,77.297 ± 3.243
0.807 ± 0.051,77.027 ± 4.563
0.798 ± 0.058,77.838 ± 4.324
0.803 ± 0.049,77.297 ± 4.222
0.810 ± 0.050,76.757 ± 4.865
0.805 ± 0.056,77.568 ± 4.842
0.800 ± 0.055,76.216 ± 4.954
0.803 ± 0.044,75.946 ± 5.598
0.795 ± 0.059,77.297 ± 4.555
0.800 ± 0.051,77.027 ± 4.400
0.805 ± 0.053,76.757 ± 5.156
0.805 ± 0.049,77.568 ± 4.689
0.798 ± 0.054,76.486 ± 4.991
0.797 ± 0.050,76.486 ± 5.412
0.795 ± 0.042,77.297 ± 4.865
0.788 ± 0.062,75.405 ± 4.433
0.790 ± 0.045,76.216 ± 4.954
0.790 ± 0.056,76.757 ± 5.432
0.790 ± 0.057,75.405 ± 6.670
0.790 ± 0.051,76.216 ± 4.954
0.798 ± 0.050,76.216 ± 4.954
0.792 ± 0.054,76.486 ± 5.135
0.792 ± 0.056,76.216 ± 4.804
0.792 ± 0.058,77.027 ± 5.020
0.790 ± 0.055,75.946 ± 4.902
0.798 ± 0.061,75.405 ± 5.331
0.793 ± 0.055,76.486 ± 5.545
0.795 ± 0.054,76.216 ± 4.954
0.792 ± 0.058,76.757 ± 4.712
0.793 ± 0.055,76.757 ± 5.013
0.793 ± 0.058,75.676 ± 5.269
0.797 ± 0.057,76.757 ± 5.296
0.790 ± 0.062,75.676 ± 5.797
0.797 ± 0.062,75.676 ± 5.797
0.792 ± 0.062,76.216 ± 5.099
0.802 ± 0.059,76.216 ± 5.771
0.851 ± 0.049,84.595 ± 4.531
0.849 ± 0.040,83.514 ± 4.090
0.839 ± 0.046,83.243 ± 4.324
0.836 ± 0.045,82.703 ± 4.555
0.832 ± 0.037,82.162 ± 3.461
0.829 ± 0.048,80.270 ± 2.973
0.856 ± 0.049,83.784 ± 3.822
0.847 ± 0.046,85.405 ± 3.860
0.839 ± 0.044,83.784 ± 3.419
0.837 ± 0.037,82.973 ± 4.196
0.839 ± 0.043,82.162 ± 4.222
0.822 ± 0.050,81.081 ± 3.626
0.856 ± 0.047,84.595 ± 4.366
0.844 ± 0.043,84.324 ± 4.650
0.844 ± 0.045,85.135 ± 4.720
0.841 ± 0.047,83.243 ± 4.324
0.844 ± 0.045,82.703 ± 5.013
0.837 ± 0.043,83.243 ± 4.650
0.853 ± 0.042,84.865 ± 4.045
0.842 ± 0.039,84.595 ± 3.636
0.837 ± 0.046,84.324 ± 4.650
0.825 ± 0.047,84.054 ± 4.265
0.837 ± 0.046,84.595 ± 5.135
0.831 ± 0.049,84.324 ± 4.152
0.846 ± 0.030,83.243 ± 4.954
0.841 ± 0.042,82.703 ± 3.860
0.837 ± 0.040,83.514 ± 4.595
0.839 ± 0.031,82.973 ± 4.366
0.836 ± 0.037,82.432 ± 4.054
0.825 ± 0.042,81.892 ± 4.196
0.851 ± 0.039,84.324 ± 3.376
0.844 ± 0.037,83.514 ± 3.907
0.842 ± 0.034,83.784 ± 4.358
0.837 ± 0.035,83.514 ± 4.751
0.839 ± 0.035,82.703 ± 5.013
0.834 ± 0.040,82.432 ± 3.676
0.853 ± 0.044,83.784 ± 4.681
0.847 ± 0.032,83.514 ± 3.716
0.841 ± 0.048,83.243 ± 4.650
0.842 ± 0.032,82.973 ± 4.196
0.839 ± 0.037,83.514 ± 3.907
0.831 ± 0.041,82.973 ± 4.842
0.859 ± 0.042,84.595 ± 5.275
0.849 ± 0.043,84.595 ± 3.636
0.846 ± 0.046,84.324 ± 3.784
0.834 ± 0.039,84.054 ± 3.907
0.841 ± 0.039,83.784 ± 4.984
0.839 ± 0.045,84.054 ± 4.090
0.854 ± 0.036,83.784 ± 4.835
0.842 ± 0.041,84.324 ± 3.972
0.839 ± 0.047,81.622 ± 3.784
0.846 ± 0.031,83.243 ± 4.954
0.839 ± 0.040,82.432 ± 4.400
0.825 ± 0.044,80.541 ± 4.324
0.853 ± 0.030,82.973 ± 5.135
0.849 ± 0.044,83.514 ± 4.265
0.837 ± 0.042,84.054 ± 4.902
0.844 ± 0.039,82.162 ± 4.222
0.837 ± 0.033,82.432 ± 3.870
0.832 ± 0.043,81.892 ± 4.018
0.853 ± 0.035,84.865 ± 4.391
0.839 ± 0.051,84.595 ± 4.018
0.854 ± 0.044,84.324 ± 3.972
0.842 ± 0.038,82.973 ± 4.531
0.834 ± 0.031,82.703 ± 4.391
0.834 ± 0.040,82.703 ± 3.243
0.842 ± 0.048,84.595 ± 5.545
0.847 ± 0.044,84.865 ± 3.860
0.846 ± 0.036,84.324 ± 3.784
0.837 ± 0.045,83.514 ± 4.751
0.841 ± 0.040,84.324 ± 4.324
0.832 ± 0.053,82.703 ± 3.860
0.866 ± 0.036,85.946 ± 4.954
0.837 ± 0.109,81.081 ± 12.326
0.825 ± 0.107,81.892 ± 12.029
0.861 ± 0.040,85.135 ± 4.563
0.815 ± 0.101,81.622 ± 12.549
0.820 ± 0.104,80.541 ± 12.135
0.871 ± 0.050,85.405 ± 4.222
0.875 ± 0.040,84.324 ± 4.954
0.871 ± 0.042,84.054 ± 5.049
0.859 ± 0.044,83.514 ± 3.907
0.849 ± 0.038,85.135 ± 4.563
0.844 ± 0.035,83.514 ± 4.595
0.864 ± 0.047,84.324 ± 5.512
0.871 ± 0.043,84.595 ± 3.636
0.861 ± 0.045,83.784 ± 4.681
0.853 ± 0.041,84.865 ± 3.860
0.849 ± 0.042,84.865 ± 3.461
0.859 ± 0.039,85.405 ± 3.461
0.878 ± 0.046,85.135 ± 3.676
0.858 ± 0.053,84.595 ± 3.209
