0.751 ± 0.057,74.054 ± 6.304
0.747 ± 0.063,72.703 ± 8.413
0.768 ± 0.065,74.054 ± 5.946
0.731 ± 0.099,72.973 ± 7.352
0.731 ± 0.095,72.162 ± 7.456
0.756 ± 0.054,74.054 ± 5.432
0.771 ± 0.066,75.135 ± 7.815
0.764 ± 0.061,74.324 ± 7.475
0.776 ± 0.063,74.324 ± 7.377
0.749 ± 0.062,75.135 ± 7.999
0.759 ± 0.075,74.324 ± 8.482
0.758 ± 0.072,74.865 ± 8.968
0.763 ± 0.074,74.595 ± 8.304
0.759 ± 0.076,75.135 ± 7.907
0.764 ± 0.070,73.784 ± 7.357
0.761 ± 0.063,74.324 ± 9.065
0.761 ± 0.077,74.324 ± 8.820
0.758 ± 0.067,74.865 ± 8.636
0.746 ± 0.063,77.027 ± 9.382
0.751 ± 0.074,74.595 ± 7.068
0.744 ± 0.080,73.514 ± 7.130
0.747 ± 0.059,74.865 ± 8.636
0.753 ± 0.059,73.784 ± 8.291
0.766 ± 0.063,74.054 ± 7.272
0.785 ± 0.058,77.027 ± 3.870
0.764 ± 0.065,75.676 ± 9.284
0.769 ± 0.068,74.595 ± 8.478
0.739 ± 0.108,72.973 ± 9.894
0.759 ± 0.087,74.054 ± 9.609
0.756 ± 0.067,72.703 ± 9.241
0.785 ± 0.057,76.757 ± 4.555
0.795 ± 0.049,77.838 ± 3.586
0.776 ± 0.061,75.405 ± 6.447
0.768 ± 0.081,75.946 ± 8.754
0.763 ± 0.086,75.946 ± 9.552
0.751 ± 0.083,73.784 ± 9.129
0.803 ± 0.051,77.568 ± 3.832
0.778 ± 0.056,75.946 ± 7.397
0.778 ± 0.059,75.946 ± 7.094
0.761 ± 0.076,75.405 ± 7.782
0.766 ± 0.079,75.676 ± 8.964
0.764 ± 0.083,74.865 ± 8.636
0.759 ± 0.052,74.865 ± 8.113
0.771 ± 0.053,74.054 ± 7.272
0.773 ± 0.065,74.054 ± 7.852
0.776 ± 0.053,75.676 ± 8.632
0.764 ± 0.065,75.405 ± 9.000
0.754 ± 0.080,75.405 ± 8.754
0.756 ± 0.078,74.324 ± 8.568
0.725 ± 0.100,70.270 ± 9.205
0.771 ± 0.060,74.595 ± 6.187
0.759 ± 0.078,72.432 ± 8.783
0.744 ± 0.061,72.162 ± 7.838
0.749 ± 0.089,72.973 ± 9.362
0.768 ± 0.077,74.054 ± 9.221
0.776 ± 0.059,75.405 ± 7.875
0.759 ± 0.072,74.324 ± 9.225
0.754 ± 0.072,74.324 ± 8.396
0.751 ± 0.080,74.865 ± 8.804
0.758 ± 0.069,74.865 ± 7.838
0.775 ± 0.067,75.405 ± 8.238
0.763 ± 0.077,73.514 ± 9.029
0.776 ± 0.071,73.784 ± 8.636
