0.786 ± 0.039,80.196 ± 4.594
0.784 ± 0.037,79.804 ± 4.389
0.791 ± 0.034,80.392 ± 4.018
0.790 ± 0.036,79.608 ± 3.529
0.786 ± 0.033,79.608 ± 3.842
0.787 ± 0.029,79.412 ± 3.746
0.786 ± 0.035,79.216 ± 5.053
0.781 ± 0.035,80.196 ± 4.677
0.795 ± 0.033,80.784 ± 4.187
0.791 ± 0.034,79.804 ± 3.725
0.780 ± 0.034,79.804 ± 3.402
0.789 ± 0.028,79.804 ± 4.118
0.784 ± 0.031,80.196 ± 4.995
0.778 ± 0.037,80.196 ± 5.366
0.790 ± 0.035,81.176 ± 3.304
0.793 ± 0.034,80.000 ± 3.257
0.790 ± 0.027,80.588 ± 3.867
0.791 ± 0.030,80.196 ± 3.965
0.780 ± 0.035,79.216 ± 3.741
0.783 ± 0.029,79.608 ± 4.898
0.790 ± 0.032,80.000 ± 4.278
0.793 ± 0.028,80.588 ± 3.965
0.779 ± 0.032,79.804 ± 4.210
0.787 ± 0.030,80.196 ± 4.839
0.798 ± 0.029,81.176 ± 3.637
0.802 ± 0.033,80.784 ± 3.012
0.798 ± 0.027,80.392 ± 3.038
0.801 ± 0.030,81.569 ± 2.511
0.801 ± 0.032,81.373 ± 3.192
0.797 ± 0.036,81.373 ± 3.424
0.802 ± 0.023,80.980 ± 3.513
0.799 ± 0.029,81.373 ± 2.941
0.796 ± 0.029,81.765 ± 3.513
0.796 ± 0.034,81.176 ± 2.935
0.793 ± 0.030,81.373 ± 3.424
0.790 ± 0.033,80.392 ± 3.162
0.800 ± 0.031,81.569 ± 3.842
0.795 ± 0.034,80.980 ± 3.725
0.802 ± 0.025,80.784 ± 3.902
0.800 ± 0.030,81.569 ± 2.353
0.797 ± 0.031,82.353 ± 2.480
0.797 ± 0.026,81.176 ± 2.935
0.796 ± 0.028,80.980 ± 3.621
0.802 ± 0.027,81.765 ± 2.638
0.795 ± 0.026,81.176 ± 3.741
