0.781 ± 0.027,80.196 ± 4.155
0.791 ± 0.031,80.392 ± 4.384
0.793 ± 0.037,80.392 ± 3.396
0.780 ± 0.026,79.216 ± 4.314
0.772 ± 0.041,79.608 ± 4.573
0.781 ± 0.038,80.196 ± 4.155
0.775 ± 0.033,79.804 ± 4.118
0.785 ± 0.034,79.804 ± 3.725
0.794 ± 0.031,80.000 ± 3.700
0.776 ± 0.039,79.412 ± 5.280
0.783 ± 0.028,79.020 ± 3.725
0.777 ± 0.047,80.784 ± 4.187
0.779 ± 0.037,79.804 ± 3.044
0.776 ± 0.037,80.196 ± 3.216
0.786 ± 0.036,79.412 ± 3.192
0.779 ± 0.038,78.824 ± 4.540
0.785 ± 0.029,80.000 ± 3.486
0.789 ± 0.026,80.000 ± 3.594
0.774 ± 0.041,78.627 ± 3.557
0.774 ± 0.039,78.627 ± 3.447
0.782 ± 0.035,80.000 ± 3.137
0.773 ± 0.038,79.216 ± 3.419
0.778 ± 0.034,79.608 ± 3.186
0.777 ± 0.035,79.608 ± 3.304
0.798 ± 0.033,81.373 ± 2.519
0.794 ± 0.034,80.588 ± 4.061
0.800 ± 0.029,82.549 ± 2.549
0.799 ± 0.030,80.392 ± 2.773
0.793 ± 0.035,80.784 ± 3.257
0.790 ± 0.024,80.784 ± 3.594
0.800 ± 0.027,80.980 ± 3.513
0.800 ± 0.033,82.745 ± 3.257
0.799 ± 0.031,81.569 ± 2.935
0.796 ± 0.035,81.373 ± 2.941
0.795 ± 0.033,80.784 ± 3.486
0.794 ± 0.034,80.000 ± 3.802
0.804 ± 0.030,81.176 ± 3.304
0.798 ± 0.029,82.353 ± 2.320
0.794 ± 0.029,81.765 ± 3.725
0.799 ± 0.033,81.373 ± 2.009
0.798 ± 0.028,81.765 ± 2.328
0.797 ± 0.029,81.373 ± 3.069
0.801 ± 0.029,80.980 ± 2.780
0.799 ± 0.023,80.784 ± 2.287
0.794 ± 0.028,80.784 ± 2.287
0.800 ± 0.022,80.784 ± 2.601
0.802 ± 0.025,80.392 ± 2.631
0.794 ± 0.028,81.176 ± 2.935
0.788 ± 0.033,80.196 ± 3.333
0.785 ± 0.034,80.980 ± 3.513
0.791 ± 0.030,80.980 ± 3.287
0.778 ± 0.027,79.020 ± 4.300
0.784 ± 0.034,79.804 ± 3.513
0.781 ± 0.031,80.588 ± 3.663
0.790 ± 0.037,79.412 ± 3.946
0.786 ± 0.036,81.373 ± 3.310
0.795 ± 0.032,80.784 ± 3.137
0.779 ± 0.027,78.627 ± 4.246
0.784 ± 0.029,80.392 ± 4.205
0.782 ± 0.033,79.804 ± 4.389
0.786 ± 0.040,79.608 ± 3.419
0.776 ± 0.040,79.804 ± 3.402
0.788 ± 0.035,80.196 ± 3.557
0.780 ± 0.029,79.216 ± 3.529
0.774 ± 0.036,78.824 ± 3.486
0.785 ± 0.039,79.216 ± 3.741
0.782 ± 0.042,79.804 ± 3.168
0.775 ± 0.043,80.392 ± 3.162
0.775 ± 0.043,80.392 ± 3.162
0.782 ± 0.037,80.000 ± 3.257
0.784 ± 0.037,80.000 ± 3.137
0.779 ± 0.037,79.608 ± 2.801
0.855 ± 0.045,86.078 ± 3.663
0.856 ± 0.041,86.078 ± 2.967
0.833 ± 0.049,84.902 ± 3.827
0.836 ± 0.054,84.706 ± 3.594
0.835 ± 0.055,83.922 ± 3.700
0.824 ± 0.046,84.118 ± 2.393
0.851 ± 0.045,86.667 ± 3.137
0.845 ± 0.048,85.882 ± 3.486
0.840 ± 0.041,84.902 ± 2.780
0.843 ± 0.052,85.686 ± 3.402
0.840 ± 0.049,84.902 ± 3.287
0.833 ± 0.052,84.510 ± 2.549
0.855 ± 0.045,86.275 ± 2.480
0.843 ± 0.047,86.275 ± 2.320
0.850 ± 0.044,84.706 ± 2.112
0.853 ± 0.047,86.275 ± 3.822
0.848 ± 0.049,85.686 ± 2.915
0.836 ± 0.045,83.529 ± 2.660
0.859 ± 0.034,86.471 ± 2.047
0.838 ± 0.042,84.902 ± 2.638
0.839 ± 0.041,85.490 ± 2.183
0.847 ± 0.055,86.471 ± 2.549
0.845 ± 0.047,87.059 ± 2.935
0.839 ± 0.046,84.706 ± 2.449
0.848 ± 0.041,86.078 ± 2.967
0.840 ± 0.047,84.706 ± 3.012
0.833 ± 0.042,84.510 ± 2.696
0.834 ± 0.051,84.510 ± 3.216
0.833 ± 0.047,83.529 ± 3.842
0.823 ± 0.048,84.314 ± 2.773
0.844 ± 0.043,86.275 ± 2.631
0.841 ± 0.048,85.882 ± 2.449
0.830 ± 0.045,84.510 ± 2.967
0.838 ± 0.053,85.490 ± 2.660
0.834 ± 0.052,83.922 ± 4.094
0.830 ± 0.043,83.333 ± 3.424
0.844 ± 0.040,86.667 ± 2.882
0.849 ± 0.040,86.078 ± 3.216
0.841 ± 0.048,85.686 ± 3.287
0.845 ± 0.051,85.294 ± 2.941
0.836 ± 0.047,85.294 ± 2.941
0.829 ± 0.041,84.314 ± 2.480
0.851 ± 0.047,86.863 ± 3.725
0.844 ± 0.051,85.686 ± 3.402
0.838 ± 0.044,86.471 ± 3.663
0.848 ± 0.051,86.078 ± 3.447
0.836 ± 0.049,86.078 ± 3.094
0.831 ± 0.043,84.510 ± 3.216
0.847 ± 0.046,86.863 ± 3.287
0.843 ± 0.055,85.686 ± 4.389
0.838 ± 0.046,84.706 ± 2.882
0.838 ± 0.056,85.098 ± 3.063
0.834 ± 0.052,84.118 ± 4.061
0.826 ± 0.047,83.725 ± 3.287
0.856 ± 0.042,85.490 ± 3.063
0.847 ± 0.054,85.294 ± 2.667
0.841 ± 0.041,84.314 ± 3.038
0.846 ± 0.048,86.275 ± 2.908
0.834 ± 0.044,84.314 ± 4.205
0.830 ± 0.046,84.706 ± 3.257
0.863 ± 0.045,87.451 ± 3.186
0.849 ± 0.046,86.863 ± 3.287
0.841 ± 0.041,85.098 ± 2.511
0.844 ± 0.046,85.490 ± 3.186
0.845 ± 0.048,85.294 ± 2.192
0.840 ± 0.042,84.314 ± 2.631
0.864 ± 0.039,86.667 ± 2.745
0.845 ± 0.050,86.078 ± 2.549
0.846 ± 0.043,85.294 ± 2.807
0.847 ± 0.050,85.882 ± 3.137
0.841 ± 0.044,85.686 ± 2.488
0.835 ± 0.042,84.902 ± 2.157
0.868 ± 0.036,86.471 ± 3.663
0.856 ± 0.040,86.471 ± 3.965
0.850 ± 0.039,85.686 ± 3.287
0.856 ± 0.039,85.294 ± 3.946
0.843 ± 0.048,85.686 ± 3.044
0.844 ± 0.042,85.294 ± 2.807
0.865 ± 0.037,87.647 ± 4.210
0.859 ± 0.040,87.059 ± 3.741
0.851 ± 0.045,87.059 ± 2.801
0.859 ± 0.040,87.255 ± 3.642
0.844 ± 0.047,86.863 ± 4.118
0.839 ± 0.050,85.098 ± 1.797
0.865 ± 0.044,86.667 ± 3.257
